CoM,Diocese,Area,Nation
Attercliffe & Darnall,Sheffield,CofE,England
Blackpool,Blackburn,CofE,England
Bradford - Sorted,Leeds,CofE,England
Gloucester & Forest,Gloucester,CofE,England
Greenwich,Southwark,CofE,England
Hackney,London,CofE,England
Langley,Birmingham,CofE,England
Leeds,Leeds,CofE,England
Liverpool,Liverpool,CofE,England
Medway,Rochester,CofE,England
Middlesbrough,York,CofE,England
North Sutton,Southwark,CofE,England
Rochdale,Manchester,CofE,England
Scunthorpe,Lincoln,CofE,England
Selby,York,CofE,England
Sheffield,Sheffield,CofE,England
Southampton,Winchester,CofE,England
Newry,Down & Dromore,CoI,Northern Ireland
North Belfast,Connor,CoI,Northern Ireland
Ballina,"Tuam, Limerick and Killaloe",CoI,Republic of Ireland
Cork,"Cork, Cloyne & Ross",CoI,Republic of Ireland
Sligo,"Kilmore, Elphin & Ardagh",CoI,Republic of Ireland
A7,Edinburgh,SEC,Scotland
Central Fife,"St Andrews, Dunkeld and Dunblane",SEC,Scotland
Dundee,Brechin,SEC,Scotland
West Highlands,Argyll & The Isles,SEC,Scotland
Cross Hands,St David's,CiW,Wales
Gwent Valley ,Monmouth,CiW,Wales
Haverfordwest,St David's,CiW,Wales
Llandaff,Llandaff,CiW,Wales
Llanelli,St David's,CiW,Wales
Wrexham,St Asaph,CiW,Wales
