ethn..oa_id,ethn..proportion_of_oa_within_co_m_boundary,ethn..total_persons,ethn..white,ethn..white_gypsy_or_irish_traveller,ethn..mixed_multiple_ethnic_group,ethn..asian_asian_british_indian,ethn..asian_asian_british_pakistani,ethn..asian_asian_british_bangladeshi,ethn..asian_asian_british_chinese,ethn..asian_asian_british_other_asian,ethn..black_african_caribbean_black_british,ethn..other_ethnic_group_any_other_ethnic_group,ethn..white_or_white_british,ethn..black_or_black_british,ethn..asian_or_asian_british,ethn..mixed_multiple_ethnicity,ethn..other_ethnicity
S00094877,0.20573155531346299,85,84,0,1,0,0,0,0,0,0,0,84,0,0,1,0
S00094878,0.48052849446548701,135,134,0,0,0,1,0,0,0,0,0,134,0,1,0,0
S00094879,0.99999999999556699,190,184,0,0,1,0,0,0,5,0,0,184,0,6,0,0
S00094880,0.72644025135888302,114,112,1,0,0,0,0,0,0,0,1,113,0,0,0,1
S00094881,0.122629340633615,75,71,0,0,0,0,0,0,0,3,1,71,3,0,0,1
S00094883,0.90421623364364301,99,99,0,0,0,0,0,0,0,0,0,99,0,0,0,0
S00094884,0.29221392374473198,96,94,0,0,0,1,0,0,1,0,0,94,0,2,0,0
S00094886,0.90724093083095603,138,138,0,0,0,0,0,0,0,0,0,138,0,0,0,0
S00094887,1.00000000005756,90,89,0,0,0,0,0,1,0,0,0,89,0,1,0,0
S00094888,0.99999999999883704,156,156,0,0,0,0,0,0,0,0,0,156,0,0,0,0
S00094889,1.0000000002680001,114,113,0,0,1,0,0,0,0,0,0,113,0,1,0,0
S00094890,0.99999999999692302,68,68,0,0,0,0,0,0,0,0,0,68,0,0,0,0
S00094891,0.99999999999985301,134,134,0,0,0,0,0,0,0,0,0,134,0,0,0,0
S00094892,0.99999999999723099,103,103,0,0,0,0,0,0,0,0,0,103,0,0,0,0
S00094893,0.99999999999517697,77,77,0,0,0,0,0,0,0,0,0,77,0,0,0,0
S00094894,0.99999999835190501,99,89,0,0,0,6,0,4,0,0,0,89,0,10,0,0
S00094895,1.00000000000082,74,73,0,0,0,0,0,0,0,0,1,73,0,0,0,1
S00094898,0.60275010464650902,121,121,0,0,0,0,0,0,0,0,0,121,0,0,0,0
S00094901,0.35040717376890401,141,140,0,0,0,0,0,0,0,1,0,140,1,0,0,0
S00094911,1.00000000003946,159,159,0,0,0,0,0,0,0,0,0,159,0,0,0,0
S00094912,0.94839853150804299,72,72,0,0,0,0,0,0,0,0,0,72,0,0,0,0
S00094913,0.97180980516327398,83,81,0,0,0,0,0,0,0,0,2,81,0,0,0,2
S00094914,1.0000000000004401,105,96,0,4,0,1,0,0,3,0,1,96,0,4,4,1
S00094915,0.16102648658510799,119,119,0,0,0,0,0,0,0,0,0,119,0,0,0,0
S00094916,0.54178506788717595,170,146,0,1,8,0,0,7,3,4,1,146,4,18,1,1
S00094924,8.0526575264277006E-2,103,102,0,0,0,0,0,0,0,1,0,102,1,0,0,0
S00094927,1.0000000001832099,139,137,0,0,0,0,0,0,0,2,0,137,2,0,0,0
S00094928,0.99999999999845701,132,131,0,0,0,0,0,0,0,1,0,131,1,0,0,0
S00094929,0.58760594641686203,166,162,0,0,0,0,0,0,0,4,0,162,4,0,0,0
S00094930,0.97660588930627201,122,120,0,0,0,0,0,0,0,2,0,120,2,0,0,0
S00094931,0.856331282162765,83,83,0,0,0,0,0,0,0,0,0,83,0,0,0,0
S00094932,0.65590451969980701,65,64,0,0,1,0,0,0,0,0,0,64,0,1,0,0
S00094933,1.0000000000001601,112,112,0,0,0,0,0,0,0,0,0,112,0,0,0,0
S00094934,0.92363737484738395,104,102,0,0,0,0,0,0,0,2,0,102,2,0,0,0
S00094935,0.933231344939915,139,135,0,0,0,0,0,0,4,0,0,135,0,4,0,0
S00094936,0.99999999999886302,110,110,0,0,0,0,0,0,0,0,0,110,0,0,0,0
