health..oa_id,health..proportion_of_oa_within_co_m_boundary,health..total_persons,health..very_good_health,health..good_health,health..fair_health,health..bad_health,health..very_bad_health
S00094877,0.20573155531346299,85,58,23,2,2,0
S00094878,0.48052849446548701,135,87,35,10,2,1
S00094879,0.99999999999556699,190,106,61,14,8,1
S00094880,0.72644025135888302,114,63,34,12,4,1
S00094881,0.122629340633615,75,43,20,10,2,0
S00094883,0.90421623364364301,99,66,23,10,0,0
S00094884,0.29221392374473198,96,62,28,5,1,0
S00094886,0.90724093083095603,138,89,41,8,0,0
S00094887,1.00000000005756,90,46,30,14,0,0
S00094888,0.99999999999883704,156,80,53,20,3,0
S00094889,1.0000000002680001,114,57,36,16,4,1
S00094890,0.99999999999692302,68,33,29,5,1,0
S00094891,0.99999999999985301,134,99,25,10,0,0
S00094892,0.99999999999723099,103,56,34,10,1,2
S00094893,0.99999999999517697,77,39,24,13,1,0
S00094894,0.99999999835190501,99,75,20,3,1,0
S00094895,1.00000000000082,74,38,24,8,1,3
S00094898,0.60275010464650902,121,86,27,8,0,0
S00094901,0.35040717376890401,141,82,40,15,3,1
S00094911,1.00000000003946,159,99,38,15,6,1
S00094912,0.94839853150804299,72,45,13,12,2,0
S00094913,0.97180980516327398,83,47,24,7,4,1
S00094914,1.0000000000004401,105,58,30,15,2,0
S00094915,0.16102648658510799,119,75,31,11,2,0
S00094916,0.54178506788717595,170,89,47,20,5,9
S00094924,8.0526575264277006E-2,103,43,39,14,6,1
S00094927,1.0000000001832099,139,73,46,15,5,0
S00094928,0.99999999999845701,132,81,29,17,5,0
S00094929,0.58760594641686203,166,104,48,10,3,1
S00094930,0.97660588930627201,122,70,38,13,1,0
S00094931,0.856331282162765,83,40,23,15,4,1
S00094932,0.65590451969980701,65,33,25,7,0,0
S00094933,1.0000000000001601,112,69,32,9,2,0
S00094934,0.92363737484738395,104,68,26,6,2,2
S00094935,0.933231344939915,139,88,31,13,6,1
S00094936,0.99999999999886302,110,69,31,7,2,1
S00094937,0.99999999999670797,114,67,40,6,0,1
S00094938,0.99999999999945099,167,88,50,24,3,2
S00094939,1.00000000003776,96,44,44,6,2,0
S00094967,2.0277032776610401E-2,102,62,28,7,5,0
S00094971,4.5947723364959801E-2,106,60,29,14,3,0
S00094980,0.99999999999875799,94,57,24,10,3,0
S00094981,1.0000000000000699,105,52,32,17,3,1
S00094982,1.00000000000554,161,72,48,31,8,2
S00094984,0.92564334949592397,118,59,37,14,7,1
S00094985,0.58809536390831896,89,49,30,5,3,2
S00094986,0.86275354151536798,55,34,13,7,1,0
S00094987,0.92373890804341596,107,59,33,11,4,0
S00094988,0.99999999998828604,60,35,18,7,0,0
