house..oa_id,house..proportion_of_oa_within_co_m_boundary,house..total_households,house..one_person_household_65,house..one_person_household_64,house..couple_no_dependent_children,house..couple_dependent_children,house..lone_parent_dependent_children,house..other_household_no_dependent_children,house..other_household_dependent_children
S00094877,0.20573155531346299,34,1,3,17,10,1,0,2
S00094878,0.48052849446548701,54,2,8,27,12,2,1,2
S00094879,0.99999999999556699,62,1,5,11,21,15,3,6
S00094880,0.72644025135888302,57,6,12,25,10,0,0,4
S00094881,0.122629340633615,30,2,3,16,9,0,0,0
S00094883,0.90421623364364301,43,6,6,21,9,0,1,0
S00094884,0.29221392374473198,45,4,8,21,7,2,0,3
S00094886,0.90724093083095603,65,9,9,32,11,1,0,3
S00094887,1.00000000005756,36,5,3,16,8,1,0,3
S00094888,0.99999999999883704,74,11,6,45,8,1,1,2
S00094889,1.0000000002680001,54,12,4,21,8,3,1,5
S00094890,0.99999999999692302,29,4,2,16,5,0,0,2
S00094891,0.99999999999985301,50,3,3,23,17,4,0,0
S00094892,0.99999999999723099,43,4,2,24,7,1,2,3
S00094893,0.99999999999517697,36,3,8,17,5,0,2,1
S00094894,0.99999999835190501,32,1,2,10,15,1,1,2
S00094895,1.00000000000082,36,5,10,13,6,1,0,1
S00094898,0.60275010464650902,49,6,8,18,14,1,1,1
S00094901,0.35040717376890401,61,5,5,32,14,2,0,3
S00094911,1.00000000003946,63,8,10,19,18,5,0,3
S00094912,0.94839853150804299,30,1,4,17,6,0,2,0
S00094913,0.97180980516327398,41,5,11,17,5,1,0,2
S00094914,1.0000000000004401,45,4,10,18,11,1,0,1
S00094915,0.16102648658510799,55,6,13,22,11,2,0,1
S00094916,0.54178506788717595,77,3,31,20,14,6,0,3
S00094924,8.0526575264277006E-2,56,14,10,21,6,0,0,5
S00094927,1.0000000001832099,59,2,4,33,14,0,0,6
S00094928,0.99999999999845701,52,6,6,18,12,5,1,4
S00094929,0.58760594641686203,69,7,11,31,15,3,1,1
S00094930,0.97660588930627201,52,4,10,27,9,0,0,2
S00094931,0.856331282162765,37,0,4,26,2,2,0,3
S00094932,0.65590451969980701,35,9,10,12,4,0,0,0
S00094933,1.0000000000001601,49,10,4,19,12,1,0,3
S00094934,0.92363737484738395,48,7,8,23,6,1,1,2
S00094935,0.933231344939915,52,2,6,23,11,5,0,5
S00094936,0.99999999999886302,49,7,8,19,9,2,1,3
S00094937,0.99999999999670797,50,2,8,24,10,4,0,2
S00094938,0.99999999999945099,75,5,12,39,16,1,0,2
S00094939,1.00000000003776,39,4,2,23,8,1,1,0
S00094967,2.0277032776610401E-2,49,5,13,18,11,0,0,2
S00094971,4.5947723364959801E-2,46,7,2,26,9,1,0,1
S00094980,0.99999999999875799,28,2,6,12,7,1,0,0
S00094981,1.0000000000000699,48,9,7,23,4,2,1,2
S00094982,1.00000000000554,58,6,7,32,10,1,0,2
S00094984,0.92564334949592397,58,10,6,34,6,1,1,0
S00094985,0.58809536390831896,40,6,7,18,6,2,0,1
S00094986,0.86275354151536798,24,1,5,10,7,0,0,1
S00094987,0.92373890804341596,48,5,5,29,8,0,0,1
S00094988,0.99999999998828604,31,4,4,19,1,2,0,1
S00094989,0.48253368851370299,49,6,4,22,13,1,1,2
S00094990,0.84739400438577095,44,4,6,25,6,0,0,3
S00094991,1.0000000000003499,47,5,7,26,7,2,0,0
S00094992,1.0000000000195099,22,0,1,10,9,0,0,2
S00094993,0.99999999999956501,42,5,4,25,7,0,0,1
S00094994,0.999999999999719,39,3,2,23,6,1,1,3
S00094995,0.99999999999780997,45,4,3,30,5,0,0,3
S00094996,0.99999999999838296,28,5,3,12,5,2,0,1
S00094997,0.89608127469284604,39,3,7,19,9,0,0,1
S00094998,0.72431586803607995,60,8,6,26,9,3,0,8
S00094999,0.99999999998083799,29,1,5,14,9,0,0,0
S00095001,3.8514781635597399E-2,55,6,13,23,7,3,0,3
S00095003,0.67093072690560496,23,2,1,11,4,2,1,2
S00095004,0.99999999999994804,38,7,6,19,4,1,0,1
