pop..dz_id,pop..proportion_of_dz_within_co_m_boundary,pop..total_persons,pop..male_persons,pop..female_persons,pop..x0_4_years,pop..x5_11_years,pop..x12_17_years,pop..x18_29_years,pop..x30_39_years,pop..x40_59_years,pop..x60_74_years,pop..x75_years
S01007645,5.7008362439966501E-2,505,255,250,18,43,24,49,37,139,128,67
S01007646,0.153237162587126,606,304,302,16,29,34,67,40,205,151,64
S01012250,7.7224855273495999E-2,979,501,478,63,92,61,101,98,302,203,59
S01012262,0.19663505169450601,1013,512,501,50,79,69,90,95,360,214,56
S01012271,0.363939653402855,2058,1016,1042,165,226,154,236,300,618,277,82
S01012272,0.77537740974601099,697,361,336,32,64,38,77,95,203,126,62
S01012273,0.53433238842013298,891,448,443,57,76,48,100,92,231,198,89
S01012274,0.99999999999881295,925,457,468,46,73,65,128,75,276,225,37
S01012275,1.0000000000070499,790,373,417,29,24,48,199,169,157,129,35
S01012276,0.999999999969716,989,481,508,45,69,41,139,135,252,194,114
S01012277,1.0000000000875999,1066,546,520,56,71,71,171,147,309,182,59
S01012278,1.0000000000085201,651,326,325,17,27,24,131,69,181,124,78
S01012279,0.99999999999502698,718,363,355,34,55,31,145,112,173,131,37
S01012280,1.0000000000003999,923,449,474,52,85,73,112,99,263,187,52
S01012281,0.99999999999988498,697,358,339,43,49,29,116,106,185,107,62
S01012282,1.00000000000006,1135,459,676,23,40,51,289,102,211,258,161
S01012283,1.0000000005837899,911,460,451,45,91,56,116,94,240,188,81
S01012284,0.99999999996774902,784,362,422,41,53,37,164,102,181,117,89
S01012285,0.99999999999979095,525,255,270,22,23,27,40,37,128,165,83
S01012286,0.99999999994755395,1014,492,522,52,72,60,160,119,272,211,68
S01012287,0.99999999999561096,798,404,394,49,83,44,120,98,224,132,48
S01012288,0.99999999999915501,642,327,315,39,69,35,100,81,161,103,54
S01012289,2.13744393743171E-2,910,418,492,16,52,59,80,60,229,251,163
S01012293,0.63341568567385398,471,221,250,13,27,32,52,49,106,139,53
S01012294,0.72408596763175503,770,345,425,38,57,36,89,92,221,177,60
S01012297,0.21931520533440799,684,317,367,38,56,57,53,65,215,140,60
S01012299,0.163526036265561,644,316,328,30,40,44,73,57,210,145,45
S01012341,4.5247482015879803E-2,1073,562,511,46,105,55,114,102,331,252,68
S01012355,0.51012170941278401,924,489,435,44,50,52,90,80,276,263,69
S01012356,1.0000000000017299,702,335,367,23,42,37,57,52,198,198,95
S01012357,0.91569730683805695,926,442,484,42,47,28,81,68,228,314,118
S01012358,0.46895988150760898,749,366,383,30,37,32,62,54,216,219,99
S01012359,0.999999999997783,765,371,394,62,58,59,110,72,196,157,51
S01012360,1.0000000000028499,812,353,459,74,131,83,107,97,175,107,38
S01012361,0.99999999999973799,592,278,314,39,59,54,82,59,166,93,40
S01012362,0.99999999999927602,816,393,423,64,117,84,143,99,206,77,26
S01012363,0.99999999999979206,1043,520,523,35,81,50,174,111,297,207,88
S01012364,1.00000000001533,630,318,312,24,38,28,70,67,177,143,83
S01012365,0.99999999998828804,788,399,389,23,55,44,78,82,217,180,109
S01012366,1.0000000000009399,811,396,415,30,56,30,92,73,211,196,123
S01012367,1.0000000000001701,878,423,455,49,71,48,92,88,232,200,98
S01012368,1.00000000000086,596,286,310,22,20,40,47,43,155,143,126
S01012369,1.0000000000001299,798,381,417,43,48,50,88,69,227,161,112
S01012370,0.99999999998459799,954,475,479,25,87,49,107,94,288,193,111
S01012371,0.999999999946657,919,443,476,44,41,31,137,98,225,164,179
S01012372,1.00000000000113,650,334,316,21,44,23,83,70,184,116,109
S01012373,1.0000000000004601,905,442,463,30,69,59,93,94,250,213,97
S01012374,1.0000000000043601,881,416,465,42,66,60,98,80,259,207,69
S01012375,0.99999999999876799,815,395,420,41,59,64,88,104,257,132,70
S01012376,0.96970311982795299,1019,503,516,21,76,82,93,71,324,252,100
S01012377,0.58017343325833604,655,323,332,26,57,43,41,36,182,160,110
S01012378,0.94379841283773702,568,283,285,29,21,29,39,40,169,177,64
S01012379,0.83699028491910898,520,260,260,22,44,30,46,64,122,134,58
S01012380,1.0000000000004099,808,386,422,42,63,56,102,72,241,164,68
S01012381,0.99999999994071898,759,359,400,25,49,55,72,70,194,141,153
S01012382,0.99999999999798195,911,453,458,38,57,56,87,73,227,265,108
S01012383,0.99999999999789801,822,382,440,23,41,49,71,73,202,220,143
S01012384,1.00000000001195,481,212,269,15,31,27,49,48,132,119,60
S01012385,0.99999999999650802,645,315,330,12,44,27,82,73,193,158,56
S01012386,1.00000000000167,1009,487,522,58,99,69,152,87,252,171,121
