rel..oa_id,rel..proportion_of_oa_within_co_m_boundary,rel..total_persons,rel..christian_church_of_scotland,rel..christian_roman_catholic,rel..christian_other_christian,rel..buddhist,rel..hindu,rel..jewish,rel..muslim,rel..sikh,rel..other_religion,rel..no_religion,rel..religion_not_stated
S00094877,0.20573155531346299,85,35,6,6,0,0,0,0,0,0,33,5
S00094878,0.48052849446548701,135,58,2,9,0,0,0,0,0,0,56,10
S00094879,0.99999999999556699,190,54,10,16,0,2,0,3,0,0,94,11
S00094880,0.72644025135888302,114,45,6,5,0,0,0,4,0,2,42,10
S00094881,0.122629340633615,75,35,2,10,0,0,0,1,0,1,20,6
S00094883,0.90421623364364301,99,57,8,4,0,0,0,0,0,0,25,5
S00094884,0.29221392374473198,96,33,3,12,0,0,0,0,0,0,38,10
S00094886,0.90724093083095603,138,58,4,24,0,0,0,0,0,0,44,8
S00094887,1.00000000005756,90,32,9,11,0,0,0,0,0,0,28,10
S00094888,0.99999999999883704,156,82,13,9,0,0,0,4,0,0,36,12
S00094889,1.0000000002680001,114,42,7,2,2,0,0,0,0,0,57,4
S00094890,0.99999999999692302,68,36,6,11,0,0,0,0,0,0,12,3
S00094891,0.99999999999985301,134,48,6,9,1,0,0,0,0,0,62,8
S00094892,0.99999999999723099,103,41,9,7,0,0,0,0,0,0,41,5
S00094893,0.99999999999517697,77,41,7,7,1,0,0,0,1,0,15,5
S00094894,0.99999999835190501,99,49,3,3,0,0,0,6,0,0,38,0
S00094895,1.00000000000082,74,18,11,14,1,0,0,1,0,0,27,2
S00094898,0.60275010464650902,121,59,4,4,0,0,0,0,0,2,33,19
S00094901,0.35040717376890401,141,41,6,11,0,0,0,0,0,3,74,6
S00094911,1.00000000003946,159,67,9,15,0,0,0,0,0,1,59,8
S00094912,0.94839853150804299,72,32,1,8,1,0,0,0,0,0,24,6
S00094913,0.97180980516327398,83,45,4,9,0,0,0,0,0,0,20,5
S00094914,1.0000000000004401,105,43,2,5,0,1,0,3,0,3,39,9
S00094915,0.16102648658510799,119,37,6,7,0,0,0,0,0,0,42,27
S00094916,0.54178506788717595,170,53,7,20,5,7,0,3,0,0,52,23
S00094924,8.0526575264277006E-2,103,32,9,10,1,0,0,0,0,0,45,6
S00094927,1.0000000001832099,139,59,2,19,0,0,0,0,0,0,44,15
S00094928,0.99999999999845701,132,41,8,28,0,0,0,0,0,0,43,12
S00094929,0.58760594641686203,166,51,5,34,2,0,0,0,0,4,60,10
S00094930,0.97660588930627201,122,51,14,14,0,0,0,0,0,1,31,11
S00094931,0.856331282162765,83,21,4,15,0,0,0,0,0,0,39,4
S00094932,0.65590451969980701,65,22,1,2,0,0,0,0,0,0,27,13
S00094933,1.0000000000001601,112,42,3,8,0,0,0,0,0,2,47,10
S00094934,0.92363737484738395,104,47,5,7,0,0,0,0,0,0,36,9
S00094935,0.933231344939915,139,58,7,6,4,0,0,0,0,0,53,11
S00094936,0.99999999999886302,110,45,6,12,0,0,0,0,0,4,34,9
S00094937,0.99999999999670797,114,42,7,3,3,0,0,0,0,0,54,5
S00094938,0.99999999999945099,167,65,4,19,2,0,0,0,0,0,66,11
S00094939,1.00000000003776,96,26,6,9,0,0,0,0,1,0,45,9
S00094967,2.0277032776610401E-2,102,47,2,14,0,0,0,0,0,0,28,11
S00094971,4.5947723364959801E-2,106,35,16,14,4,0,0,0,0,0,22,15
S00094980,0.99999999999875799,94,26,4,8,0,1,4,0,0,1,35,15
S00094981,1.0000000000000699,105,33,7,21,0,0,0,0,0,0,38,6
S00094982,1.00000000000554,161,73,7,14,0,0,0,0,0,1,40,26
S00094984,0.92564334949592397,118,45,6,8,0,0,0,0,0,0,52,7
S00094985,0.58809536390831896,89,41,5,3,0,0,0,0,0,0,23,17
S00094986,0.86275354151536798,55,19,4,4,0,0,0,0,0,0,25,3
S00094987,0.92373890804341596,107,45,3,8,0,0,0,0,0,0,25,26
S00094988,0.99999999998828604,60,25,6,3,0,0,0,0,0,0,23,3
S00094989,0.48253368851370299,120,40,11,12,0,0,0,0,0,0,38,19
S00094990,0.84739400438577095,92,36,11,11,0,0,0,1,0,1,23,9
S00094991,1.0000000000003499,110,39,5,15,0,0,0,5,0,2,32,12
S00094992,1.0000000000195099,65,17,11,2,0,0,0,0,0,0,29,6
S00094993,0.99999999999956501,95,41,10,2,0,0,0,0,0,0,35,7
S00094994,0.999999999999719,98,56,1,13,0,0,0,0,0,0,15,13
S00094995,0.99999999999780997,104,52,5,15,0,0,0,0,0,0,21,11
S00094996,0.99999999999838296,59,25,4,5,1,0,0,0,0,1,18,5
S00094997,0.89608127469284604,92,35,2,9,0,0,0,0,0,0,42,4
S00094998,0.72431586803607995,139,32,5,15,0,0,0,5,0,0,62,20
S00094999,0.99999999998083799,69,29,6,11,0,0,0,0,0,0,21,2
S00095001,3.8514781635597399E-2,122,26,10,19,0,0,0,0,0,0,48,19
S00095003,0.67093072690560496,62,22,1,5,1,0,0,0,0,0,23,10
S00095004,0.99999999999994804,81,44,2,9,0,0,0,0,0,0,20,6
S00095005,0.99999999999929301,81,43,5,6,0,0,0,0,0,0,18,9
S00095006,1.00000000000051,150,64,6,8,0,0,0,0,0,0,60,12
S00095007,0.99999999998831701,109,48,11,5,1,0,0,0,0,0,37,7
S00095008,1.0000000000004099,59,31,3,7,0,0,0,1,0,0,11,6
S00095011,0.27387977526472002,120,41,6,9,0,0,0,0,0,0,61,3
S00095012,4.9044870445677097E-2,118,32,2,10,1,0,0,0,0,3,65,5
S00095014,8.6039263746718594E-2,82,16,5,11,0,0,1,0,0,0,38,11
S00095022,0.14760473846382699,149,56,0,16,0,0,1,0,0,0,63,13
S00095046,0.99999999999036504,131,49,17,3,3,0,0,0,0,0,57,2
S00095047,0.99999999974193499,75,50,1,4,0,0,0,0,0,0,16,4
S00095048,0.99999999999512001,124,56,16,11,0,0,0,1,0,0,36,4
S00095049,1.0000000000001199,70,43,3,3,0,0,0,0,0,0,19,2
S00095050,0.99999999998952305,70,36,3,1,0,0,0,1,0,0,28,1
S00095051,1.0000000000068701,93,39,3,2,1,0,1,0,0,0,42,5
S00095052,0.99999999999770095,110,47,1,10,0,4,0,0,0,0,35,13
S00095053,1.00000000000941,95,37,4,5,0,0,0,0,0,0,43,6
S00095054,1.0000000000010401,84,20,3,10,0,0,0,0,0,0,48,3
S00095055,1.00000000007644,150,61,9,6,0,0,0,0,0,0,65,9
S00095056,0.99999999995598698,109,41,10,1,0,0,0,0,0,0,48,9
S00095057,1.0000000000123499,113,44,8,3,0,0,0,0,0,0,54,4
