ethn..oa_id,ethn..proportion_of_oa_within_co_m_boundary,ethn..total_persons,ethn..white_english_welsh_scottish_northern_irish_british,ethn..white_irish,ethn..white_gypsy_or_irish_traveller,ethn..white_other_white,ethn..mixed_multiple_ethnic_group_white_and_black_caribbean,ethn..mixed_multiple_ethnic_group_white_and_black_african,ethn..mixed_multiple_ethnic_group_white_and_asian,ethn..mixed_multiple_ethnic_group_other_mixed,ethn..asian_asian_british_indian,ethn..asian_asian_british_pakistani,ethn..asian_asian_british_bangladeshi,ethn..asian_asian_british_chinese,ethn..asian_asian_british_other_asian,ethn..black_african_caribbean_black_british_african,ethn..black_african_caribbean_black_british_caribbean,ethn..black_african_caribbean_black_british_other_black,ethn..other_ethnic_group_arab,ethn..other_ethnic_group_any_other_ethnic_group,ethn..white_or_white_british,ethn..black_or_black_british,ethn..asian_or_asian_british,ethn..mixed_multiple_ethnicity,ethn..other_ethnicity
E00039773,0.540773916016284,480,368,1,0,13,8,0,4,15,9,25,0,3,7,1,6,6,9,5,382,13,44,27,14
E00039774,0.39681367134415901,434,262,1,5,22,16,0,6,3,9,52,0,1,6,11,26,1,9,4,290,38,68,25,13
E00039775,0.29398835967078601,401,158,0,16,43,19,1,2,1,4,88,8,8,6,7,8,5,6,21,217,20,114,23,27
E00039798,0.13351016454016301,324,295,1,0,0,2,0,0,0,0,8,0,0,2,6,9,0,1,0,296,15,10,2,1
E00039877,0.56581098762686899,372,177,3,0,5,3,0,24,9,6,84,1,1,1,13,1,7,37,0,185,21,93,36,37
E00039898,0.99551898901495595,308,44,0,0,15,2,1,1,2,13,56,141,0,7,9,1,4,11,1,59,14,217,6,12
E00039908,0.12252227636625999,262,146,0,0,15,19,2,2,5,8,5,0,1,1,18,20,10,4,6,161,48,15,28,10
E00039942,0.61131463441850797,242,184,0,3,6,3,2,3,3,2,8,6,0,2,7,1,1,9,2,193,9,18,11,11
E00039943,0.99999999999655698,243,52,2,0,2,1,0,0,2,1,120,42,0,0,2,0,0,18,1,56,2,163,3,19
E00039944,1.0000000000001299,353,35,0,0,15,3,2,0,9,1,117,100,0,21,23,2,0,25,0,50,25,239,14,25
E00039945,0.99955430135743195,176,41,1,0,2,1,0,3,0,0,52,31,1,2,18,1,6,16,1,44,25,86,4,17
E00040031,1.00000000000645,446,43,0,0,3,1,0,4,8,3,153,134,0,15,33,5,21,21,2,46,59,305,13,23
E00040033,0.99999999998148803,386,134,0,4,43,2,0,0,0,8,71,79,1,17,8,4,1,10,4,181,13,176,2,14
E00040035,0.553549935039513,250,225,0,0,0,4,0,0,0,0,12,5,0,0,0,2,1,0,1,225,3,17,4,1
E00040038,0.84534224735754204,478,61,0,0,1,1,5,4,2,1,287,18,4,27,32,3,0,30,2,62,35,337,12,32
E00040043,0.162748959773099,244,156,0,1,6,1,0,2,2,0,48,8,0,7,5,2,1,4,1,163,8,63,5,5
