health..oa_id,health..proportion_of_oa_within_co_m_boundary,health..total_persons,health..very_good_health,health..good_health,health..fair_health,health..bad_health,health..very_bad_health
E00039773,0.540773916016284,480,254,164,45,14,3
E00039774,0.39681367134415901,434,196,123,66,31,18
E00039775,0.29398835967078601,401,190,145,43,17,6
E00039798,0.13351016454016301,324,148,133,27,12,4
E00039877,0.56581098762686899,372,159,124,64,21,4
E00039898,0.99551898901495595,308,141,109,36,16,6
E00039908,0.12252227636625999,262,88,86,52,31,5
E00039942,0.61131463441850797,242,80,102,38,13,9
E00039943,0.99999999999655698,243,94,85,43,12,9
E00039944,1.0000000000001299,353,177,109,45,16,6
E00039945,0.99955430135743195,176,63,57,30,19,7
E00040031,1.00000000000645,446,215,134,64,25,8
E00040033,0.99999999998148803,386,172,130,42,36,6
E00040035,0.553549935039513,250,109,78,46,14,3
E00040038,0.84534224735754204,478,212,168,77,20,1
E00040043,0.162748959773099,244,98,80,39,20,7
E00040044,0.99999999999929901,447,219,138,53,32,5
E00040045,0.72211089645004201,359,141,106,74,28,10
E00040046,1.00000000000085,311,113,93,64,34,7
E00040047,0.99999999999779099,241,88,74,46,19,14
E00040048,0.99999999999942502,218,54,55,57,38,14
E00040049,0.99999999999991596,349,133,110,56,33,17
E00040050,1.00000000001356,328,137,104,47,32,8
E00040051,0.245441673449663,320,126,83,70,34,7
E00040052,1.00000000000001,290,149,75,45,16,5
E00040053,1.00000000000145,449,174,171,62,34,8
E00040054,1.0000000000001701,250,45,74,75,43,13
E00040056,0.99999999999362599,423,228,120,47,19,9
E00040057,1.0000000000026099,341,173,120,29,17,2
E00040058,1.00000000001141,353,155,122,48,24,4
E00040059,1.00000000000225,412,215,135,47,13,2
E00040060,0.88321123328021101,359,153,134,48,20,4
E00040061,1.00000000000417,437,195,180,46,12,4
E00040084,0.100457451044924,368,157,134,55,12,10
E00040589,0.99999999999966305,411,188,122,51,29,21
E00040590,0.95038080143888604,273,102,94,48,21,8
E00040591,0.59256176475512201,266,119,89,43,12,3
E00040596,0.995215038633112,313,166,82,42,14,9
E00040597,0.99999999999977596,238,56,54,70,42,16
E00040598,0.73368926477215501,328,142,109,48,27,2
E00040599,0.99999999999415801,278,101,108,52,16,1
E00040600,0.60792977605546905,282,95,104,48,25,10
E00040601,1.0000000000059901,308,104,82,65,44,13
E00040602,1.00000000000192,347,133,124,67,15,8
E00040605,1.00000000000108,309,140,89,48,24,8
E00172426,0.99999999999870204,510,291,145,37,25,12
E00172428,0.93397623369100902,441,212,162,31,24,12
E00172431,0.46849105180659301,410,213,135,40,13,9
E00172453,1.0000000000009699,183,112,64,4,3,0
E00172489,0.99999999999948697,497,232,173,59,26,7
E00172491,0.99999999999992895,359,165,117,41,32,4
E00172515,1.1108338468486001E-2,200,103,53,25,17,2
