house..oa_id,house..proportion_of_oa_within_co_m_boundary,house..total_households,house..one_person_household_65,house..one_person_household_64,house..couple_no_dependent_children,house..couple_dependent_children,house..lone_parent_dependent_children,house..other_household_no_dependent_children,house..other_household_dependent_children
E00039773,0.540773916016284,185,12,25,60,60,17,6,5
E00039774,0.39681367134415901,160,6,38,55,27,15,15,4
E00039775,0.29398835967078601,141,9,34,14,22,29,15,18
E00039798,0.13351016454016301,144,8,37,51,29,13,5,1
E00039877,0.56581098762686899,130,5,32,21,23,25,7,17
E00039898,0.99551898901495595,90,4,9,12,28,12,20,5
E00039908,0.12252227636625999,112,11,32,14,20,22,11,2
E00039942,0.61131463441850797,96,11,12,19,20,21,12,1
E00039943,0.99999999999655698,71,7,12,15,19,5,5,8
E00039944,1.0000000000001299,92,7,6,10,34,14,8,13
E00039945,0.99955430135743195,65,13,13,9,13,9,5,3
E00040031,1.00000000000645,113,3,5,17,41,20,15,12
E00040033,0.99999999998148803,131,18,20,25,33,9,16,10
E00040035,0.553549935039513,113,12,21,49,24,4,3,0
E00040038,0.84534224735754204,124,2,8,19,46,21,11,17
E00040043,0.162748959773099,114,25,23,28,13,15,6,4
E00040044,0.99999999999929901,158,21,19,28,31,25,16,18
E00040045,0.72211089645004201,148,23,46,21,28,10,12,8
E00040046,1.00000000000085,129,28,20,32,21,8,15,5
E00040047,0.99999999999779099,157,18,76,27,6,19,9,2
E00040048,0.99999999999942502,105,31,10,38,3,8,9,6
E00040049,0.99999999999991596,139,20,24,26,27,17,13,12
E00040050,1.00000000001356,125,11,26,32,26,14,6,10
E00040051,0.245441673449663,127,26,26,27,16,18,8,6
E00040052,1.00000000000001,102,5,27,9,28,16,8,9
E00040053,1.00000000000145,144,22,14,37,38,9,13,11
E00040054,1.0000000000001701,134,49,19,36,10,4,12,4
E00040056,0.99999999999362599,138,14,19,23,50,7,14,11
E00040057,1.0000000000026099,96,2,12,10,48,9,10,5
E00040058,1.00000000001141,108,12,11,25,34,10,6,10
E00040059,1.00000000000225,121,6,15,23,41,15,12,9
E00040060,0.88321123328021101,136,17,22,35,38,4,15,5
E00040061,1.00000000000417,124,11,14,20,38,14,14,13
E00040084,0.100457451044924,127,7,28,16,25,18,20,13
E00040589,0.99999999999966305,160,14,47,33,35,16,9,6
E00040590,0.95038080143888604,117,18,16,32,22,12,15,2
E00040591,0.59256176475512201,115,18,14,38,17,11,13,4
E00040596,0.995215038633112,105,8,12,43,21,6,6,9
E00040597,0.99999999999977596,149,65,28,31,11,6,7,1
E00040598,0.73368926477215501,133,21,19,38,23,18,11,3
E00040599,0.99999999999415801,122,13,37,32,18,6,15,1
E00040600,0.60792977605546905,141,37,32,33,22,6,7,4
E00040601,1.0000000000059901,140,23,23,49,17,13,10,5
E00040602,1.00000000000192,134,24,17,47,29,8,6,3
E00040605,1.00000000000108,132,31,13,40,23,12,12,1
E00172426,0.99999999999870204,138,3,8,13,63,20,18,13
E00172428,0.93397623369100902,124,7,22,13,28,17,14,23
E00172431,0.46849105180659301,126,13,19,10,23,26,15,20
E00172453,1.0000000000009699,64,0,8,16,31,2,4,3
E00172489,0.99999999999948697,126,9,11,17,44,15,13,17
E00172491,0.99999999999992895,115,9,19,25,32,15,8,7
E00172515,1.1108338468486001E-2,98,6,48,9,12,8,9,6
