pop..lsoa_id,pop..proportion_of_lsoa_within_co_m_boundary,pop..total_persons,pop..male_persons,pop..female_persons,pop..x0_4_years,pop..x5_11_years,pop..x12_17_years,pop..x18_29_years,pop..x30_39_years,pop..x40_59_years,pop..x60_74_years,pop..x75_years
E01007852,5.5605170163306503E-2,1499,751,748,87,115,82,229,239,423,220,104
E01007854,0.41989522928416501,1691,751,940,127,200,158,283,242,443,182,56
E01007855,0.128064889083676,2295,1141,1154,231,309,199,396,366,481,227,86
E01007877,0.53223153849290805,1512,759,753,148,217,198,221,254,304,119,51
E01007883,0.87290999622377896,1783,835,948,106,253,257,292,282,410,135,48
E01007885,7.7221536548399999E-2,1975,908,1067,148,241,153,323,326,543,180,61
E01007902,0.23927698957923599,1812,945,867,151,183,119,274,288,400,230,167
E01007904,0.79289808639384296,1873,899,974,166,225,190,276,273,384,227,132
E01007905,0.99999999999878197,2172,988,1184,185,352,254,369,519,361,90,42
E01007906,0.99999999999883404,2849,1429,1420,292,395,331,488,470,587,187,99
E01007907,0.77840621961126899,1716,871,845,117,147,177,344,219,437,179,96
E01007913,0.41480809579038402,1743,866,877,158,251,179,309,294,359,121,72
E01008014,0.99979274353694403,1761,875,886,128,187,244,331,287,399,112,73
E01008016,0.92663865594418804,1673,764,909,167,230,117,265,224,399,188,83
E01008017,8.4655167891367303E-2,1537,740,797,70,106,99,153,118,383,328,280
E01033269,0.80593813108656498,2254,1134,1120,238,383,209,386,377,470,128,63
