rel..oa_id,rel..proportion_of_oa_within_co_m_boundary,rel..total_persons,rel..christian,rel..buddhist,rel..hindu,rel..jewish,rel..muslim,rel..sikh,rel..other_religion,rel..no_religion,rel..religion_not_stated
E00039773,0.540773916016284,480,264,0,0,0,49,0,3,139,25
E00039774,0.39681367134415901,434,201,0,2,0,71,0,3,114,43
E00039775,0.29398835967078601,401,168,1,0,0,109,1,1,84,37
E00039798,0.13351016454016301,324,182,0,0,0,14,0,4,115,9
E00039877,0.56581098762686899,372,127,1,4,0,126,1,1,87,25
E00039898,0.99551898901495595,308,45,0,8,0,218,0,1,16,20
E00039908,0.12252227636625999,262,112,2,0,0,30,5,1,88,24
E00039942,0.61131463441850797,242,118,0,0,0,30,1,2,71,20
E00039943,0.99999999999655698,243,47,0,0,0,172,0,1,6,17
E00039944,1.0000000000001299,353,33,0,3,0,276,4,0,11,26
E00039945,0.99955430135743195,176,32,0,0,0,116,0,1,12,15
E00040031,1.00000000000645,446,46,0,3,0,346,0,0,19,32
E00040033,0.99999999998148803,386,140,0,13,0,176,0,0,43,14
E00040035,0.553549935039513,250,180,0,0,0,18,0,0,37,15
E00040038,0.84534224735754204,478,79,3,0,1,348,2,0,21,24
E00040043,0.162748959773099,244,107,2,0,0,65,0,1,50,19
E00040044,0.99999999999929901,447,156,1,5,0,202,5,1,48,29
E00040045,0.72211089645004201,359,144,0,0,0,128,0,0,64,23
E00040046,1.00000000000085,311,139,1,8,2,86,0,0,46,29
E00040047,0.99999999999779099,241,97,1,0,0,58,0,0,57,28
E00040048,0.99999999999942502,218,126,7,0,0,50,0,0,26,9
E00040049,0.99999999999991596,349,110,1,1,0,156,0,1,43,37
E00040050,1.00000000001356,328,144,0,0,0,128,0,0,45,11
E00040051,0.245441673449663,320,139,2,0,0,112,0,0,49,18
E00040052,1.00000000000001,290,66,0,0,0,166,0,1,44,13
E00040053,1.00000000000145,449,145,2,2,0,251,0,0,21,28
E00040054,1.0000000000001701,250,145,0,0,0,57,0,0,35,13
E00040056,0.99999999999362599,423,134,0,0,0,211,0,1,64,13
E00040057,1.0000000000026099,341,45,1,3,0,242,4,1,29,16
E00040058,1.00000000001141,353,94,0,4,0,221,0,0,16,18
E00040059,1.00000000000225,412,92,2,0,0,243,0,0,54,21
E00040060,0.88321123328021101,359,149,2,5,0,94,0,1,92,16
E00040061,1.00000000000417,437,100,1,1,0,250,0,0,66,19
E00040084,0.100457451044924,368,83,0,0,0,229,0,0,48,8
E00040589,0.99999999999966305,411,159,2,4,0,90,0,2,109,45
E00040590,0.95038080143888604,273,185,0,0,0,9,0,0,68,11
E00040591,0.59256176475512201,266,170,0,2,0,14,0,0,69,11
E00040596,0.995215038633112,313,115,2,1,0,129,0,1,51,14
E00040597,0.99999999999977596,238,158,0,5,0,9,0,0,49,17
E00040598,0.73368926477215501,328,175,0,0,0,8,5,0,115,25
E00040599,0.99999999999415801,278,140,0,0,0,34,2,1,78,23
E00040600,0.60792977605546905,282,179,0,0,0,19,0,0,60,24
E00040601,1.0000000000059901,308,174,4,0,0,25,0,4,78,23
E00040602,1.00000000000192,347,231,1,0,0,14,0,0,67,34
E00040605,1.00000000000108,309,185,1,0,0,46,0,0,50,27
E00172426,0.99999999999870204,510,93,0,9,0,358,4,0,14,32
E00172428,0.93397623369100902,441,80,1,0,1,312,0,1,33,13
E00172431,0.46849105180659301,410,109,0,0,0,245,0,0,35,21
E00172453,1.0000000000009699,183,34,0,0,0,93,1,1,36,18
E00172489,0.99999999999948697,497,66,0,6,2,345,0,0,48,30
E00172491,0.99999999999992895,359,97,0,1,0,209,0,0,34,18
E00172515,1.1108338468486001E-2,200,44,1,1,0,115,0,0,26,13
