ethn..geo_code,ethn..proportion_of_sa_within_co_m_boundary,ethn..total_persons,ethn..white_or_white_irish,ethn..black_or_black_irish,ethn..asian_or_asian_irish,ethn..mixed_other_ethnicity,ethn..not_stated
157010001,1.54882327524984E-2,264,236,15,0,1,12
157010004,0.68006443451559395,427,347,36,17,15,12
157011002,0.82026385522993905,361,323,24,10,2,2
157011003,5.1253086419544298E-2,243,212,13,0,4,14
157011005,2.7774147000511999E-2,245,225,2,10,5,3
157011006,0.99999999999966704,448,410,1,10,6,21
157011007,0.69932163722115404,330,309,0,9,4,8
157011008,0.99999999999929601,319,310,0,1,5,3
157011009,1.0000000000000699,273,252,0,9,1,11
157011010,0.42544596865370199,479,445,2,8,12,12
157011011,1.0000000000036,332,319,1,3,0,9
157015005,6.7618589123391803E-2,205,202,0,0,1,2
157015009,0.435262952608098,258,256,0,0,0,2
157016001,0.95921572165789304,169,162,0,1,2,4
157016002,0.99013671673013104,132,129,0,0,0,3
157016003,0.99999999999994904,281,278,0,0,0,3
157016004,1.0000000000001801,233,231,0,0,1,1
157016005,0.99999999999961797,99,90,1,0,4,4
157016006,0.99999999999945899,238,234,0,0,0,4
157016007,0.99553667231579102,194,189,0,0,1,4
157016008,0.98803125069682396,204,194,0,4,3,3
157016009,0.99999999999814904,201,191,0,0,0,10
157016010,1.0000000000015701,358,355,0,0,1,2
157016011,0.99999999996297295,207,206,1,0,0,0
157016012,0.99999999999744604,223,213,1,0,6,3
157016013/157016014,1.00000000000003,208,205,0,1,0,2
157016015,0.99994632017702001,316,306,0,5,5,0
157016016,1.00000000000133,327,326,0,1,0,0
157016017,0.99999999999949696,291,286,1,2,2,0
157016018,1.0000000000003799,299,286,2,0,8,3
157016019,0.99246561785829202,227,226,0,0,0,1
157016020,0.99999999998377498,291,290,0,0,0,1
157016021,1.0000000000011999,389,340,8,13,3,25
157016022,0.99999999999869005,173,164,0,3,5,1
157154001,0.99999999999486799,253,242,0,1,7,3
157154002,1.0000000000325899,89,77,1,8,2,1
157154003,0.99999999999417,214,208,0,0,1,5
157154004,1.00000000000894,149,142,0,0,3,4
157154005,1.0000000000004801,218,216,0,0,0,2
157154006,1.0000000000001099,262,257,0,0,2,3
157154007,0.99999999999980704,270,264,0,5,0,1
157154008,1.00000000000251,156,155,0,0,0,1
157154009,0.999999999999169,245,242,0,0,0,3
157154010,0.99817326701096099,287,275,0,1,10,1
157154011,0.995307140277921,194,193,0,0,1,0
157154012,0.99987903321520699,133,132,0,0,0,1
