health..sa_id,health..proportion_of_sa_within_co_m_boundary,health..total_persons,health..very_good_health,health..good_health,health..fair_health,health..bad_health,health..very_bad_health,health..not_stated
157010001,1.54882327524984E-2,264,143,79,24,2,1,15
157010004,0.68006443451559395,429,271,118,27,3,0,10
157011002,0.82026385522993905,362,225,107,22,3,1,4
157011003,5.1253086419544298E-2,243,123,65,28,8,1,18
157011005,2.7774147000511999E-2,246,156,64,19,4,0,3
157011006,0.99999999999966704,471,303,125,16,4,0,23
157011007,0.69932163722115404,331,197,101,19,4,0,10
157011008,0.99999999999929601,320,223,70,15,4,0,8
157011009,1.0000000000000699,273,176,67,17,2,0,11
157011010,0.42544596865370199,482,329,119,12,1,2,19
157011011,1.0000000000036,333,226,71,22,5,0,9
157015005,6.7618589123391803E-2,206,129,51,19,1,0,6
157015009,0.435262952608098,258,155,70,30,2,1,0
157016001,0.95921572165789304,169,64,65,32,1,0,7
157016002,0.99013671673013104,137,80,33,17,1,2,4
157016003,0.99999999999994904,281,146,78,40,7,2,8
157016004,1.0000000000001801,236,152,56,21,4,0,3
157016005,0.99999999999961797,99,41,36,18,1,0,3
157016006,0.99999999999945899,241,138,63,29,6,1,4
157016007,0.99553667231579102,194,123,52,17,0,0,2
157016008,0.98803125069682396,204,112,56,25,1,0,10
157016009,0.99999999999814904,201,112,58,18,5,0,8
157016010,1.0000000000015701,359,216,106,29,2,1,5
157016011,0.99999999996297295,213,136,61,11,1,0,4
157016012,0.99999999999744604,223,125,67,24,3,1,3
157016013/157016014,1.00000000000003,210,150,41,15,3,0,1
157016015,0.99994632017702001,320,205,72,35,4,1,3
157016016,1.00000000000133,329,180,109,35,5,0,0
157016017,0.99999999999949696,295,197,76,19,1,1,1
157016018,1.0000000000003799,304,193,81,24,2,1,3
157016019,0.99246561785829202,229,158,52,12,3,0,4
157016020,0.99999999998377498,294,172,94,22,4,1,1
157016021,1.0000000000011999,437,267,106,16,2,0,46
157016022,0.99999999999869005,186,106,60,16,2,0,2
157154001,0.99999999999486799,256,139,82,24,5,2,4
157154002,1.0000000000325899,90,43,25,16,4,0,2
157154003,0.99999999999417,216,130,55,23,1,0,7
157154004,1.00000000000894,150,89,31,18,4,3,5
157154005,1.0000000000004801,221,147,56,10,4,1,3
157154006,1.0000000000001099,266,115,96,46,3,2,4
157154007,0.99999999999980704,271,166,82,18,2,0,3
157154008,1.00000000000251,156,105,36,11,2,0,2
157154009,0.999999999999169,245,140,83,16,4,0,2
157154010,0.99817326701096099,287,236,42,5,4,0,0
157154011,0.995307140277921,195,111,56,25,2,1,0
157154012,0.99987903321520699,133,57,61,13,2,0,0
