house..sa_id,house..proportion_of_sa_within_co_m_boundary,house..total_households,house..one_person_household,house..couple_no_dependent_children,house..couple_dependent_children,house..lone_parent_dependent_children,house..other_household_no_dependent_children,house..other_household_dependent_children
157010001,1.54882327524984E-2,77,11,8,25,24,3,6
157010004,0.68006443451559395,137,20,20,67,12,9,9
157011002,0.82026385522993905,115,15,13,60,15,5,7
157011003,5.1253086419544298E-2,85,18,13,23,14,6,11
157011005,2.7774147000511999E-2,84,14,21,35,6,4,4
157011006,0.99999999999966704,143,20,24,77,4,12,6
157011007,0.69932163722115404,118,26,25,54,5,4,4
157011008,0.99999999999929601,109,20,15,53,13,6,2
157011009,1.0000000000000699,86,10,15,45,9,4,3
157011010,0.42544596865370199,146,16,20,80,15,7,8
157011011,1.0000000000036,109,16,21,50,9,5,8
157015005,6.7618589123391803E-2,75,23,13,26,10,1,2
157015009,0.435262952608098,97,28,19,43,3,2,2
157016001,0.95921572165789304,67,18,13,23,6,4,3
157016002,0.99013671673013104,53,16,9,14,5,4,5
157016003,0.99999999999994904,105,26,22,35,13,4,5
157016004,1.0000000000001801,51,15,6,21,3,2,4
157016005,0.99999999999961797,46,20,8,12,3,3,0
157016006,0.99999999999945899,94,22,18,35,11,7,1
157016007,0.99553667231579102,70,15,15,25,10,3,2
157016008,0.98803125069682396,76,16,17,32,5,5,1
157016009,0.99999999999814904,74,18,16,28,5,5,2
157016010,1.0000000000015701,127,30,27,49,9,4,8
157016011,0.99999999996297295,69,7,23,28,6,3,2
157016012,0.99999999999744604,78,11,22,31,10,2,2
157016013/157016014,1.00000000000003,69,13,14,34,6,1,1
157016015,0.99994632017702001,120,23,39,46,5,3,4
157016016,1.00000000000133,112,21,28,44,9,4,6
157016017,0.99999999999949696,103,25,15,45,14,2,2
157016018,1.0000000000003799,96,17,19,43,8,3,6
157016019,0.99246561785829202,84,23,12,37,9,3,0
157016020,0.99999999998377498,99,18,29,47,2,2,1
157016021,1.0000000000011999,122,32,14,63,6,5,2
157016022,0.99999999999869005,64,22,16,18,6,1,1
157154001,0.99999999999486799,116,44,27,23,15,5,2
157154002,1.0000000000325899,43,15,12,8,5,2,1
157154003,0.99999999999417,83,28,20,28,4,3,0
157154004,1.00000000000894,57,19,15,14,6,2,1
157154005,1.0000000000004801,77,10,22,35,5,2,3
157154006,1.0000000000001099,72,11,17,35,6,1,2
157154007,0.99999999999980704,97,22,20,44,9,1,1
157154008,1.00000000000251,54,10,12,25,5,2,0
157154009,0.999999999999169,85,23,20,34,3,1,4
157154010,0.99817326701096099,101,25,15,54,4,3,0
157154011,0.995307140277921,92,39,21,21,6,4,1
157154012,0.99987903321520699,53,13,10,22,6,2,0
