pop..sa_code,pop..proportion_of_sa_within_co_m_boundary,pop..total_persons,pop..males,pop..females,pop..x0_4_years,pop..x5_11_years,pop..x12_17_years,pop..x18_29_years,pop..x30_39_years,pop..x40_59_years,pop..x60_74_years,pop..x75_years
157010001,1.54882327524984E-2,264,116,148,13,24,41,64,29,77,16,0
157010004,0.68006443451559395,429,207,222,37,58,44,69,66,129,16,10
157011002,0.82026385522993905,362,171,191,51,62,31,46,91,75,6,0
157011003,5.1253086419544298E-2,243,123,120,14,20,21,28,35,73,42,10
157011005,2.7774147000511999E-2,246,126,120,14,31,27,22,32,81,26,13
157011006,0.99999999999966704,471,232,239,50,64,33,36,93,169,24,2
157011007,0.69932163722115404,331,155,176,18,43,29,34,38,118,40,11
157011008,0.99999999999929601,320,163,157,32,42,25,26,45,104,23,23
157011009,1.0000000000000699,273,121,152,11,27,32,46,17,98,34,8
157011010,0.42544596865370199,482,233,249,51,75,46,53,87,144,23,3
157011011,1.0000000000036,333,154,179,20,41,31,48,42,104,32,15
157015005,6.7618589123391803E-2,206,101,105,14,28,19,19,23,65,27,11
157015009,0.435262952608098,258,135,123,15,21,22,36,24,86,32,22
157016001,0.95921572165789304,169,89,80,17,9,9,19,29,41,35,10
157016002,0.99013671673013104,137,75,62,9,8,9,19,18,37,26,11
157016003,0.99999999999994904,281,146,135,19,23,22,32,35,75,53,22
157016004,1.0000000000001801,236,122,114,10,13,97,22,18,36,34,6
157016005,0.99999999999961797,99,60,39,6,4,6,11,10,32,20,10
157016006,0.99999999999945899,241,117,124,16,21,15,26,31,71,38,23
157016007,0.99553667231579102,194,98,96,14,20,25,23,24,49,25,14
157016008,0.98803125069682396,204,90,114,17,25,13,11,38,45,41,14
157016009,0.99999999999814904,201,102,99,11,30,23,15,23,45,44,10
157016010,1.0000000000015701,359,169,190,21,41,37,33,34,112,56,25
157016011,0.99999999996297295,213,107,106,9,24,18,28,14,52,47,21
157016012,0.99999999999744604,223,112,111,12,22,17,31,21,72,30,18
157016013/157016014,1.00000000000003,210,97,113,13,35,28,12,16,66,27,13
157016015,0.99994632017702001,320,163,157,17,37,28,23,32,96,74,13
157016016,1.00000000000133,329,164,165,10,26,44,49,19,107,64,10
157016017,0.99999999999949696,295,139,156,28,39,25,37,69,67,23,7
157016018,1.0000000000003799,304,149,155,21,46,29,38,42,77,39,12
157016019,0.99246561785829202,229,122,107,14,29,22,23,21,82,32,6
157016020,0.99999999998377498,294,159,135,20,33,21,39,28,82,57,14
157016021,1.0000000000011999,437,215,222,47,66,30,29,82,118,45,20
157016022,0.99999999999869005,186,93,93,8,11,10,16,29,53,38,21
157154001,0.99999999999486799,256,113,143,16,21,19,31,43,71,39,16
157154002,1.0000000000325899,90,42,48,3,9,2,12,13,23,18,10
157154003,0.99999999999417,216,102,114,15,22,16,21,23,60,38,21
157154004,1.00000000000894,150,79,71,8,24,12,10,11,42,33,10
157154005,1.0000000000004801,221,113,108,7,13,29,24,16,72,54,6
157154006,1.0000000000001099,266,132,134,11,28,23,27,20,67,40,50
157154007,0.99999999999980704,271,132,139,11,25,29,36,25,73,49,23
157154008,1.00000000000251,156,78,78,12,17,19,18,12,53,21,4
157154009,0.999999999999169,245,124,121,6,31,23,29,20,75,41,20
157154010,0.99817326701096099,287,139,148,42,58,11,11,78,73,9,5
157154011,0.995307140277921,195,99,96,16,9,11,20,22,53,53,11
157154012,0.99987903321520699,133,72,61,1,11,8,24,8,39,31,11
