rel..sa_id,rel..proportion_of_sa_within_co_m_boundary,rel..total_persons,rel..religion_catholic,rel..religion_other_religions,rel..religion_no_religion,rel..religion_religion_not_stated
157010001,1.54882327524984E-2,264,198,36,17,13
157010004,0.68006443451559395,429,322,76,23,8
157011002,0.82026385522993905,362,286,48,26,2
157011003,5.1253086419544298E-2,243,197,14,13,19
157011005,2.7774147000511999E-2,246,171,29,43,3
157011006,0.99999999999966704,471,328,53,67,23
157011007,0.69932163722115404,331,251,20,54,6
157011008,0.99999999999929601,320,246,19,51,4
157011009,1.0000000000000699,273,200,29,34,10
157011010,0.42544596865370199,482,391,33,45,13
157011011,1.0000000000036,333,280,11,33,9
157015005,6.7618589123391803E-2,206,168,14,21,3
157015009,0.435262952608098,258,238,10,10,0
157016001,0.95921572165789304,169,160,0,4,5
157016002,0.99013671673013104,137,122,2,12,1
157016003,0.99999999999994904,281,270,4,5,2
157016004,1.0000000000001801,236,221,7,7,1
157016005,0.99999999999961797,99,85,7,6,1
157016006,0.99999999999945899,241,233,2,5,1
157016007,0.99553667231579102,194,189,1,4,0
157016008,0.98803125069682396,204,191,9,0,4
157016009,0.99999999999814904,201,185,3,8,5
157016010,1.0000000000015701,359,340,11,6,2
157016011,0.99999999996297295,213,200,8,4,1
157016012,0.99999999999744604,223,200,11,9,3
157016013/157016014,1.00000000000003,210,190,9,11,0
157016015,0.99994632017702001,320,289,16,15,0
157016016,1.00000000000133,329,313,4,7,5
157016017,0.99999999999949696,295,270,8,17,0
157016018,1.0000000000003799,304,286,5,9,4
157016019,0.99246561785829202,229,207,4,18,0
157016020,0.99999999998377498,294,266,18,10,0
157016021,1.0000000000011999,437,342,50,17,28
157016022,0.99999999999869005,186,138,29,16,3
157154001,0.99999999999486799,256,229,14,11,2
157154002,1.0000000000325899,90,64,19,5,2
157154003,0.99999999999417,216,191,7,14,4
157154004,1.00000000000894,150,137,4,6,3
157154005,1.0000000000004801,221,204,5,12,0
157154006,1.0000000000001099,266,243,17,5,1
157154007,0.99999999999980704,271,259,4,6,2
157154008,1.00000000000251,156,127,20,8,1
157154009,0.999999999999169,245,217,18,10,0
157154010,0.99817326701096099,287,249,19,19,0
157154011,0.995307140277921,195,164,17,14,0
157154012,0.99987903321520699,133,126,2,5,0
