ethn..oa_id,ethn..proportion_of_oa_within_co_m_boundary,ethn..total_persons,ethn..white_english_welsh_scottish_northern_irish_british,ethn..white_irish,ethn..white_gypsy_or_irish_traveller,ethn..white_other_white,ethn..mixed_multiple_ethnic_group_white_and_black_caribbean,ethn..mixed_multiple_ethnic_group_white_and_black_african,ethn..mixed_multiple_ethnic_group_white_and_asian,ethn..mixed_multiple_ethnic_group_other_mixed,ethn..asian_asian_british_indian,ethn..asian_asian_british_pakistani,ethn..asian_asian_british_bangladeshi,ethn..asian_asian_british_chinese,ethn..asian_asian_british_other_asian,ethn..black_african_caribbean_black_british_african,ethn..black_african_caribbean_black_british_caribbean,ethn..black_african_caribbean_black_british_other_black,ethn..other_ethnic_group_arab,ethn..other_ethnic_group_any_other_ethnic_group,ethn..white_or_white_british,ethn..black_or_black_british,ethn..asian_or_asian_british,ethn..mixed_multiple_ethnicity,ethn..other_ethnicity
E00064142,0.99999572000857495,275,261,2,1,3,1,1,0,0,0,0,0,0,0,4,0,0,0,2,267,4,0,2,2
E00064143,0.99999999999872102,367,351,5,0,0,4,0,0,3,0,0,0,2,2,0,0,0,0,0,356,0,4,7,0
E00064144,1.00000000000255,367,342,2,0,4,4,0,0,1,3,1,0,1,4,4,1,0,0,0,348,5,9,5,0
E00064145,1.0000000000021201,300,291,1,1,2,0,1,0,0,0,0,4,0,0,0,0,0,0,0,295,0,4,1,0
E00064147,0.53739520388026096,456,350,10,4,7,0,0,1,4,26,17,1,10,8,9,0,0,3,6,371,9,62,5,9
E00064148,0.170160593249506,233,214,1,1,7,1,0,1,0,6,0,0,1,1,0,0,0,0,0,223,0,8,2,0
E00064151,3.3826460795454601E-2,317,293,3,1,4,0,1,2,0,3,0,0,6,0,0,0,0,3,1,301,0,9,3,4
E00064152,0.99673027017511595,300,298,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,298,0,1,1,0
E00064154,0.99999999998678701,336,316,0,4,8,1,2,1,0,0,0,0,2,2,0,0,0,0,0,328,0,4,4,0
E00064155,0.94437208641650305,187,181,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,183,1,0,2,1
E00064156,0.99876997146665702,265,250,0,0,3,5,1,3,1,0,0,0,0,1,0,0,0,0,1,253,0,1,10,1
E00064157,0.98329162316587204,276,267,0,3,0,2,0,0,0,0,0,0,0,1,0,0,0,0,3,270,0,1,2,3
E00064158,1.00000000000308,152,147,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,0,0,0,0
E00064159,0.99999999997668398,206,195,2,0,3,0,0,2,0,0,0,0,0,3,0,1,0,0,0,200,1,3,2,0
E00064160,0.99999999999876998,225,214,2,0,3,1,1,0,3,0,0,0,0,0,0,0,0,0,1,219,0,0,5,1
E00064161,1.0000000000026901,266,250,4,1,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,264,0,0,2,0
E00064162,0.79508218009876597,202,196,2,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,198,2,0,2,0
E00064163,1.0000000000084199,322,310,1,0,5,0,0,1,0,4,0,0,0,1,0,0,0,0,0,316,0,5,1,0
E00064164,0.94948857247262897,220,212,1,0,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,218,0,0,2,0
E00064165,1.00000000000058,276,262,1,0,3,4,0,0,0,0,0,5,0,0,1,0,0,0,0,266,1,5,4,0
E00129747,1.09357697996378E-2,219,216,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,217,0,1,1,0
E00129753,0.90161333096126905,262,257,1,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,260,0,2,0,0
E00129754,1.0000000000031799,250,236,2,0,4,0,1,2,0,1,3,0,0,0,1,0,0,0,0,242,1,4,3,0
E00129755,0.71478168363607097,276,266,0,5,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,272,0,4,0,0
E00129756,0.44795733383200098,267,260,0,0,2,0,1,0,0,0,0,0,3,0,0,1,0,0,0,262,1,3,1,0
