health..oa_id,health..proportion_of_oa_within_co_m_boundary,health..total_persons,health..very_good_health,health..good_health,health..fair_health,health..bad_health,health..very_bad_health
E00064142,0.99999572000857495,275,91,68,57,35,24
E00064143,0.99999999999872102,367,136,112,66,41,12
E00064144,1.00000000000255,367,155,106,59,31,16
E00064145,1.0000000000021201,300,120,101,51,20,8
E00064147,0.53739520388026096,456,231,147,40,32,6
E00064148,0.170160593249506,233,110,79,24,16,4
E00064151,3.3826460795454601E-2,317,135,111,48,17,6
E00064152,0.99673027017511595,300,86,95,69,37,13
E00064154,0.99999999998678701,336,111,118,69,32,6
E00064155,0.94437208641650305,187,28,56,50,42,11
E00064156,0.99876997146665702,265,86,79,51,37,12
E00064157,0.98329162316587204,276,108,97,51,17,3
E00064158,1.00000000000308,152,40,43,33,22,14
E00064159,0.99999999997668398,206,47,60,52,35,12
E00064160,0.99999999999876998,225,83,66,44,27,5
E00064161,1.0000000000026901,266,80,91,48,39,8
E00064162,0.79508218009876597,202,65,67,48,17,5
E00064163,1.0000000000084199,322,123,86,70,34,9
E00064164,0.94948857247262897,220,96,73,28,15,8
E00064165,1.00000000000058,276,103,85,55,30,3
E00129747,1.09357697996378E-2,219,114,67,29,9,0
E00129753,0.90161333096126905,262,108,98,44,11,1
E00129754,1.0000000000031799,250,97,93,45,10,5
E00129755,0.71478168363607097,276,130,84,45,13,4
E00129756,0.44795733383200098,267,106,90,51,16,4
