house..oa_id,house..proportion_of_oa_within_co_m_boundary,house..total_households,house..one_person_household_65,house..one_person_household_64,house..couple_no_dependent_children,house..couple_dependent_children,house..lone_parent_dependent_children,house..other_household_no_dependent_children,house..other_household_dependent_children
E00064142,0.99999572000857495,145,21,58,22,20,13,5,6
E00064143,0.99999999999872102,146,14,27,29,23,30,17,6
E00064144,1.00000000000255,135,11,24,23,31,25,15,6
E00064145,1.0000000000021201,112,12,21,18,26,19,8,8
E00064147,0.53739520388026096,187,17,53,65,31,6,10,5
E00064148,0.170160593249506,129,15,46,31,16,16,3,2
E00064151,3.3826460795454601E-2,142,16,25,51,16,18,11,5
E00064152,0.99673027017511595,144,17,47,27,19,19,13,2
E00064154,0.99999999998678701,138,12,27,28,26,21,18,6
E00064155,0.94437208641650305,125,26,62,20,4,3,10,0
E00064156,0.99876997146665702,140,21,57,15,13,20,7,7
E00064157,0.98329162316587204,106,13,23,23,22,15,4,6
E00064158,1.00000000000308,93,18,36,18,7,6,6,2
E00064159,0.99999999997668398,123,21,50,21,6,17,6,2
E00064160,0.99999999999876998,103,13,32,19,13,13,8,5
E00064161,1.0000000000026901,137,17,47,27,13,17,14,2
E00064162,0.79508218009876597,108,12,40,22,10,9,12,3
E00064163,1.0000000000084199,140,20,30,20,22,31,16,1
E00064164,0.94948857247262897,86,10,16,11,23,14,9,3
E00064165,1.00000000000058,124,17,24,30,20,17,10,6
E00129747,1.09357697996378E-2,88,11,13,28,26,5,4,1
E00129753,0.90161333096126905,119,21,20,33,24,4,16,1
E00129754,1.0000000000031799,121,16,17,54,12,11,8,3
E00129755,0.71478168363607097,123,25,13,53,21,3,6,2
E00129756,0.44795733383200098,124,26,15,43,17,9,10,4
