rel..oa_id,rel..proportion_of_oa_within_co_m_boundary,rel..total_persons,rel..christian,rel..buddhist,rel..hindu,rel..jewish,rel..muslim,rel..sikh,rel..other_religion,rel..no_religion,rel..religion_not_stated
E00064142,0.99999572000857495,275,172,0,0,0,2,0,2,85,14
E00064143,0.99999999999872102,367,212,0,0,0,0,0,0,128,27
E00064144,1.00000000000255,367,216,1,4,0,1,0,2,116,27
E00064145,1.0000000000021201,300,169,0,0,0,4,0,0,106,21
E00064147,0.53739520388026096,456,280,6,12,2,26,2,0,92,36
E00064148,0.170160593249506,233,161,0,2,2,0,0,3,50,15
E00064151,3.3826460795454601E-2,317,221,0,0,1,6,0,0,74,15
E00064152,0.99673027017511595,300,186,1,0,0,0,0,1,96,16
E00064154,0.99999999998678701,336,184,1,0,0,0,0,1,130,20
E00064155,0.94437208641650305,187,122,0,0,0,0,0,3,39,23
E00064156,0.99876997146665702,265,151,0,0,0,1,0,0,104,9
E00064157,0.98329162316587204,276,169,0,0,0,1,0,1,88,17
E00064158,1.00000000000308,152,93,0,0,1,1,0,0,49,8
E00064159,0.99999999997668398,206,128,1,0,0,4,0,1,55,17
E00064160,0.99999999999876998,225,122,0,0,0,1,0,0,94,8
E00064161,1.0000000000026901,266,169,0,0,0,1,0,3,75,18
E00064162,0.79508218009876597,202,120,0,0,0,0,0,0,67,15
E00064163,1.0000000000084199,322,166,1,0,0,0,0,0,130,25
E00064164,0.94948857247262897,220,125,0,0,0,0,0,1,79,15
E00064165,1.00000000000058,276,185,0,0,0,5,0,0,72,14
E00129747,1.09357697996378E-2,219,152,0,2,0,0,0,0,50,15
E00129753,0.90161333096126905,262,194,1,0,0,0,1,0,51,15
E00129754,1.0000000000031799,250,180,0,1,2,3,0,0,44,20
E00129755,0.71478168363607097,276,219,2,0,0,0,0,1,31,23
E00129756,0.44795733383200098,267,206,2,0,1,0,0,1,45,12
