ethn..oa_id,ethn..proportion_of_oa_within_co_m_boundary,ethn..total_persons,ethn..white_english_welsh_scottish_northern_irish_british,ethn..white_irish,ethn..white_gypsy_or_irish_traveller,ethn..white_other_white,ethn..mixed_multiple_ethnic_group_white_and_black_caribbean,ethn..mixed_multiple_ethnic_group_white_and_black_african,ethn..mixed_multiple_ethnic_group_white_and_asian,ethn..mixed_multiple_ethnic_group_other_mixed,ethn..asian_asian_british_indian,ethn..asian_asian_british_pakistani,ethn..asian_asian_british_bangladeshi,ethn..asian_asian_british_chinese,ethn..asian_asian_british_other_asian,ethn..black_african_caribbean_black_british_african,ethn..black_african_caribbean_black_british_caribbean,ethn..black_african_caribbean_black_british_other_black,ethn..other_ethnic_group_arab,ethn..other_ethnic_group_any_other_ethnic_group,ethn..white_or_white_british,ethn..black_or_black_british,ethn..asian_or_asian_british,ethn..mixed_multiple_ethnicity,ethn..other_ethnicity
E00053358,1.7751552104042199E-2,345,309,5,0,6,2,0,3,0,4,4,0,6,3,0,2,1,0,0,320,3,17,5,0
E00053504,0.99999999999674105,373,330,3,0,6,0,1,0,0,16,7,0,1,0,0,3,0,0,6,339,3,24,1,6
E00053505,0.99999999999942302,437,366,5,0,2,5,1,0,1,12,11,12,0,4,9,0,0,0,9,373,9,39,7,9
E00053506,1.00000000000027,311,257,0,0,6,8,0,7,0,22,6,0,0,2,2,1,0,0,0,263,3,30,15,0
E00053507,0.99999999998730704,344,235,0,0,4,8,0,3,3,3,14,26,0,4,0,8,0,32,4,239,8,47,14,36
E00053508,0.99999999999983002,351,231,1,0,7,9,2,4,1,17,36,20,4,7,1,6,0,5,0,239,7,84,16,5
E00053509,0.99999999999609801,337,295,1,0,5,6,0,1,2,6,5,0,1,3,0,10,0,1,1,301,10,15,9,2
E00053510,1.0000000000034299,381,289,0,0,6,4,0,6,2,12,41,0,0,5,0,1,1,0,14,295,2,58,12,14
E00053511,1.00000000000473,199,185,5,0,5,1,0,0,3,0,0,0,0,0,0,0,0,0,0,195,0,0,4,0
E00053512,1.0000000000049301,307,253,2,0,7,10,0,10,0,7,7,6,0,1,0,2,0,2,0,262,2,21,20,2
E00053513,1.0000000000014,360,320,2,0,0,9,0,5,1,0,1,10,0,1,5,5,1,0,0,322,11,12,15,0
E00053514,0.99999999999966604,327,284,0,1,2,13,1,3,0,3,0,1,4,1,0,11,0,3,0,287,11,9,17,3
E00053515,0.99999999997439404,338,283,4,0,1,5,3,3,2,0,8,0,5,0,1,17,1,3,2,288,19,13,13,5
E00053516,0.99999999999960298,317,249,0,0,3,8,0,3,0,4,37,1,0,6,0,6,0,0,0,252,6,48,11,0
E00053517,0.99999999999635003,221,172,0,1,2,10,1,4,0,5,9,6,0,0,1,10,0,0,0,175,11,20,15,0
E00053518,0.99999999992684896,255,154,0,0,8,8,0,0,2,18,8,31,0,4,1,2,1,2,16,162,4,61,10,18
E00053519,1.00000000000004,369,127,2,0,5,13,3,5,1,59,57,49,0,19,1,0,2,12,14,134,3,184,22,26
E00053520,1.00000000000004,365,268,4,0,3,5,0,4,1,0,59,3,0,1,0,3,1,6,7,275,4,63,10,13
E00053521,1.00000000000283,391,222,0,0,13,5,0,5,0,14,69,23,5,12,1,6,0,11,5,235,7,123,10,16
E00053522,1,284,210,2,0,3,0,1,5,0,28,22,0,0,5,0,0,0,5,3,215,0,55,6,8
E00053523,1.0000000000014999,385,337,3,0,4,2,0,2,0,5,17,7,0,0,1,5,1,1,0,344,7,29,4,1
E00053524,0.99999999999240197,376,147,0,0,6,3,5,11,3,47,68,53,1,11,1,6,0,10,4,153,7,180,22,14
E00053525,0.999999999999994,347,215,3,1,7,3,0,2,1,28,43,9,1,14,1,6,0,6,7,226,7,95,6,13
E00053526,0.999999999999448,384,108,0,0,15,7,0,1,1,99,74,24,0,6,2,5,0,5,37,123,7,203,9,42
E00053527,0.99999999999825195,241,200,4,0,0,3,0,4,1,1,25,0,0,0,2,1,0,0,0,204,3,26,8,0
E00053528,1.0000000000174301,316,168,4,0,8,4,0,2,5,46,43,2,0,7,0,12,0,5,10,180,12,98,11,15
E00053529,1.0000000000004901,290,224,4,0,6,6,0,2,0,7,14,15,0,1,1,2,0,2,6,234,3,37,8,8
E00053530,1.0000000000017499,327,201,4,0,3,7,0,4,0,31,32,0,0,8,1,8,1,13,14,208,10,71,11,27
E00053531,0.99999999999700295,364,269,2,0,2,5,0,4,2,0,68,3,0,7,0,1,1,0,0,273,2,78,11,0
E00053532,1.0000000000012701,304,159,1,0,15,2,0,5,1,11,48,35,3,8,2,4,0,0,10,175,6,105,8,10
E00053533,0.99999999999809697,346,174,0,0,18,6,0,5,1,41,51,29,1,4,0,5,0,3,8,192,5,126,12,11
E00053534,0.99999999999385503,279,205,0,0,17,7,0,4,0,4,15,14,0,9,1,2,1,0,0,222,4,42,11,0
E00053535,0.99999999998185496,338,274,3,0,6,5,0,0,0,18,23,6,0,2,0,1,0,0,0,283,1,49,5,0
E00053536,1.0000000000010101,371,325,2,0,5,3,0,4,1,2,26,0,0,1,0,2,0,0,0,332,2,29,8,0
E00053537,1.00000000000117,393,335,0,0,0,5,0,6,0,5,29,4,0,3,0,5,1,0,0,335,6,41,11,0
E00053538,1.00000000000477,391,256,3,0,7,5,1,8,1,0,89,9,0,7,0,1,4,0,0,266,5,105,15,0
