health..oa_id,health..proportion_of_oa_within_co_m_boundary,health..total_persons,health..very_good_health,health..good_health,health..fair_health,health..bad_health,health..very_bad_health
E00053358,1.7751552104042199E-2,345,174,121,40,7,3
E00053504,0.99999999999674105,373,153,146,50,20,4
E00053505,0.99999999999942302,437,214,156,52,15,0
E00053506,1.00000000000027,311,165,104,33,7,2
E00053507,0.99999999998730704,344,139,146,44,11,4
E00053508,0.99999999999983002,351,156,126,54,12,3
E00053509,0.99999999999609801,337,157,114,47,18,1
E00053510,1.0000000000034299,381,181,128,44,20,8
E00053511,1.00000000000473,199,37,70,65,23,4
E00053512,1.0000000000049301,307,146,107,34,16,4
E00053513,1.0000000000014,360,162,116,53,23,6
E00053514,0.99999999999966604,327,145,116,53,12,1
E00053515,0.99999999997439404,338,122,149,45,16,6
E00053516,0.99999999999960298,317,155,116,41,5,0
E00053517,0.99999999999635003,221,90,76,36,17,2
E00053518,0.99999999992684896,255,115,71,52,13,4
E00053519,1.00000000000004,369,189,141,29,5,5
E00053520,1.00000000000004,365,149,152,47,15,2
E00053521,1.00000000000283,391,213,122,39,14,3
E00053522,1,284,119,118,36,9,2
E00053523,1.0000000000014999,385,193,126,48,14,4
E00053524,0.99999999999240197,376,177,136,42,16,5
E00053525,0.999999999999994,347,138,135,58,11,5
E00053526,0.999999999999448,384,177,141,47,14,5
E00053527,0.99999999999825195,241,119,86,32,3,1
E00053528,1.0000000000174301,316,154,104,47,9,2
E00053529,1.0000000000004901,290,132,99,37,20,2
E00053530,1.0000000000017499,327,142,114,52,16,3
E00053531,0.99999999999700295,364,172,105,68,13,6
E00053532,1.0000000000012701,304,123,93,71,14,3
E00053533,0.99999999999809697,346,134,123,70,13,6
E00053534,0.99999999999385503,279,111,114,42,10,2
E00053535,0.99999999998185496,338,119,149,50,18,2
E00053536,1.0000000000010101,371,185,142,34,7,3
E00053537,1.00000000000117,393,189,129,61,13,1
E00053538,1.00000000000477,391,169,158,51,8,5
E00053539,1.0000000000038101,356,141,141,56,16,2
E00053540,1.00000000000449,377,155,121,73,22,6
E00053541,0.999999999999026,283,121,111,36,10,5
E00053542,0.99999999999976996,335,141,139,42,13,0
E00053543,0.99999999999884703,283,93,120,53,15,2
E00053544,0.99999999999817701,358,168,121,52,14,3
E00053545,1.0000000000006799,308,121,128,39,11,9
E00053546,0.99999999999938805,332,172,105,35,12,8
E00053742,0.99999999999983402,274,109,108,39,16,2
E00053743,1.00000000004249,317,151,111,44,9,2
E00053744,1.00000000001723,298,135,122,30,7,4
E00053745,0.99999999999701294,315,141,123,41,6,4
E00053746,0.99999999999807898,353,145,125,56,24,3
E00053747,0.99999999999884903,285,138,95,35,14,3
E00053748,1.0000000000156299,293,124,100,57,11,1
E00053749,0.99999999999754596,303,160,100,33,8,2
E00053750,0.99999999999726497,286,125,97,42,20,2
E00053751,1.0000000000059901,295,134,100,47,12,2
E00053752,1.0000000000004701,352,176,125,45,5,1
E00053753,0.99999999999792,351,163,140,35,11,2
E00053754,1.00000000000365,242,64,101,57,17,3
E00053756,0.99999999999100797,439,188,151,63,31,6
E00053757,0.99999999999908096,290,119,105,51,12,3
E00053758,0.988539361206629,424,222,127,52,13,10
E00053759,0.99999999999392397,378,164,135,56,19,4
E00053760,1.00000000002117,343,160,120,36,21,6
E00053761,0.99999999999355205,185,37,52,60,23,13
E00053762,0.99999999999998301,316,133,127,40,12,4
E00053763,1.0000000000054701,352,164,124,52,11,1
E00053764,1.0000000000001099,294,132,117,39,5,1
E00053765,0.99999999999219302,255,114,105,30,6,0
E00053766,0.99999999999976097,265,123,100,33,9,0
E00053767,1.0000000000017,390,161,152,52,18,7
E00053768,0.98101398526606498,344,161,125,32,19,7
E00053769,0.99999999999928402,259,99,97,43,18,2
E00053770,0.99999999991588295,281,126,102,37,14,2
E00053771,1,337,162,106,48,20,1
E00053772,0.99999999999986799,251,101,79,51,16,4
E00053773,0.99999999999998801,199,61,89,37,10,2
E00053774,1.00000000000133,331,137,155,27,8,4
E00053775,0.98571060848894898,290,89,103,61,27,10
E00053776,1.0000000000003499,327,155,115,37,16,4
E00053777,0.99999999999092504,300,119,101,48,24,8
E00053778,0.99999999999692901,326,143,124,47,6,6
E00053779,1.0000000000009901,314,123,120,51,18,2
E00053780,1.00000000000172,304,111,104,71,16,2
E00053781,1.0000000000071201,431,205,150,49,16,11
E00053782,1.0000000000004401,361,172,121,47,14,7
E00053783,0.99999999999973199,375,193,111,55,10,6
E00053785,1.00000000000027,227,64,71,62,25,5
E00053880,0.99999999999997002,315,143,112,42,15,3
E00053881,1.0000000000017499,311,164,105,37,3,2
E00053882,1.0000000000012199,316,189,97,21,7,2
E00053883,0.99999999998966305,334,163,116,39,8,8
E00053884,0.999999999997087,260,111,103,32,10,4
E00053885,1.00000000000222,299,125,117,40,13,4
E00053886,0.999999999998058,242,116,78,35,11,2
E00053887,1.00000000000058,237,70,71,61,27,8
E00053888,1.00000000000144,427,254,130,36,5,2
E00053889,0.99999999999871303,547,323,182,29,10,3
E00053890,0.99999999999968403,205,37,50,71,34,13
E00053891,0.99999999999304501,315,128,110,53,22,2
E00053892,0.99999999999913403,409,225,120,49,12,3
E00053893,0.99999999999992795,245,93,69,64,14,5
E00053894,0.99999999999773603,333,154,134,31,11,3
E00053895,0.99689608086779102,296,149,109,32,4,2
E00053896,1.0000000000746401,228,84,93,34,14,3
E00053897,1.0000000000370901,243,119,77,34,10,3
E00053898,1.0000000000042999,368,130,129,71,36,2
E00053899,0.99999999998423195,300,137,94,44,17,8
E00053900,0.99999999999690403,258,80,99,51,20,8
E00053902,1.0000000000031599,303,124,115,50,10,4
E00053903,0.99999999999773004,443,212,146,65,14,6
E00053904,1.0000000000026099,332,137,114,60,15,6
E00053905,0.24893547345373701,278,140,80,45,10,3
E00053906,0.39527616863367798,404,223,130,40,11,0
E00053907,1.00000000000274,266,133,90,36,6,1
E00053908,1.0000000000000999,402,202,144,38,15,3
E00053909,0.99999999999876199,442,245,158,33,6,0
E00053910,1.0000000000027001,278,121,104,39,11,3
E00053911,0.99999999999501599,298,117,116,46,16,3
E00053912,0.99672466792717995,240,73,97,52,12,6
E00053913,0.99999999999880995,338,144,126,47,15,6
E00053914,1.0000000000007601,432,262,126,33,11,0
E00053915,1.0000000000018101,245,110,88,31,16,0
E00053916,1.00000000000218,275,156,87,23,7,2
E00053917,0.99999999999695299,546,329,179,33,4,1
E00053918,0.99999999997769096,372,173,142,41,14,2
E00053919,0.99999999999877998,314,143,109,39,20,3
E00053920,0.97838758500723999,454,243,152,51,7,1
E00053921,0.99999999999925904,353,204,94,43,10,2
E00053922,1.00000000000117,331,184,109,27,8,3
E00053923,0.99999999999705402,457,236,159,51,10,1
E00053924,0.99999999999779299,302,135,116,45,5,1
E00053925,1.0000000000009901,409,231,131,33,13,1
E00053926,0.99685277731006305,208,113,70,21,3,1
E00053927,0.99999999999710898,301,178,100,21,2,0
E00053928,0.99999999999931599,339,177,133,22,5,2
E00053929,1.00000000000418,338,201,122,11,3,1
E00053930,0.99999999999929101,268,135,90,28,14,1
E00053931,1.0000000000007101,450,232,103,69,34,12
E00053932,0.99999999999623601,322,154,116,38,11,3
E00053933,1.00000000000244,336,167,119,34,13,3
E00053934,1.0000000000031799,147,35,44,39,28,1
E00054343,0.50540217606415605,305,105,127,53,15,5
E00054348,0.21171841706835301,463,240,150,55,15,3
E00054354,0.96838411558026505,337,175,112,46,3,1
E00054356,0.35653814970485198,296,136,109,34,14,3
E00054359,0.99999999999605504,348,182,101,54,11,0
E00054360,0.99999999999955802,272,101,95,50,17,9
E00054361,0.99999999998440603,287,122,111,44,7,3
E00054364,0.217327134570519,384,197,124,45,13,5
E00054366,0.91803765494176703,330,151,115,47,12,5
E00054367,0.82714776342580498,368,129,157,69,7,6
E00054370,1.00000000000026,277,128,93,38,12,6
E00054371,0.99999999999923195,280,129,90,38,20,3
