house..oa_id,house..proportion_of_oa_within_co_m_boundary,house..total_households,house..one_person_household_65,house..one_person_household_64,house..couple_no_dependent_children,house..couple_dependent_children,house..lone_parent_dependent_children,house..other_household_no_dependent_children,house..other_household_dependent_children
E00053358,1.7751552104042199E-2,173,16,56,55,20,10,13,3
E00053504,0.99999999999674105,156,28,8,76,28,3,9,4
E00053505,0.99999999999942302,173,28,12,71,39,7,9,7
E00053506,1.00000000000027,117,7,18,36,32,11,8,5
E00053507,0.99999999998730704,130,11,18,49,33,9,8,2
E00053508,0.99999999999983002,137,14,23,47,30,7,8,8
E00053509,0.99999999999609801,124,10,16,39,40,8,8,3
E00053510,1.0000000000034299,137,31,8,38,36,10,9,5
E00053511,1.00000000000473,120,63,16,19,7,8,5,2
E00053512,1.0000000000049301,117,12,25,27,32,8,10,3
E00053513,1.0000000000014,128,6,19,42,28,17,9,7
E00053514,0.99999999999966604,125,16,13,33,28,16,13,6
E00053515,0.99999999997439404,132,13,21,34,30,12,18,4
E00053516,0.99999999999960298,116,15,15,26,31,10,13,6
E00053517,0.99999999999635003,101,16,25,22,17,13,5,3
E00053518,0.99999999992684896,110,22,23,31,17,5,5,7
E00053519,1.00000000000004,106,2,10,41,30,4,5,14
E00053520,1.00000000000004,145,9,39,43,33,11,4,6
E00053521,1.00000000000283,123,4,10,47,39,12,6,5
E00053522,1,110,16,13,40,25,3,9,4
E00053523,1.0000000000014999,182,33,46,43,28,14,15,3
E00053524,0.99999999999240197,125,5,16,39,36,8,10,11
E00053525,0.999999999999994,137,24,16,38,32,13,11,3
E00053526,0.999999999999448,127,8,13,30,47,12,12,5
E00053527,0.99999999999825195,109,12,31,24,19,10,7,6
E00053528,1.0000000000174301,119,7,19,43,32,4,10,4
E00053529,1.0000000000004901,120,23,13,33,26,14,8,3
E00053530,1.0000000000017499,125,10,18,45,25,14,6,7
E00053531,0.99999999999700295,134,15,11,56,27,8,9,8
E00053532,1.0000000000012701,117,10,27,34,19,13,9,5
E00053533,0.99999999999809697,115,11,17,32,35,3,12,5
E00053534,0.99999999999385503,116,14,18,37,21,10,11,5
E00053535,0.99999999998185496,136,27,9,52,31,6,8,3
E00053536,1.0000000000010101,149,10,30,49,36,11,7,6
E00053537,1.00000000000117,159,13,35,40,37,12,15,7
E00053538,1.00000000000477,142,22,5,59,30,7,12,7
E00053539,1.0000000000038101,133,11,15,42,28,20,12,5
E00053540,1.00000000000449,114,9,4,36,24,13,13,15
E00053541,0.999999999999026,121,18,24,32,20,7,16,4
E00053542,0.99999999999976996,129,13,12,60,31,2,8,3
E00053543,0.99999999999884703,128,33,7,60,13,3,10,2
E00053544,0.99999999999817701,132,15,10,45,36,7,12,7
E00053545,1.0000000000006799,132,29,11,50,24,8,8,2
E00053546,0.99999999999938805,126,14,21,45,30,3,7,6
E00053742,0.99999999999983402,120,9,25,41,20,14,10,1
E00053743,1.00000000004249,128,17,8,58,31,3,7,4
E00053744,1.00000000001723,116,15,12,45,27,7,8,2
E00053745,0.99999999999701294,125,18,14,42,30,8,10,3
E00053746,0.99999999999807898,145,21,27,32,33,16,13,3
E00053747,0.99999999999884903,117,9,24,42,26,5,10,1
E00053748,1.0000000000156299,130,17,25,45,23,9,7,4
E00053749,0.99999999999754596,134,9,34,38,23,11,15,4
E00053750,0.99999999999726497,120,26,20,33,21,7,8,5
E00053751,1.0000000000059901,112,7,11,50,24,8,5,7
E00053752,1.0000000000004701,144,7,23,37,38,18,13,8
E00053753,0.99999999999792,160,10,49,35,24,19,17,6
E00053754,1.00000000000365,122,31,13,52,11,4,10,1
E00053756,0.99999999999100797,217,27,48,72,33,13,22,2
E00053757,0.99999999999908096,104,4,12,23,21,24,12,8
E00053758,0.988539361206629,130,5,15,16,32,41,9,12
E00053759,0.99999999999392397,128,7,16,23,33,35,6,8
E00053760,1.00000000002117,126,13,10,56,32,4,8,3
E00053761,0.99999999999355205,136,67,22,39,0,4,4,0
E00053762,0.99999999999998301,123,6,28,29,27,18,10,5
E00053763,1.0000000000054701,139,20,11,56,35,6,10,1
E00053764,1.0000000000001099,113,12,14,44,26,6,8,3
E00053765,0.99999999999219302,112,16,23,37,22,6,1,7
E00053766,0.99999999999976097,121,34,18,35,21,3,6,4
E00053767,1.0000000000017,136,8,20,28,35,26,12,7
E00053768,0.98101398526606498,109,6,11,21,31,29,7,4
E00053769,0.99999999999928402,129,16,39,33,24,9,6,2
E00053770,0.99999999991588295,114,18,9,48,22,8,5,4
E00053771,1,130,22,8,50,32,5,9,4
E00053772,0.99999999999986799,121,21,19,44,15,12,6,4
E00053773,0.99999999999998801,96,15,20,28,17,7,5,4
E00053774,1.00000000000133,137,18,26,43,24,16,5,5
E00053775,0.98571060848894898,137,30,24,41,18,11,7,6
E00053776,1.0000000000003499,153,8,44,36,29,25,8,3
E00053777,0.99999999999092504,139,27,30,32,18,9,15,8
E00053778,0.99999999999692901,137,9,36,32,27,16,11,6
E00053779,1.0000000000009901,119,9,17,33,22,18,14,6
E00053780,1.00000000000172,125,21,14,36,22,20,9,3
E00053781,1.0000000000071201,145,8,19,24,38,41,10,5
E00053782,1.0000000000004401,139,7,23,36,20,37,10,6
E00053783,0.99999999999973199,128,8,16,27,22,29,12,14
E00053785,1.00000000000027,124,33,34,32,12,8,3,2
E00053880,0.99999999999997002,130,12,13,68,29,3,4,1
E00053881,1.0000000000017499,130,12,21,40,31,13,12,1
E00053882,1.0000000000012199,120,13,8,51,32,4,8,4
E00053883,0.99999999998966305,124,7,13,37,28,26,10,3
E00053884,0.999999999997087,117,17,21,37,12,13,14,3
E00053885,1.00000000000222,132,24,23,40,23,11,7,4
E00053886,0.999999999998058,132,14,58,26,13,8,11,2
E00053887,1.00000000000058,143,21,73,21,10,7,11,0
E00053888,1.00000000000144,146,5,6,75,44,4,7,5
E00053889,0.99999999999871303,240,10,58,80,52,13,23,4
E00053890,0.99999999999968403,110,47,14,33,4,4,6,2
E00053891,0.99999999999304501,150,32,38,29,22,12,11,6
E00053892,0.99999999999913403,160,17,17,65,44,5,10,2
E00053893,0.99999999999992795,122,50,11,34,14,3,5,5
E00053894,0.99999999999773603,138,13,23,57,29,5,7,4
E00053895,0.99689608086779102,143,14,34,49,24,11,10,1
E00053896,1.0000000000746401,118,22,26,29,9,13,16,3
E00053897,1.0000000000370901,122,22,23,45,16,11,5,0
E00053898,1.0000000000042999,200,25,79,37,19,18,18,4
E00053899,0.99999999998423195,124,15,20,35,15,23,14,2
E00053900,0.99999999999690403,158,24,63,42,11,3,14,1
E00053902,1.0000000000031599,121,21,9,54,17,3,10,7
E00053903,0.99999999999773004,174,18,26,48,38,14,22,8
E00053904,1.0000000000026099,133,21,25,36,30,10,6,5
E00053905,0.24893547345373701,129,14,31,47,23,4,7,3
E00053906,0.39527616863367798,221,14,78,80,23,9,15,2
E00053907,1.00000000000274,128,14,30,44,24,6,8,2
E00053908,1.0000000000000999,194,20,39,83,31,8,13,0
E00053909,0.99999999999876199,196,14,41,73,45,9,11,3
E00053910,1.0000000000027001,133,21,25,46,24,5,11,1
E00053911,0.99999999999501599,134,17,16,72,21,3,3,2
E00053912,0.99672466792717995,115,19,11,65,12,3,4,1
E00053913,0.99999999999880995,138,15,24,51,24,10,9,5
E00053914,1.0000000000007601,161,12,13,55,61,10,6,4
E00053915,1.0000000000018101,110,30,6,41,23,4,4,2
E00053916,1.00000000000218,120,11,16,51,30,4,5,3
E00053917,0.99999999999695299,191,3,27,63,86,4,5,3
E00053918,0.99999999997769096,153,25,16,56,29,10,15,2
E00053919,0.99999999999877998,141,17,35,52,25,2,9,1
E00053920,0.97838758500723999,175,8,22,78,53,3,9,2
E00053921,0.99999999999925904,141,19,12,58,32,7,10,3
E00053922,1.00000000000117,128,3,19,54,38,5,5,4
E00053923,0.99999999999705402,208,18,60,56,43,13,12,6
E00053924,0.99999999999779299,130,12,18,58,32,3,4,3
E00053925,1.0000000000009901,163,11,24,63,38,9,11,7
E00053926,0.99685277731006305,97,3,27,35,19,8,2,3
E00053927,0.99999999999710898,114,9,16,39,40,5,4,1
E00053928,0.99999999999931599,115,3,9,52,42,3,3,3
E00053929,1.00000000000418,119,1,15,44,40,7,9,3
E00053930,0.99999999999929101,121,9,32,41,25,7,7,0
E00053931,1.0000000000007101,185,14,57,48,40,18,6,2
E00053932,0.99999999999623601,143,12,34,50,35,6,5,1
E00053933,1.00000000000244,145,5,35,28,26,21,18,12
E00053934,1.0000000000031799,112,57,27,14,2,5,6,1
E00054343,0.50540217606415605,138,27,21,41,24,11,12,2
E00054348,0.21171841706835301,168,10,30,37,40,30,12,9
E00054354,0.96838411558026505,131,9,20,51,36,4,7,4
E00054356,0.35653814970485198,123,20,12,49,25,7,6,4
E00054359,0.99999999999605504,127,11,11,46,39,4,10,6
E00054360,0.99999999999955802,119,14,22,38,18,11,13,3
E00054361,0.99999999998440603,122,14,16,60,25,4,2,1
E00054364,0.217327134570519,145,8,20,50,48,5,9,5
E00054366,0.91803765494176703,140,16,23,47,30,12,10,2
E00054367,0.82714776342580498,144,13,21,47,30,12,13,8
E00054370,1.00000000000026,112,14,8,48,23,11,6,2
E00054371,0.99999999999923195,112,12,12,47,26,5,7,3
E00054374,0.127944620538013,147,8,37,48,32,10,7,5
E00054375,1.00774677997157E-2,126,15,20,32,37,7,11,4
E00054378,0.83309448488033,208,20,18,74,53,14,14,15
E00054379,0.197510007549099,131,13,25,49,26,12,4,2
E00054380,0.99999999999891598,143,9,35,29,30,15,14,11
E00054381,0.99530769006204101,141,10,49,20,22,18,19,3
E00054382,1.05023535136449E-2,131,19,16,55,23,6,12,0
E00054385,0.18927990573717099,139,11,21,41,34,16,10,6
E00054412,8.6112401308567704E-2,131,14,64,29,11,8,5,0
E00054569,0.17420988331846499,139,13,26,29,26,18,16,11
E00054570,0.46919260975002602,171,17,57,28,28,12,22,7
E00054573,0.27028394517249599,189,12,80,31,25,3,18,20
E00054576,0.877062008881065,132,6,34,28,28,14,11,11
E00054577,0.99999999999946199,137,9,32,47,31,6,7,5
E00054580,5.9960273526953697E-2,120,6,23,30,32,6,12,11
E00054581,0.60646531216995703,118,25,42,20,16,6,7,2
E00054582,0.87583066685496902,118,6,31,22,22,8,21,8
E00054583,0.37261725597442502,133,11,21,26,34,10,24,7
E00054584,0.160265993679407,123,7,11,22,39,10,10,24
E00054595,0.14939811622382901,141,6,29,26,38,20,18,4
E00054596,9.6415858561165205E-2,104,2,19,15,30,7,17,14
E00054598,0.99999999999781197,127,16,17,47,22,11,9,5
E00054599,1.0000000000034699,125,5,14,40,33,13,14,6
E00054600,1.00000000000106,141,8,25,27,29,29,12,11
E00054601,0.93277222799531201,134,5,43,16,42,7,8,13
E00054602,0.99999999999419398,141,11,18,51,26,11,17,7
E00054603,0.99999999999773204,129,9,22,42,28,15,9,4
E00054604,0.99999999999781397,87,39,17,21,1,2,5,2
E00054605,0.99999999999777001,135,14,42,24,26,15,11,3
E00054606,1,140,20,29,31,26,18,10,6
E00054607,0.888861370265975,117,14,24,36,23,8,9,3
E00054608,0.999999999862211,125,19,23,29,38,8,7,1
E00054609,0.99999999999986799,132,24,14,47,34,5,3,5
E00054610,0.98934111500487498,120,6,10,23,34,18,16,13
E00054612,1.00000000000329,131,28,32,27,17,12,6,9
E00054613,0.99367297078431205,125,22,23,21,34,7,10,8
E00057706,0.35489068799557999,88,8,10,34,27,3,3,3
E00058403,1.2002913911289499E-2,91,7,10,41,24,6,2,1
E00176097,0.98521533547741902,178,16,41,43,28,27,15,8
E00176135,1.00000000000053,126,20,7,40,34,11,13,1
E00176138,1.44626153327708E-2,76,0,19,10,17,2,9,19
E00176164,0.438062735472037,103,0,11,20,54,6,4,8
E00176165,0.689725800977394,154,5,47,17,38,14,9,24
E00176176,1.0000000000157001,121,12,14,53,23,4,12,3
E00176214,0.99999999998061695,134,5,6,47,49,9,14,4
