pop..lsoa_id,pop..proportion_of_lsoa_within_co_m_boundary,pop..total_persons,pop..male_persons,pop..female_persons,pop..x0_4_years,pop..x5_11_years,pop..x12_17_years,pop..x18_29_years,pop..x30_39_years,pop..x40_59_years,pop..x60_74_years,pop..x75_years
E01010597,0.999999999999995,1560,793,767,123,144,110,246,180,410,262,85
E01010598,1.00000000000003,1786,893,893,142,145,130,276,221,455,282,135
E01010599,1,1316,625,691,98,166,123,180,172,347,189,41
E01010600,1,1466,669,797,113,197,118,197,215,361,149,116
E01010601,0.99999999999979405,1810,888,922,146,165,169,283,257,454,216,120
E01010602,0.99999999999998401,1667,760,907,142,155,133,252,239,408,201,137
E01010603,1,1604,820,784,110,167,118,186,237,368,272,146
E01010604,0.99999999999908296,1709,842,867,82,106,120,175,172,437,351,266
E01010605,1,1594,787,807,140,177,134,245,192,398,228,80
E01010625,8.2021425102086001E-2,1739,833,906,169,278,242,286,236,371,120,37
E01010649,1,1369,668,701,109,126,106,172,184,368,207,97
E01010650,0.98037895777437301,2346,1124,1222,265,348,282,297,446,466,166,76
E01010651,1.0000000000004501,1520,752,768,134,160,112,167,203,391,229,124
E01010652,1.00000000000001,1642,805,837,83,125,88,215,204,381,327,219
E01010653,1.0000000000007101,1972,954,1018,148,264,186,260,271,482,245,116
E01010654,0.993761520272466,1608,771,837,140,221,141,237,258,348,193,70
E01010655,0.99999999999996403,1474,675,799,117,206,157,216,200,360,149,69
E01010656,1.0000000000003799,1575,765,810,114,141,136,194,196,371,263,160
E01010657,1,1451,683,768,103,107,104,207,249,345,222,114
E01010680,1.0000000000000699,1809,885,924,173,185,109,293,280,415,237,117
E01010681,0.99999999999907396,1404,710,694,100,99,77,164,147,421,307,89
E01010682,0.99999999999911204,1528,693,835,104,162,101,180,211,359,295,116
E01010683,0.490765672530868,2018,1035,983,139,127,89,301,360,614,319,69
E01010684,1.00000000000002,1488,699,789,78,114,101,161,162,448,295,129
E01010685,0.37678467198767901,1687,827,860,70,134,111,158,228,482,315,189
E01010686,0.99029809786775103,1698,815,883,74,142,88,184,174,470,327,239
E01010687,1,1757,857,900,114,127,128,205,222,587,280,94
E01010688,1.0000000000004701,2087,1079,1008,138,175,144,331,307,605,259,128
E01010689,1,1712,824,888,107,163,114,263,253,478,247,87
E01010690,1.0000000000013001,1947,975,972,104,160,135,191,327,513,347,170
E01010775,0.93757127949046204,1838,903,935,112,169,132,238,240,498,291,158
E01010776,7.1358025476074505E-2,1634,837,797,93,173,133,218,225,450,240,102
E01010778,0.776200962378778,1862,903,959,169,193,135,274,273,450,250,118
E01010779,2.1966111653267999E-2,1492,720,772,166,100,80,225,177,351,243,150
E01010781,0.58586930408884397,1501,707,794,106,187,133,202,188,442,185,58
E01010783,0.61128058662030405,1549,729,820,104,132,95,207,203,415,262,131
E01010793,2.3289781706034199E-2,2016,1049,967,148,264,209,363,302,464,212,54
E01010824,0.55856171299641699,2175,1137,1038,218,226,167,396,426,483,204,55
E01010825,1.0000000000000699,1392,699,693,99,154,104,207,187,371,217,53
E01010826,0.99987933083321201,1735,850,885,168,323,199,259,263,358,138,27
E01010827,0.95557605739543505,1370,650,720,116,179,102,210,192,330,171,70
E01010828,0.54653895089402305,1774,867,907,133,190,158,269,263,404,240,117
E01010829,0.18218462939800201,1710,907,803,115,221,185,279,275,415,163,57
E01010830,0.51060012450763104,2294,1167,1127,180,395,324,396,333,471,142,53
E01010832,0.17183966092057201,2258,1049,1209,187,367,296,381,299,448,171,109
E01011457,7.0886134150502406E-2,1501,721,780,68,135,141,187,124,440,261,145
E01011589,1.54747330043016E-2,1563,751,812,107,159,96,238,216,430,203,114
E01033693,0.446221368017165,2589,1337,1252,236,331,283,541,457,550,146,45
