rel..oa_id,rel..proportion_of_oa_within_co_m_boundary,rel..total_persons,rel..christian,rel..buddhist,rel..hindu,rel..jewish,rel..muslim,rel..sikh,rel..other_religion,rel..no_religion,rel..religion_not_stated
E00053358,1.7751552104042199E-2,345,197,7,2,4,10,0,2,102,21
E00053504,0.99999999999674105,373,252,0,0,0,7,16,2,76,20
E00053505,0.99999999999942302,437,270,1,0,0,18,17,3,93,35
E00053506,1.00000000000027,311,193,1,6,0,6,13,1,77,14
E00053507,0.99999999998730704,344,163,1,0,0,70,7,1,92,10
E00053508,0.99999999999983002,351,191,0,6,0,57,15,2,56,24
E00053509,0.99999999999609801,337,218,1,3,0,6,2,0,97,10
E00053510,1.0000000000034299,381,200,0,5,1,41,24,2,91,17
E00053511,1.00000000000473,199,126,0,0,0,0,0,0,58,15
E00053512,1.0000000000049301,307,177,0,0,0,26,7,0,80,17
E00053513,1.0000000000014,360,209,0,0,0,11,0,0,124,16
E00053514,0.99999999999966604,327,183,0,3,0,1,0,1,120,19
E00053515,0.99999999997439404,338,185,0,0,0,12,2,2,114,23
E00053516,0.99999999999960298,317,166,0,0,0,39,8,0,89,15
E00053517,0.99999999999635003,221,137,0,0,0,19,3,0,52,10
E00053518,0.99999999992684896,255,123,0,7,1,40,23,0,51,10
E00053519,1.00000000000004,369,85,0,12,0,127,63,6,62,14
E00053520,1.00000000000004,365,198,0,0,0,67,8,0,57,35
E00053521,1.00000000000283,391,157,0,9,0,100,16,0,81,28
E00053522,1,284,151,2,0,0,30,32,1,47,21
E00053523,1.0000000000014999,385,228,0,5,1,23,0,0,106,22
E00053524,0.99999999999240197,376,92,0,17,0,136,45,0,64,22
E00053525,0.999999999999994,347,176,1,4,1,62,24,0,56,23
E00053526,0.999999999999448,384,88,0,12,0,84,124,3,49,24
E00053527,0.99999999999825195,241,140,0,0,0,27,0,1,63,10
E00053528,1.0000000000174301,316,120,0,2,0,61,46,0,70,17
E00053529,1.0000000000004901,290,156,0,0,0,30,10,1,71,22
E00053530,1.0000000000017499,327,158,3,20,0,36,33,0,51,26
E00053531,0.99999999999700295,364,219,0,0,0,76,0,0,46,23
E00053532,1.0000000000012701,304,138,1,0,0,84,21,2,48,10
E00053533,0.99999999999809697,346,161,0,10,2,93,16,1,47,16
E00053534,0.99999999999385503,279,172,0,0,1,36,0,0,51,19
E00053535,0.99999999998185496,338,216,0,0,0,29,20,0,55,18
E00053536,1.0000000000010101,371,199,0,0,0,33,2,3,104,30
E00053537,1.00000000000117,393,195,0,6,0,37,0,5,127,23
E00053538,1.00000000000477,391,206,0,0,0,105,5,1,53,21
E00053539,1.0000000000038101,356,136,0,0,0,104,40,1,49,26
E00053540,1.00000000000449,377,72,0,18,0,127,116,0,32,12
E00053541,0.999999999999026,283,131,0,0,0,92,9,2,30,19
E00053542,0.99999999999976996,335,210,1,0,0,7,12,0,77,28
E00053543,0.99999999999884703,283,229,0,0,0,11,7,0,30,6
E00053544,0.99999999999817701,358,207,2,0,0,28,7,2,92,20
E00053545,1.0000000000006799,308,178,0,4,0,40,9,3,52,22
E00053546,0.99999999999938805,332,173,4,0,0,11,7,1,120,16
E00053742,0.99999999999983402,274,168,0,0,0,5,0,1,88,12
E00053743,1.00000000004249,317,211,0,2,0,8,5,0,80,11
E00053744,1.00000000001723,298,201,0,0,0,18,3,0,64,12
E00053745,0.99999999999701294,315,190,0,0,0,33,3,1,68,20
E00053746,0.99999999999807898,353,161,2,0,0,36,2,2,123,27
E00053747,0.99999999999884903,285,171,0,1,0,2,0,1,92,18
E00053748,1.0000000000156299,293,185,0,0,0,4,9,1,80,14
E00053749,0.99999999999754596,303,166,0,0,0,0,2,2,118,15
E00053750,0.99999999999726497,286,201,0,0,0,2,1,0,61,21
E00053751,1.0000000000059901,295,184,0,0,0,19,1,2,78,11
E00053752,1.0000000000004701,352,201,0,1,1,1,0,0,135,13
E00053753,0.99999999999792,351,174,0,0,0,20,0,0,135,22
E00053754,1.00000000000365,242,165,0,0,0,6,2,0,59,10
E00053756,0.99999999999100797,439,284,0,0,0,5,0,1,133,16
E00053757,0.99999999999908096,290,139,0,0,0,0,0,1,139,11
E00053758,0.988539361206629,424,176,0,0,0,6,0,0,217,25
E00053759,0.99999999999392397,378,170,0,0,2,9,0,3,167,27
E00053760,1.00000000002117,343,221,0,1,0,47,14,0,45,15
E00053761,0.99999999999355205,185,140,0,0,0,0,0,1,30,14
E00053762,0.99999999999998301,316,182,0,0,0,13,0,1,102,18
E00053763,1.0000000000054701,352,250,0,0,0,2,0,2,70,28
E00053764,1.0000000000001099,294,180,2,0,0,17,5,0,77,13
E00053765,0.99999999999219302,255,156,0,0,0,12,0,0,74,13
E00053766,0.99999999999976097,265,169,0,0,0,21,5,0,59,11
E00053767,1.0000000000017,390,202,0,2,1,10,2,0,147,26
E00053768,0.98101398526606498,344,151,0,0,0,21,0,0,155,17
E00053769,0.99999999999928402,259,161,0,0,0,0,0,0,85,13
E00053770,0.99999999991588295,281,188,0,0,0,38,0,5,44,6
E00053771,1,337,232,0,3,0,28,5,0,53,16
E00053772,0.99999999999986799,251,178,0,0,0,2,1,0,56,14
E00053773,0.99999999999998801,199,119,0,0,0,13,0,2,59,6
E00053774,1.00000000000133,331,182,0,0,0,49,13,0,79,8
E00053775,0.98571060848894898,290,169,1,0,0,5,0,0,96,19
E00053776,1.0000000000003499,327,174,0,4,0,12,2,0,123,12
E00053777,0.99999999999092504,300,155,1,2,0,14,0,1,100,27
E00053778,0.99999999999692901,326,177,0,0,1,0,10,1,117,20
E00053779,1.0000000000009901,314,174,0,0,0,0,0,5,121,14
E00053780,1.00000000000172,304,161,0,0,0,17,6,1,99,20
E00053781,1.0000000000071201,431,160,0,0,0,9,0,0,233,29
E00053782,1.0000000000004401,361,172,0,0,0,0,0,0,166,23
E00053783,0.99999999999973199,375,164,1,0,0,14,0,3,169,24
E00053785,1.00000000000027,227,154,0,0,0,5,0,1,52,15
E00053880,0.99999999999997002,315,217,1,0,2,0,4,2,76,13
E00053881,1.0000000000017499,311,193,0,3,0,0,0,0,98,17
E00053882,1.0000000000012199,316,202,0,0,0,7,8,1,77,21
E00053883,0.99999999998966305,334,191,0,0,0,0,0,0,128,15
E00053884,0.999999999997087,260,163,1,0,0,4,5,0,66,21
E00053885,1.00000000000222,299,176,0,0,0,4,9,0,94,16
E00053886,0.999999999998058,242,115,0,0,0,8,9,1,97,12
E00053887,1.00000000000058,237,131,0,0,0,6,0,0,80,20
E00053888,1.00000000000144,427,304,0,2,0,3,15,0,87,16
E00053889,0.99999999999871303,547,305,2,10,0,6,8,0,192,24
E00053890,0.99999999999968403,205,155,0,0,0,1,0,0,34,15
E00053891,0.99999999999304501,315,191,0,0,0,1,0,2,90,31
E00053892,0.99999999999913403,409,254,0,6,0,5,9,0,111,24
E00053893,0.99999999999992795,245,173,1,0,0,2,0,1,49,19
