ethn..oa_id,ethn..proportion_of_oa_within_co_m_boundary,ethn..total_persons,ethn..white,ethn..white_gypsy_or_irish_traveller,ethn..mixed_multiple_ethnic_group,ethn..asian_asian_british_indian,ethn..asian_asian_british_pakistani,ethn..asian_asian_british_bangladeshi,ethn..asian_asian_british_chinese,ethn..asian_asian_british_other_asian,ethn..black_african_caribbean_black_british,ethn..other_ethnic_group_any_other_ethnic_group,ethn..white_or_white_british,ethn..black_or_black_british,ethn..asian_or_asian_british,ethn..mixed_multiple_ethnicity,ethn..other_ethnicity
S00108979,0.99999998753998498,161,158,0,0,0,0,0,0,2,1,0,158,1,2,0,0
S00108980,0.35855175659868799,122,122,0,0,0,0,0,0,0,0,0,122,0,0,0,0
S00108981,1.0000000000006399,75,74,0,0,0,0,0,1,0,0,0,74,0,1,0,0
S00108982,1.00000000000169,182,178,0,0,0,0,0,4,0,0,0,178,0,4,0,0
S00108983,0.99999999995696598,255,240,0,0,0,2,0,4,0,8,1,240,8,6,0,1
S00108984,0.99999999999625899,163,163,0,0,0,0,0,0,0,0,0,163,0,0,0,0
S00108985,1.00000000000719,141,141,0,0,0,0,0,0,0,0,0,141,0,0,0,0
S00108986,0.99999999999979705,137,136,0,1,0,0,0,0,0,0,0,136,0,0,1,0
S00109008,0.81318648526013304,97,81,16,0,0,0,0,0,0,0,0,97,0,0,0,0
S00109014,0.99999999999839395,52,52,0,0,0,0,0,0,0,0,0,52,0,0,0,0
S00109015,1.0000000000104801,58,57,0,0,0,0,0,0,1,0,0,57,0,1,0,0
S00109016,0.99999999999469702,164,159,0,0,5,0,0,0,0,0,0,159,0,5,0,0
S00109017,0.99999999997087896,164,157,0,0,0,0,0,0,0,7,0,157,7,0,0,0
S00109018,0.99999999995926603,124,124,0,0,0,0,0,0,0,0,0,124,0,0,0,0
S00109019,0.99999999991631705,194,192,0,0,0,0,0,1,0,1,0,192,1,1,0,0
S00109020,0.99999999999537303,188,183,0,0,0,5,0,0,0,0,0,183,0,5,0,0
S00109021,1.00000000000472,124,124,0,0,0,0,0,0,0,0,0,124,0,0,0,0
S00109022,1.0000000000108999,153,146,0,0,3,3,0,0,0,1,0,146,1,6,0,0
S00109023,1.0000000000017799,82,80,0,1,0,1,0,0,0,0,0,80,0,1,1,0
S00109027,0.52681119847650004,99,99,0,0,0,0,0,0,0,0,0,99,0,0,0,0
S00109028,0.25617786692621802,156,156,0,0,0,0,0,0,0,0,0,156,0,0,0,0
S00109029,1.000000000028,137,137,0,0,0,0,0,0,0,0,0,137,0,0,0,0
S00109030,0.963648314012717,118,118,0,0,0,0,0,0,0,0,0,118,0,0,0,0
S00109039,0.17737087797717099,115,115,0,0,0,0,0,0,0,0,0,115,0,0,0,0
S00109049,0.64395434057993395,89,89,0,0,0,0,0,0,0,0,0,89,0,0,0,0
S00109051,2.11061337029513E-2,134,133,1,0,0,0,0,0,0,0,0,134,0,0,0,0
S00109085,0.99999999999613598,163,162,0,1,0,0,0,0,0,0,0,162,0,0,1,0
S00109086,0.27548159800370198,92,91,0,1,0,0,0,0,0,0,0,91,0,0,1,0
S00109089,0.37057365341252302,94,89,0,5,0,0,0,0,0,0,0,89,0,0,5,0
S00109778,1.0000000000100799,165,159,0,1,0,5,0,0,0,0,0,159,0,5,1,0
S00109779,0.99999999999733502,102,96,0,0,0,6,0,0,0,0,0,96,0,6,0,0
S00109780,1.00000000000502,94,93,0,0,0,0,0,0,1,0,0,93,0,1,0,0
S00109781,1.0000000000035101,112,112,0,0,0,0,0,0,0,0,0,112,0,0,0,0
S00109782,1.0000000001340399,85,85,0,0,0,0,0,0,0,0,0,85,0,0,0,0
S00109783,1.0000000000012199,85,85,0,0,0,0,0,0,0,0,0,85,0,0,0,0
S00109784,1.00000000003328,61,60,0,0,0,0,0,0,1,0,0,60,0,1,0,0
S00109785,0.99999999999942801,146,146,0,0,0,0,0,0,0,0,0,146,0,0,0,0
S00109786,0.99999999998433098,70,70,0,0,0,0,0,0,0,0,0,70,0,0,0,0
S00109787,0.99999999998860201,117,116,1,0,0,0,0,0,0,0,0,117,0,0,0,0
S00109788,1.0000000000086999,158,157,0,0,0,0,0,0,0,1,0,157,1,0,0,0
S00109789,1.0000000000135101,128,127,0,0,0,0,0,0,1,0,0,127,0,1,0,0
S00109790,0.99999999999658895,133,133,0,0,0,0,0,0,0,0,0,133,0,0,0,0
S00109791,1.00000000000228,93,92,0,0,0,0,0,0,0,0,1,92,0,0,0,1
S00109792,0.999999999997774,89,89,0,0,0,0,0,0,0,0,0,89,0,0,0,0
S00109793,0.99999999996783395,150,150,0,0,0,0,0,0,0,0,0,150,0,0,0,0
S00109794,1.0000000000088101,143,143,0,0,0,0,0,0,0,0,0,143,0,0,0,0
S00109795,1.00000000000608,161,161,0,0,0,0,0,0,0,0,0,161,0,0,0,0
S00109796,1.0000000000051199,104,98,0,0,0,0,0,5,1,0,0,98,0,6,0,0
S00109797,1.00000000000006,122,121,0,1,0,0,0,0,0,0,0,121,0,0,1,0
S00109798,1.00000000022814,90,89,1,0,0,0,0,0,0,0,0,90,0,0,0,0
S00109799,0.99999999999803102,103,103,0,0,0,0,0,0,0,0,0,103,0,0,0,0
S00109800,0.99999999999354905,104,103,0,0,0,0,1,0,0,0,0,103,0,1,0,0
S00109801,1.0000000000009801,87,87,0,0,0,0,0,0,0,0,0,87,0,0,0,0
S00109802,0.99999999999508005,114,114,0,0,0,0,0,0,0,0,0,114,0,0,0,0
S00109803,1.0000000000012801,126,126,0,0,0,0,0,0,0,0,0,126,0,0,0,0
S00109804,0.99999999999438005,109,109,0,0,0,0,0,0,0,0,0,109,0,0,0,0
S00109805,1.00000000000974,122,120,0,0,1,0,0,0,0,1,0,120,1,1,0,0
S00109806,0.99999999999671996,110,109,0,0,0,0,0,1,0,0,0,109,0,1,0,0
S00109807,0.99999999950571805,106,106,0,0,0,0,0,0,0,0,0,106,0,0,0,0
S00109808,0.99999999999740197,88,88,0,0,0,0,0,0,0,0,0,88,0,0,0,0
S00109809,0.99999999998015399,132,131,0,0,0,0,0,1,0,0,0,131,0,1,0,0
S00109810,0.99999999975167697,151,150,0,0,0,0,0,1,0,0,0,150,0,1,0,0
S00109811,1.00000000000194,99,96,0,2,0,0,0,1,0,0,0,96,0,1,2,0
S00109812,0.999999999999719,191,191,0,0,0,0,0,0,0,0,0,191,0,0,0,0
S00109813,0.99999999999938305,149,149,0,0,0,0,0,0,0,0,0,149,0,0,0,0
S00109814,1.0000000000396601,107,103,0,0,0,0,0,2,1,1,0,103,1,3,0,0
S00109815,1.0000000000092499,68,67,0,0,0,1,0,0,0,0,0,67,0,1,0,0
S00109816,0.99999999999610101,116,116,0,0,0,0,0,0,0,0,0,116,0,0,0,0
S00109817,0.99999999998197897,139,139,0,0,0,0,0,0,0,0,0,139,0,0,0,0
S00109818,1.00000000000224,158,155,0,2,0,0,0,0,0,0,1,155,0,0,2,1
S00109819,1.00000000024064,90,90,0,0,0,0,0,0,0,0,0,90,0,0,0,0
S00109820,0.99999999999961797,106,106,0,0,0,0,0,0,0,0,0,106,0,0,0,0
S00109834,0.224356746011977,144,138,0,2,2,0,0,0,2,0,0,138,0,4,2,0
S00109835,0.193485564058682,117,114,0,1,0,0,0,0,0,1,1,114,1,0,1,1
S00109836,0.86773911453582298,121,120,0,1,0,0,0,0,0,0,0,120,0,0,1,0
S00109837,0.79234831783051596,107,107,0,0,0,0,0,0,0,0,0,107,0,0,0,0
S00109838,0.999999999990557,70,70,0,0,0,0,0,0,0,0,0,70,0,0,0,0
S00109839,0.99999999999894496,73,73,0,0,0,0,0,0,0,0,0,73,0,0,0,0
S00109840,0.99999999999941203,106,104,0,1,0,0,0,0,1,0,0,104,0,1,1,0
S00109841,0.99999999999006695,102,102,0,0,0,0,0,0,0,0,0,102,0,0,0,0
