health..oa_id,health..proportion_of_oa_within_co_m_boundary,health..total_persons,health..very_good_health,health..good_health,health..fair_health,health..bad_health,health..very_bad_health
S00108979,0.99999998753998498,161,96,50,10,4,1
S00108980,0.35855175659868799,122,75,30,13,4,0
S00108981,1.0000000000006399,75,54,16,4,1,0
S00108982,1.00000000000169,182,111,49,16,4,2
S00108983,0.99999999995696598,255,178,54,16,6,1
S00108984,0.99999999999625899,163,105,50,6,1,1
S00108985,1.00000000000719,141,103,32,6,0,0
S00108986,0.99999999999979705,137,88,41,6,1,1
S00109008,0.81318648526013304,97,52,30,7,4,4
S00109014,0.99999999999839395,52,29,16,5,2,0
S00109015,1.0000000000104801,58,18,20,15,2,3
S00109016,0.99999999999469702,164,103,45,11,4,1
S00109017,0.99999999997087896,164,101,48,12,2,1
S00109018,0.99999999995926603,124,87,25,9,2,1
S00109019,0.99999999991631705,194,67,64,57,3,3
S00109020,0.99999999999537303,188,125,54,4,3,2
S00109021,1.00000000000472,124,91,25,6,2,0
S00109022,1.0000000000108999,153,103,37,12,1,0
S00109023,1.0000000000017799,82,43,25,13,1,0
S00109027,0.52681119847650004,99,50,29,15,5,0
S00109028,0.25617786692621802,156,79,45,24,5,3
S00109029,1.000000000028,137,67,43,19,6,2
S00109030,0.963648314012717,118,50,47,16,4,1
S00109039,0.17737087797717099,115,64,45,6,0,0
S00109049,0.64395434057993395,89,49,27,11,2,0
S00109051,2.11061337029513E-2,134,78,39,10,7,0
S00109085,0.99999999999613598,163,104,45,14,0,0
S00109086,0.27548159800370198,92,41,35,11,3,2
S00109089,0.37057365341252302,94,53,30,8,1,2
S00109778,1.0000000000100799,165,83,54,13,10,5
S00109779,0.99999999999733502,102,52,24,17,9,0
S00109780,1.00000000000502,94,37,39,17,1,0
S00109781,1.0000000000035101,112,49,38,16,7,2
S00109782,1.0000000001340399,85,38,23,12,10,2
S00109783,1.0000000000012199,85,26,31,21,7,0
S00109784,1.00000000003328,61,24,22,10,3,2
S00109785,0.99999999999942801,146,45,53,28,16,4
S00109786,0.99999999998433098,70,32,28,7,3,0
S00109787,0.99999999998860201,117,59,38,11,6,3
S00109788,1.0000000000086999,158,80,44,26,2,6
S00109789,1.0000000000135101,128,31,52,29,11,5
S00109790,0.99999999999658895,133,53,41,24,12,3
S00109791,1.00000000000228,93,48,20,16,4,5
S00109792,0.999999999997774,89,36,27,15,9,2
S00109793,0.99999999996783395,150,60,57,22,11,0
S00109794,1.0000000000088101,143,57,46,27,10,3
S00109795,1.00000000000608,161,66,59,25,9,2
S00109796,1.0000000000051199,104,48,32,13,9,2
S00109797,1.00000000000006,122,56,46,16,2,2
S00109798,1.00000000022814,90,37,20,22,9,2
S00109799,0.99999999999803102,103,34,32,30,7,0
S00109800,0.99999999999354905,104,33,45,19,3,4
S00109801,1.0000000000009801,87,26,29,20,10,2
S00109802,0.99999999999508005,114,51,38,18,7,0
S00109803,1.0000000000012801,126,52,38,21,13,2
S00109804,0.99999999999438005,109,45,37,14,9,4
S00109805,1.00000000000974,122,50,36,17,16,3
S00109806,0.99999999999671996,110,53,34,16,6,1
S00109807,0.99999999950571805,106,12,35,30,23,6
