house..oa_id,house..proportion_of_oa_within_co_m_boundary,house..total_households,house..one_person_household_65,house..one_person_household_64,house..couple_no_dependent_children,house..couple_dependent_children,house..lone_parent_dependent_children,house..other_household_no_dependent_children,house..other_household_dependent_children
S00108979,0.99999998753998498,58,0,2,31,18,2,2,3
S00108980,0.35855175659868799,47,1,6,23,12,2,0,3
S00108981,1.0000000000006399,30,0,7,12,10,0,0,1
S00108982,1.00000000000169,67,0,7,26,27,5,0,2
S00108983,0.99999999995696598,95,1,14,43,29,2,0,6
S00108984,0.99999999999625899,56,0,6,18,27,4,0,1
S00108985,1.00000000000719,53,6,5,14,20,6,0,2
S00108986,0.99999999999979705,44,0,4,15,25,0,0,0
S00109008,0.81318648526013304,37,6,4,10,7,6,1,3
S00109014,0.99999999999839395,25,2,4,15,2,0,1,1
S00109015,1.0000000000104801,38,19,5,9,2,0,1,2
S00109016,0.99999999999469702,63,0,10,25,21,2,1,4
S00109017,0.99999999997087896,60,0,3,36,16,3,0,2
S00109018,0.99999999995926603,39,0,2,13,21,0,2,1
S00109019,0.99999999991631705,77,8,18,33,12,3,1,2
S00109020,0.99999999999537303,65,0,8,28,27,0,1,1
S00109021,1.00000000000472,44,1,3,19,16,2,1,2
S00109022,1.0000000000108999,52,0,7,16,19,5,2,3
S00109023,1.0000000000017799,26,1,1,10,9,1,3,1
S00109027,0.52681119847650004,43,5,4,20,10,0,1,3
S00109028,0.25617786692621802,67,8,11,31,11,2,2,2
S00109029,1.000000000028,59,7,9,30,9,0,2,2
S00109030,0.963648314012717,54,13,3,16,13,5,0,4
S00109039,0.17737087797717099,44,4,10,17,6,2,2,3
S00109049,0.64395434057993395,36,5,5,14,12,0,0,0
S00109051,2.11061337029513E-2,55,5,5,27,8,3,1,6
S00109085,0.99999999999613598,60,2,3,32,15,3,3,2
S00109086,0.27548159800370198,43,4,7,21,6,2,0,3
S00109089,0.37057365341252302,38,2,7,13,13,0,0,3
S00109778,1.0000000000100799,58,6,7,21,19,2,1,2
S00109779,0.99999999999733502,39,6,3,12,8,3,1,6
S00109780,1.00000000000502,36,5,6,10,9,3,0,3
S00109781,1.0000000000035101,53,5,13,17,7,9,0,2
S00109782,1.0000000001340399,43,9,13,7,5,6,1,2
S00109783,1.0000000000012199,38,5,7,17,5,3,0,1
S00109784,1.00000000003328,35,10,10,7,6,2,0,0
S00109785,0.99999999999942801,70,16,8,28,10,4,0,4
S00109786,0.99999999998433098,45,3,23,8,2,4,0,5
S00109787,0.99999999998860201,47,7,7,12,10,5,1,5
S00109788,1.0000000000086999,60,2,8,13,14,13,2,8
S00109789,1.0000000000135101,62,6,12,32,9,2,0,1
S00109790,0.99999999999658895,63,17,5,25,5,5,3,3
S00109791,1.00000000000228,38,5,5,10,11,3,1,3
S00109792,0.999999999997774,43,2,11,16,5,6,1,2
S00109793,0.99999999996783395,66,7,15,25,8,2,2,7
S00109794,1.0000000000088101,73,8,14,28,7,9,1,6
S00109795,1.00000000000608,68,6,10,30,14,5,0,3
S00109796,1.0000000000051199,56,10,17,15,6,6,1,1
S00109797,1.00000000000006,51,2,5,34,8,1,0,1
S00109798,1.00000000022814,44,7,9,15,3,5,1,4
S00109799,0.99999999999803102,53,14,7,19,4,5,0,4
S00109800,0.99999999999354905,52,12,6,20,9,2,0,3
S00109801,1.0000000000009801,52,17,9,20,4,1,1,0
S00109802,0.99999999999508005,52,7,7,18,11,4,1,4
S00109803,1.0000000000012801,63,12,13,19,6,11,1,1
S00109804,0.99999999999438005,59,6,21,13,7,9,1,2
S00109805,1.00000000000974,67,11,21,9,9,11,1,5
S00109806,0.99999999999671996,44,3,12,10,9,8,0,2
S00109807,0.99999999950571805,44,4,23,7,1,6,0,3
S00109808,0.99999999999740197,45,6,12,15,4,7,0,1
S00109809,0.99999999998015399,68,7,30,11,13,4,0,3
S00109810,0.99999999975167697,74,12,15,25,9,11,1,1
S00109811,1.00000000000194,50,6,12,12,5,14,0,1
S00109812,0.999999999999719,70,5,7,32,19,1,1,5
S00109813,0.99999999999938305,68,15,6,25,11,4,1,6
S00109814,1.0000000000396601,47,10,5,14,10,0,2,6
S00109815,1.0000000000092499,46,14,19,4,2,1,1,5
S00109816,0.99999999999610101,53,3,7,37,3,1,1,1
S00109817,0.99999999998197897,57,6,6,32,8,1,0,4
S00109818,1.00000000000224,61,7,5,22,9,9,4,5
S00109819,1.00000000024064,37,1,6,15,10,2,0,3
S00109820,0.99999999999961797,43,3,9,17,7,5,2,0
S00109834,0.224356746011977,74,8,18,25,7,9,0,7
