pop..dz_id,pop..proportion_of_dz_within_co_m_boundary,pop..total_persons,pop..male_persons,pop..female_persons,pop..x0_4_years,pop..x5_11_years,pop..x12_17_years,pop..x18_29_years,pop..x30_39_years,pop..x40_59_years,pop..x60_74_years,pop..x75_years
S01009413,0.59336933892558796,865,421,444,40,63,52,93,118,238,180,81
S01009414,1.0000000000006299,673,325,348,39,71,53,81,71,146,147,65
S01009415,0.99999999999947597,676,332,344,24,44,41,87,59,240,146,35
S01009416,0.99999999999806899,478,235,243,18,25,28,73,41,144,105,44
S01009417,0.36323809173579602,1339,652,687,132,188,107,188,248,301,100,75
S01009418,0.99999999999937095,1022,542,480,63,68,51,132,118,322,183,85
S01009419,0.85935262819008795,590,273,317,35,63,43,79,85,155,91,39
S01009420,0.915852568439534,635,300,335,41,78,64,99,74,159,86,34
S01009421,0.93205356960043795,698,340,358,36,76,77,87,86,160,122,54
S01009422,0.99999999999034095,740,366,374,28,51,46,96,86,199,161,73
S01009423,1.0000000000003899,1430,737,693,101,177,137,160,240,434,147,34
S01009424,1.00000000000249,572,276,296,17,23,27,58,58,160,138,91
S01009425,0.99989331454687602,674,348,326,35,38,29,83,72,175,159,83
S01009426,0.99999999999684797,731,364,367,36,55,36,95,82,183,146,98
S01009427,1.0000000000012499,521,247,274,24,33,28,67,49,166,101,53
S01009428,1.00000000000967,709,320,389,36,57,55,81,67,162,120,131
S01009429,0.99999999994649502,752,377,375,31,56,38,115,88,204,138,82
S01009430,1.00000000000034,691,329,362,43,37,30,99,73,205,147,57
S01009431,0.99997796731814004,638,305,333,40,46,28,89,70,181,128,56
S01009432,1.0000000000201099,767,349,418,52,75,63,114,114,178,126,45
S01009433,1.0000000000031499,811,359,452,68,91,71,129,87,210,110,45
S01009434,1.0000000000003,587,301,286,42,67,46,69,77,149,87,50
S01009435,0.99999999999523004,767,400,367,69,104,63,122,81,207,90,31
S01009436,1.0000000000006699,650,333,317,26,55,45,77,103,172,124,48
S01009437,1.00000000000444,628,306,322,18,51,34,77,71,184,120,73
S01009438,0.99999999999491396,853,377,476,50,92,62,107,77,220,163,82
S01009439,0.99999999998947098,869,426,443,34,65,77,129,112,219,166,67
S01009440,0.99999999999953404,654,297,357,36,55,48,70,73,162,111,99
S01009441,0.99999999999913503,744,349,395,44,81,48,123,85,194,125,44
S01009442,0.68347218362816498,631,319,312,40,61,45,80,69,198,105,33
S01009443,0.90483912889481899,1341,644,697,102,104,75,169,171,337,227,156
S01009444,1.0000000000235501,778,384,394,26,75,60,100,60,233,172,52
S01009445,0.99999999998094102,774,397,377,72,78,48,89,110,196,130,51
S01009446,0.99999999999864198,800,395,405,50,48,44,128,102,229,142,57
S01009447,1.00000000000305,497,237,260,16,33,34,67,60,138,103,46
S01009448,0.99999999999685796,1058,492,566,55,99,79,118,140,316,193,58
S01009449,0.99999999996227096,495,239,256,31,37,26,70,56,113,111,51
S01009450,1.0000000000004701,567,270,297,37,35,44,94,75,166,72,44
S01009451,1.0000000000046001,1043,510,533,53,114,80,174,137,295,131,59
S01009452,1.00000000000137,510,245,265,24,37,29,70,83,128,95,44
S01009453,1.0000000000050999,1035,506,529,54,79,44,144,135,266,201,112
S01009456,6.9027144374792002E-2,913,447,466,67,53,43,122,146,247,169,66
S01009489,0.99999999999952405,761,362,399,37,40,39,105,72,213,152,103
S01009490,0.101493061352668,786,384,402,60,57,54,107,120,222,130,36
S01009491,0.63074480656989695,816,394,422,28,55,46,75,82,192,167,171
S01009541,7.7079894713512301E-2,1031,500,531,43,63,48,113,118,335,221,90
S01009545,1.00000000000083,784,367,417,37,86,49,88,89,210,152,73
S01009546,0.999999999999028,1182,584,598,74,140,77,141,216,317,163,54
S01009547,0.91590932183141904,814,398,416,56,61,65,109,119,205,144,55
S01009548,1.00000000000226,651,332,319,43,51,35,83,85,176,117,61
S01009549,0.74567685805915795,737,397,340,32,66,36,97,82,222,142,60
S01009550,0.99999999999889,515,254,261,25,43,35,79,58,149,82,44
S01009551,0.99999999999798905,486,225,261,31,49,29,69,55,111,97,45
S01009552,0.97819153827387195,909,431,478,49,71,49,109,89,224,181,137
S01009553,1.0000000000015701,887,404,483,62,92,62,141,122,194,163,51
S01009554,0.12761074824347299,608,306,302,36,45,30,62,55,169,162,49
S01009555,1.0000000000000799,728,372,356,28,55,36,83,75,223,155,73
S01009556,0.99999999999349098,714,365,349,61,68,42,93,94,198,108,50
S01009557,0.99999999999963995,607,257,350,51,71,35,79,78,139,111,43
S01009558,1.0000000000024001,667,321,346,49,68,71,99,94,169,78,39
S01009559,0.99999999999937905,751,371,380,25,69,60,108,80,248,101,60
S01009560,1.00000000000052,771,370,401,70,78,63,83,107,215,102,53
S01009561,0.99999999999874101,691,337,354,40,72,72,123,96,158,79,51
S01009562,1.00000000000058,810,370,440,36,68,54,113,80,185,137,137
S01009563,0.999999999999303,730,366,364,31,53,43,106,96,171,146,84
S01009564,0.99999999999816302,633,284,349,33,51,43,67,63,169,112,95
S01009565,0.99999999999998701,541,262,279,25,47,40,80,68,169,71,41
S01009566,0.99999999999991795,1022,462,560,66,88,83,161,116,288,157,63
S01009567,0.99999999999988798,806,387,419,45,72,43,80,110,220,156,80
S01009568,1.0000000000062701,738,345,393,45,78,61,106,86,215,97,50
S01009569,1.0000000000043801,751,352,399,43,59,34,108,103,185,128,91
S01009570,0.99999999999875699,532,255,277,32,33,45,95,54,155,87,31
S01009571,1.0000000000007001,663,336,327,44,60,52,94,113,169,95,36
S01009572,1.0000000000013201,952,478,474,61,88,61,149,121,262,142,68
S01009573,0.99999999999203004,704,336,368,44,63,72,125,90,175,94,41
S01009574,1.0000000000060101,957,476,481,56,76,62,152,113,222,177,99
S01009575,0.999999999931249,497,248,249,17,34,33,84,54,132,97,46
S01009576,0.999999999921931,472,225,247,7,18,29,40,30,117,167,64
S01009577,0.99999999999579503,677,334,343,16,31,26,79,42,179,221,83
S01009578,1.0000000000056,713,341,372,45,69,50,91,74,205,137,42
S01009579,0.99999999999922695,1004,498,506,41,65,61,110,112,340,201,74
S01009580,0.99999999999959399,963,478,485,26,76,106,117,102,326,158,52
S01009581,1.00000000000139,560,259,301,34,41,35,67,72,137,124,50
