rel..oa_id,rel..proportion_of_oa_within_co_m_boundary,rel..total_persons,rel..christian_church_of_scotland,rel..christian_roman_catholic,rel..christian_other_christian,rel..buddhist,rel..hindu,rel..jewish,rel..muslim,rel..sikh,rel..other_religion,rel..no_religion,rel..religion_not_stated
S00108979,0.99999998753998498,161,55,16,12,1,0,0,0,0,0,70,7
S00108980,0.35855175659868799,122,39,13,2,0,0,0,0,0,0,58,10
S00108981,1.0000000000006399,75,19,8,4,0,0,0,0,0,1,42,1
S00108982,1.00000000000169,182,25,13,7,1,0,0,0,0,1,116,19
S00108983,0.99999999995696598,255,69,27,12,0,0,0,2,0,1,134,10
S00108984,0.99999999999625899,163,34,14,8,0,0,0,0,0,0,90,17
S00108985,1.00000000000719,141,30,15,10,0,0,0,0,0,0,80,6
S00108986,0.99999999999979705,137,16,7,11,1,0,0,0,0,1,94,7
S00109008,0.81318648526013304,97,21,5,7,1,0,0,0,0,1,50,12
S00109014,0.99999999999839395,52,18,3,3,0,0,0,0,0,0,25,3
S00109015,1.0000000000104801,58,23,4,2,0,0,0,0,0,0,24,5
S00109016,0.99999999999469702,164,59,5,8,1,0,0,0,5,3,76,7
S00109017,0.99999999997087896,164,55,22,7,0,0,0,0,0,1,55,24
S00109018,0.99999999995926603,124,42,12,0,1,0,0,0,0,2,59,8
S00109019,0.99999999991631705,194,45,13,7,1,0,0,0,0,0,78,50
S00109020,0.99999999999537303,188,38,13,10,0,0,0,5,0,0,106,16
S00109021,1.00000000000472,124,29,13,2,0,0,0,0,0,0,80,0
S00109022,1.0000000000108999,153,25,11,8,0,0,0,2,1,0,100,6
S00109023,1.0000000000017799,82,22,4,11,0,0,0,0,0,1,34,10
S00109027,0.52681119847650004,99,36,6,2,0,0,0,0,0,0,45,10
S00109028,0.25617786692621802,156,74,9,18,0,0,0,0,0,0,39,16
S00109029,1.000000000028,137,54,14,9,0,0,0,0,0,0,57,3
S00109030,0.963648314012717,118,58,4,3,0,0,0,0,0,0,46,7
S00109039,0.17737087797717099,115,50,6,2,1,0,0,0,0,2,50,4
S00109049,0.64395434057993395,89,26,3,8,0,0,0,0,0,0,48,4
S00109051,2.11061337029513E-2,134,55,3,13,0,0,0,0,0,1,58,4
S00109085,0.99999999999613598,163,67,3,5,0,0,0,0,0,1,74,13
S00109086,0.27548159800370198,92,44,7,2,0,0,0,0,0,0,29,10
S00109089,0.37057365341252302,94,32,7,9,0,0,0,0,0,0,44,2
S00109778,1.0000000000100799,165,41,19,1,0,0,0,5,0,0,93,6
S00109779,0.99999999999733502,102,20,20,2,0,0,0,6,0,0,49,5
S00109780,1.00000000000502,94,35,7,0,1,0,0,0,0,0,51,0
