house..sa_id,house..proportion_of_sa_within_co_m_boundary,house..total_households,house..one_person_household,house..couple_no_dependent_children,house..couple_dependent_children,house..lone_parent_dependent_children,house..other_household_no_dependent_children,house..other_household_dependent_children
47016001,0.84927830973138396,128,30,22,53,15,4,4
47016002,1.00000000002636,122,34,22,51,8,1,6
47016003,1,77,17,13,36,3,5,3
47016004,1,95,16,20,41,5,7,6
47016005,0.98867937370549996,117,23,17,57,9,8,3
47016006,1.00000000000031,140,13,26,73,10,7,11
47016007,0.999999999999859,95,11,11,54,11,5,3
47016008,0.99999999999991196,80,16,11,33,6,12,2
47016009,0.75889738991815403,129,42,24,37,13,6,7
47016010,0.99999999999985301,143,27,26,60,14,7,9
47016011,0.66827317663947805,92,16,19,32,13,5,7
47016015,0.99999999999414901,84,16,11,33,4,13,7
47016016,0.76696206876935702,72,16,23,25,4,4,0
47016017,0.79162578176890996,117,15,22,57,11,7,5
47016018,1.0000000000014699,114,10,30,58,8,6,2
47016019,0.74744760429483503,94,27,15,36,6,7,3
47016020,1,115,12,24,66,5,5,3
47016021,1,90,19,15,34,12,5,5
47016022,1,72,15,20,30,5,0,2
47016023,0.99999999999996503,88,15,18,34,12,8,1
47016024,0.937168674868049,115,21,19,45,16,7,7
47016025,1.00000000000002,75,12,26,23,8,2,4
47016026,1,80,11,22,34,8,4,1
47016027,0.57918912781232101,88,20,28,25,9,2,4
47016028,1.0000000000001401,105,21,18,37,17,5,7
47016031,3.9567407078046297E-2,99,22,17,41,9,3,7
47016032,0.71501707377620305,110,25,24,38,13,1,9
47016033,0.99999999999981304,74,11,10,38,4,6,5
47016034,0.94087852331755595,83,12,19,37,4,5,6
47016035,0.48716209054623599,114,23,27,46,11,4,3
47016036,0.99999999999899203,103,12,23,50,9,3,6
47016037,1.0000000000003699,103,17,32,44,3,4,3
47016038,1.0000000000006799,80,14,7,26,22,6,5
47016039,0.38487046842381001,70,11,8,22,16,5,8
47016040,0.99999999999899603,73,12,9,39,4,7,2
47016041,1.0000000000000999,79,18,15,30,3,10,3
47016042,0.95164054736432702,90,17,21,32,12,7,1
47016043,0.99655963035892203,140,29,21,60,12,11,7
47016044,1.0000000000014799,84,20,25,27,4,4,4
47016045,0.14004668349656799,93,19,19,36,8,5,6
47016046,0.999316748645524,90,17,19,37,15,0,2
47016047,0.98615958192106501,109,23,23,36,13,7,7
47016048,0.97976730009950197,94,16,17,38,11,10,2
47016049,1.0000000000001199,81,12,11,41,9,3,5
47016051,0.2987266564812,129,20,25,63,4,14,3
47016052,0.34598182023188201,73,17,13,26,7,7,3
47016053,1.00000000000051,63,15,11,24,5,6,2
47016054,0.99999999999978795,92,15,16,48,7,4,2
47016055,0.99999999999993605,73,11,7,33,18,1,3
47016056,1.00000000000002,76,5,14,49,3,1,4
47016057,1,100,11,15,53,10,6,5
47016058,0.99999999999994804,111,10,24,63,5,4,5
47016059,0.99999999999992994,98,13,27,45,7,2,4
47016060,0.99999999999516298,77,18,23,22,7,2,5
47016061,1.0000000000000899,112,18,26,48,10,2,8
47016062,1.00000000000003,81,24,13,27,10,5,2
47016063,1,74,17,20,23,4,9,1
47016065,0.99999999999966305,68,8,19,28,6,6,1
47016066,0.84906938360677098,67,23,13,13,8,8,2
47270004,3.9083442485363003E-2,101,38,14,20,18,9,2
47270005,0.80589150436724799,104,23,27,42,6,4,2
47270006,1.0000000000002001,127,48,22,34,17,5,1
47270007,0.63752127554020199,116,27,28,47,4,5,5
47270008,1.0000000000006399,43,20,10,5,6,2,0
47270009,0.99999999962434505,34,19,5,4,3,1,2
