pop..sa_code,pop..proportion_of_sa_within_co_m_boundary,pop..total_persons,pop..males,pop..females,pop..x0_4_years,pop..x5_11_years,pop..x12_17_years,pop..x18_29_years,pop..x30_39_years,pop..x40_59_years,pop..x60_74_years,pop..x75_years
47016001,0.84927830973138396,363,195,168,22,40,26,42,49,111,45,28
47016002,1.00000000002636,357,179,178,28,54,31,31,55,88,50,20
47016003,1,241,126,115,19,38,16,26,31,85,18,8
47016004,1,290,142,148,29,42,10,34,52,67,44,12
47016005,0.98867937370549996,341,155,186,34,68,20,33,92,88,5,1
47016006,1.00000000000031,458,221,237,34,68,39,53,90,141,25,8
47016007,0.999999999999859,312,154,158,37,64,31,19,72,78,7,4
47016008,0.99999999999991196,231,109,122,27,40,14,21,66,55,7,1
47016009,0.75889738991815403,399,190,209,12,28,22,47,59,118,88,25
47016010,0.99999999999985301,429,213,216,43,55,30,52,79,110,36,24
47016011,0.66827317663947805,244,117,127,18,11,10,49,30,83,40,3
47016015,0.99999999999414901,237,114,123,35,21,14,29,74,55,8,1
47016016,0.76696206876935702,180,95,85,9,14,5,31,13,57,42,9
47016017,0.79162578176890996,358,188,170,12,30,34,53,23,103,69,34
47016018,1.0000000000014699,340,156,184,11,39,28,46,24,105,72,15
47016019,0.74744760429483503,244,115,129,19,13,21,34,43,71,27,16
47016020,1,366,182,184,26,38,26,65,38,128,36,9
47016021,1,246,125,121,14,9,19,43,28,64,50,19
47016022,1,198,100,98,7,14,19,25,20,65,39,9
47016023,0.99999999999996503,243,123,120,16,16,16,28,50,55,51,11
47016024,0.937168674868049,330,162,168,22,18,13,82,46,103,41,5
47016025,1.00000000000002,205,98,107,9,18,14,26,16,47,61,14
47016026,1,227,119,108,17,15,15,32,27,57,58,6
47016027,0.57918912781232101,220,114,106,14,13,7,32,25,51,58,20
47016028,1.0000000000001401,300,145,155,18,22,14,62,53,71,51,9
47016031,3.9567407078046297E-2,273,131,142,17,26,17,37,39,72,46,19
47016032,0.71501707377620305,294,139,155,16,21,20,60,36,93,25,23
47016033,0.99999999999981304,255,117,138,10,26,34,41,19,73,47,5
47016034,0.94087852331755595,282,127,155,12,15,16,45,33,69,64,28
47016035,0.48716209054623599,313,150,163,17,23,30,39,47,103,39,15
47016036,0.99999999999899203,317,161,156,15,30,26,51,43,80,64,8
47016037,1.0000000000003699,289,146,143,26,25,16,39,45,62,58,18
47016038,1.0000000000006799,226,97,129,16,28,28,41,25,62,21,5
47016039,0.38487046842381001,218,105,113,11,20,27,43,32,53,26,6
47016040,0.99999999999899603,222,111,111,30,40,9,15,65,53,8,2
47016041,1.0000000000000999,211,106,105,38,17,5,18,87,29,17,0
47016042,0.95164054736432702,239,129,110,27,33,11,32,60,60,12,4
47016043,0.99655963035892203,386,192,194,42,43,26,46,102,104,18,5
47016044,1.0000000000014799,214,106,108,13,19,10,26,41,44,45,16
47016045,0.14004668349656799,250,118,132,21,17,20,25,32,79,44,12
47016046,0.999316748645524,234,122,112,12,17,26,38,28,85,22,6
47016047,0.98615958192106501,295,131,164,17,21,21,52,46,91,29,18
47016048,0.97976730009950197,254,122,132,21,25,21,44,42,79,20,2
47016049,1.0000000000001199,260,135,125,31,41,30,20,50,73,12,3
47016051,0.2987266564812,365,175,190,42,32,24,48,106,73,30,10
47016052,0.34598182023188201,192,94,98,19,26,11,23,69,39,5,0
47016053,1.00000000000051,171,90,81,25,21,12,26,49,37,1,0
47016054,0.99999999999978795,284,137,147,21,35,31,28,37,85,37,10
47016055,0.99999999999993605,238,119,119,25,43,39,21,36,62,9,3
47016056,1.00000000000002,263,127,136,9,25,37,51,15,99,21,6
47016057,1,329,166,163,40,35,32,51,43,99,27,2
47016058,0.99999999999994804,365,171,194,37,58,33,34,64,102,30,7
47016059,0.99999999999992994,309,139,170,23,26,12,45,52,70,44,37
47016060,0.99999999999516298,193,97,96,7,11,11,22,22,48,61,11
47016061,1.0000000000000899,311,156,155,16,22,18,44,37,88,77,9
47016062,1.00000000000003,206,93,113,25,21,13,32,42,59,8,6
47016063,1,170,86,84,20,10,4,44,55,24,11,2
47016065,0.99999999999966305,181,83,98,17,21,7,20,40,49,24,3
47016066,0.84906938360677098,149,73,76,9,12,9,23,41,26,21,8
47270004,3.9083442485363003E-2,223,110,113,8,18,11,29,29,66,39,23
47270005,0.80589150436724799,275,146,129,15,19,15,26,37,69,63,31
47270006,1.0000000000002001,277,129,148,18,18,23,25,37,77,53,26
47270007,0.63752127554020199,351,168,183,24,31,19,20,41,88,67,61
47270008,1.0000000000006399,75,43,32,2,4,1,7,15,16,17,13
47270009,0.99999999962434505,68,31,37,4,3,4,7,10,19,12,9
