rel..sa_id,rel..proportion_of_sa_within_co_m_boundary,rel..total_persons,rel..religion_catholic,rel..religion_other_religions,rel..religion_no_religion,rel..religion_religion_not_stated
47016001,0.84927830973138396,363,301,38,22,2
47016002,1.00000000002636,357,306,12,35,4
47016003,1,241,204,9,15,13
47016004,1,290,220,47,21,2
47016005,0.98867937370549996,341,274,14,42,11
47016006,1.00000000000031,458,359,39,54,6
47016007,0.999999999999859,312,258,27,25,2
47016008,0.99999999999991196,231,166,24,34,7
47016009,0.75889738991815403,399,270,36,40,53
47016010,0.99999999999985301,429,353,25,43,8
47016011,0.66827317663947805,244,196,19,28,1
47016015,0.99999999999414901,237,178,28,30,1
47016016,0.76696206876935702,180,153,2,21,4
47016017,0.79162578176890996,358,315,7,30,6
47016018,1.0000000000014699,340,304,16,20,0
47016019,0.74744760429483503,244,203,17,24,0
47016020,1,366,325,16,25,0
47016021,1,246,202,13,31,0
47016022,1,198,168,15,15,0
47016023,0.99999999999996503,243,205,17,20,1
47016024,0.937168674868049,330,257,16,56,1
47016025,1.00000000000002,205,164,4,29,8
47016026,1,227,179,18,29,1
47016027,0.57918912781232101,220,187,14,19,0
47016028,1.0000000000001401,300,238,29,24,9
47016031,3.9567407078046297E-2,273,204,30,25,14
47016032,0.71501707377620305,294,232,20,41,1
47016033,0.99999999999981304,255,233,6,16,0
47016034,0.94087852331755595,282,235,21,20,6
47016035,0.48716209054623599,313,268,12,31,2
47016036,0.99999999999899203,317,260,24,26,7
47016037,1.0000000000003699,289,241,24,22,2
47016038,1.0000000000006799,226,177,29,16,4
47016039,0.38487046842381001,218,177,21,17,3
47016040,0.99999999999899603,222,163,17,37,5
47016041,1.0000000000000999,211,146,22,32,11
47016042,0.95164054736432702,239,178,33,21,7
47016043,0.99655963035892203,386,273,59,54,0
47016044,1.0000000000014799,214,176,12,22,4
47016045,0.14004668349656799,250,196,27,22,5
47016046,0.999316748645524,234,195,12,25,2
47016047,0.98615958192106501,295,247,14,33,1
47016048,0.97976730009950197,254,187,20,40,7
47016049,1.0000000000001199,260,218,11,30,1
47016051,0.2987266564812,365,265,46,46,8
47016052,0.34598182023188201,192,152,11,24,5
47016053,1.00000000000051,171,98,47,26,0
47016054,0.99999999999978795,284,260,5,9,10
47016055,0.99999999999993605,238,177,48,10,3
47016056,1.00000000000002,263,229,12,21,1
47016057,1,329,291,15,18,5
47016058,0.99999999999994804,365,301,21,41,2
47016059,0.99999999999992994,309,256,16,34,3
47016060,0.99999999999516298,193,167,9,16,1
47016061,1.0000000000000899,311,259,20,30,2
47016062,1.00000000000003,206,158,23,21,4
47016063,1,170,132,17,14,7
47016065,0.99999999999966305,181,155,12,14,0
47016066,0.84906938360677098,149,116,6,21,6
47270004,3.9083442485363003E-2,223,209,6,6,2
47270005,0.80589150436724799,275,264,0,11,0
47270006,1.0000000000002001,277,267,4,6,0
47270007,0.63752127554020199,351,331,4,15,1
47270008,1.0000000000006399,75,65,7,2,1
47270009,0.99999999962434505,68,63,2,3,0
