ethn..oa_id,ethn..proportion_of_oa_within_co_m_boundary,ethn..total_persons,ethn..white_english_welsh_scottish_northern_irish_british,ethn..white_irish,ethn..white_gypsy_or_irish_traveller,ethn..white_other_white,ethn..mixed_multiple_ethnic_group_white_and_black_caribbean,ethn..mixed_multiple_ethnic_group_white_and_black_african,ethn..mixed_multiple_ethnic_group_white_and_asian,ethn..mixed_multiple_ethnic_group_other_mixed,ethn..asian_asian_british_indian,ethn..asian_asian_british_pakistani,ethn..asian_asian_british_bangladeshi,ethn..asian_asian_british_chinese,ethn..asian_asian_british_other_asian,ethn..black_african_caribbean_black_british_african,ethn..black_african_caribbean_black_british_caribbean,ethn..black_african_caribbean_black_british_other_black,ethn..other_ethnic_group_arab,ethn..other_ethnic_group_any_other_ethnic_group,ethn..white_or_white_british,ethn..black_or_black_british,ethn..asian_or_asian_british,ethn..mixed_multiple_ethnicity,ethn..other_ethnicity
W00003567,0.322235111409999,444,438,0,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,443,0,0,1,0
W00003568,0.97366118865817497,331,324,1,0,3,1,0,1,0,0,0,0,0,1,0,0,0,0,0,328,0,1,2,0
W00003569,0.23313677794740101,402,389,1,0,6,0,3,0,1,0,0,0,0,1,0,0,0,0,1,396,0,1,4,1
W00003570,0.83750232064355501,392,386,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,1,389,0,0,2,1
W00003573,0.99923225558536799,435,412,7,0,8,0,0,1,0,0,0,0,0,0,0,1,4,0,2,427,5,0,1,2
W00003576,1.4130184735307E-2,282,275,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282,0,0,0,0
W00003577,0.84376748350616404,324,319,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,322,0,0,2,0
W00003746,1.03589594923138E-2,335,323,6,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,329,0,6,0,0
W00003749,0.36302410083096098,351,329,1,0,4,6,0,1,0,5,0,0,0,1,4,0,0,0,0,334,4,6,7,0
W00003750,0.90832917341179098,314,304,1,0,5,1,0,0,0,1,0,2,0,0,0,0,0,0,0,310,0,3,1,0
W00003751,0.79643505971932904,303,279,0,5,5,0,0,0,0,6,0,5,3,0,0,0,0,0,0,289,0,14,0,0
W00003831,0.99999999995409905,308,300,0,0,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,306,0,0,2,0
W00003832,0.27155878800541899,303,299,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,300,0,1,2,0
W00003833,0.99999999999828704,320,314,1,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,317,0,3,0,0
W00003834,0.31854512472950802,340,328,0,0,2,0,0,1,0,1,0,0,0,8,0,0,0,0,0,330,0,9,1,0
W00003835,0.86277289524888201,328,317,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,5,0,322,0,0,1,5
W00003836,0.92686947885589999,442,434,1,0,1,2,0,0,1,0,0,0,0,0,0,2,0,0,1,436,2,0,3,1
W00003837,0.49100545606791701,423,402,0,0,9,0,1,0,0,0,0,0,5,5,1,0,0,0,0,411,1,10,1,0
W00003884,0.65181494631872094,513,503,5,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,511,0,1,1,0
W00003886,0.57439004849862996,484,463,2,2,14,1,0,1,0,0,0,0,0,1,0,0,0,0,0,481,0,1,2,0
W00003887,0.99999999999953004,341,325,3,2,5,0,0,1,2,0,0,0,0,3,0,0,0,0,0,335,0,3,3,0
W00003889,0.83041088882888103,362,356,2,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,361,1,0,0,0
W00003890,1.00000000000006,354,351,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,353,1,0,0,0
W00003891,0.99999999999865097,419,405,0,2,5,0,1,3,0,1,0,1,0,1,0,0,0,0,0,412,0,3,4,0
W00003892,5.9902930498096002E-2,314,308,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,312,0,0,2,0
W00003894,0.160931663885166,386,372,2,0,1,1,0,1,0,3,0,0,1,3,1,1,0,0,0,375,2,7,2,0
W00003918,0.164477117194779,428,414,0,0,4,1,1,0,3,0,0,0,0,4,0,0,0,0,1,418,0,4,5,1
W00003919,0.97069022009573602,342,335,0,0,1,1,1,0,0,0,0,0,0,4,0,0,0,0,0,336,0,4,2,0
W00003920,0.29912159600910299,380,373,1,0,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,378,1,0,1,0
W00003921,1.8347537944156701E-2,292,287,0,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,288,0,1,3,0
W00003922,0.92792768425111904,350,335,4,0,1,2,2,2,0,1,0,0,0,1,1,0,1,0,0,340,2,2,6,0
W00003923,1.0000000000014999,302,283,2,3,7,4,0,0,0,0,0,0,2,0,0,1,0,0,0,295,1,2,4,0
W00003924,0.71644924803105403,344,338,2,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,340,0,3,1,0
