health..oa_id,health..proportion_of_oa_within_co_m_boundary,health..total_persons,health..very_good_health,health..good_health,health..fair_health,health..bad_health,health..very_bad_health
W00003567,0.322235111409999,444,216,132,74,15,7
W00003568,0.97366118865817497,331,121,94,65,32,19
W00003569,0.23313677794740101,402,174,138,63,21,6
W00003570,0.83750232064355501,392,171,126,70,19,6
W00003573,0.99923225558536799,435,220,126,69,17,3
W00003576,1.4130184735307E-2,282,129,80,49,16,8
W00003577,0.84376748350616404,324,107,102,66,29,20
W00003746,1.03589594923138E-2,335,156,101,49,22,7
W00003749,0.36302410083096098,351,137,108,70,28,8
W00003750,0.90832917341179098,314,110,97,72,27,8
W00003751,0.79643505971932904,303,127,93,50,26,7
W00003831,0.99999999995409905,308,123,84,67,24,10
W00003832,0.27155878800541899,303,150,70,59,17,7
W00003833,0.99999999999828704,320,163,80,48,24,5
W00003834,0.31854512472950802,340,162,105,58,15,0
W00003835,0.86277289524888201,328,168,81,53,20,6
W00003836,0.92686947885589999,442,211,135,46,36,14
W00003837,0.49100545606791701,423,227,103,64,21,8
W00003884,0.65181494631872094,513,290,115,82,20,6
W00003886,0.57439004849862996,484,231,139,60,38,16
W00003887,0.99999999999953004,341,149,102,59,23,8
W00003889,0.83041088882888103,362,195,88,52,20,7
W00003890,1.00000000000006,354,151,95,70,29,9
W00003891,0.99999999999865097,419,188,126,56,38,11
W00003892,5.9902930498096002E-2,314,132,81,57,26,18
W00003894,0.160931663885166,386,127,106,74,35,44
W00003918,0.164477117194779,428,203,129,62,24,10
W00003919,0.97069022009573602,342,136,115,71,14,6
W00003920,0.29912159600910299,380,196,104,58,15,7
W00003921,1.8347537944156701E-2,292,150,83,38,17,4
W00003922,0.92792768425111904,350,160,104,61,18,7
W00003923,1.0000000000014999,302,108,97,70,23,4
W00003924,0.71644924803105403,344,180,100,47,12,5
