house..oa_id,house..proportion_of_oa_within_co_m_boundary,house..total_households,house..one_person_household_65,house..one_person_household_64,house..couple_no_dependent_children,house..couple_dependent_children,house..lone_parent_dependent_children,house..other_household_no_dependent_children,house..other_household_dependent_children
W00003567,0.322235111409999,188,19,32,72,39,13,9,4
W00003568,0.97366118865817497,160,52,16,43,29,8,11,1
W00003569,0.23313677794740101,158,16,19,65,29,9,15,5
W00003570,0.83750232064355501,158,23,14,59,40,8,12,2
W00003573,0.99923225558536799,178,24,32,59,32,15,13,3
W00003576,1.4130184735307E-2,120,13,12,50,24,5,14,2
W00003577,0.84376748350616404,141,40,6,48,21,9,12,5
W00003746,1.03589594923138E-2,141,15,18,61,26,4,11,6
W00003749,0.36302410083096098,156,26,26,62,17,12,10,3
W00003750,0.90832917341179098,141,23,23,47,15,11,19,3
W00003751,0.79643505971932904,146,27,32,49,21,5,10,2
W00003831,0.99999999995409905,140,23,22,48,22,13,11,1
W00003832,0.27155878800541899,136,13,28,51,24,12,5,3
W00003833,0.99999999999828704,118,11,17,28,39,9,11,3
W00003834,0.31854512472950802,143,11,24,59,29,10,8,2
W00003835,0.86277289524888201,134,14,20,53,34,3,9,1
W00003836,0.92686947885589999,205,25,30,86,39,10,12,3
W00003837,0.49100545606791701,159,19,21,44,49,10,10,6
W00003884,0.65181494631872094,214,22,27,96,36,13,15,5
W00003886,0.57439004849862996,173,16,20,65,51,11,7,3
W00003887,0.99999999999953004,144,15,27,51,30,8,10,3
W00003889,0.83041088882888103,153,25,14,63,37,4,5,5
W00003890,1.00000000000006,156,33,21,51,29,6,10,6
W00003891,0.99999999999865097,178,19,29,52,37,24,14,3
W00003892,5.9902930498096002E-2,111,9,11,49,26,2,10,4
W00003894,0.160931663885166,139,20,14,64,26,5,8,2
W00003918,0.164477117194779,174,18,22,63,34,17,14,6
W00003919,0.97069022009573602,146,20,15,56,22,15,17,1
W00003920,0.29912159600910299,168,12,29,61,32,19,12,3
W00003921,1.8347537944156701E-2,112,17,15,33,23,4,14,6
W00003922,0.92792768425111904,156,29,19,53,35,9,8,3
W00003923,1.0000000000014999,150,34,27,54,18,7,9,1
W00003924,0.71644924803105403,133,10,13,53,25,15,13,4
