rel..oa_id,rel..proportion_of_oa_within_co_m_boundary,rel..total_persons,rel..christian,rel..buddhist,rel..hindu,rel..jewish,rel..muslim,rel..sikh,rel..other_religion,rel..no_religion,rel..religion_not_stated
W00003567,0.322235111409999,444,248,0,0,0,0,0,3,162,31
W00003568,0.97366118865817497,331,222,1,0,0,0,0,1,92,15
W00003569,0.23313677794740101,402,269,1,0,3,0,0,3,98,28
W00003570,0.83750232064355501,392,260,1,0,0,3,0,0,96,32
W00003573,0.99923225558536799,435,304,1,0,0,0,0,0,108,22
W00003576,1.4130184735307E-2,282,205,0,0,0,0,0,1,65,11
W00003577,0.84376748350616404,324,201,0,0,0,0,0,0,92,31
W00003746,1.03589594923138E-2,335,211,2,0,0,0,5,4,87,26
W00003749,0.36302410083096098,351,231,0,0,0,0,1,0,87,32
W00003750,0.90832917341179098,314,183,0,0,0,3,0,2,94,32
W00003751,0.79643505971932904,303,158,1,6,0,4,0,1,106,27
W00003831,0.99999999995409905,308,177,0,0,0,0,0,0,97,34
W00003832,0.27155878800541899,303,168,0,0,0,0,0,0,99,36
W00003833,0.99999999999828704,320,135,0,0,0,1,0,2,159,23
W00003834,0.31854512472950802,340,205,1,0,0,0,0,2,105,27
W00003835,0.86277289524888201,328,215,2,0,0,5,0,0,83,23
W00003836,0.92686947885589999,442,254,0,0,0,0,0,0,159,29
W00003837,0.49100545606791701,423,233,0,0,0,0,0,3,149,38
W00003884,0.65181494631872094,513,356,2,0,0,3,0,3,116,33
W00003886,0.57439004849862996,484,337,0,0,0,0,0,2,115,30
W00003887,0.99999999999953004,341,186,2,0,0,0,0,3,123,27
W00003889,0.83041088882888103,362,240,1,0,0,3,0,0,90,28
W00003890,1.00000000000006,354,211,0,0,0,0,0,5,112,26
W00003891,0.99999999999865097,419,190,2,0,0,5,0,5,181,36
W00003892,5.9902930498096002E-2,314,177,0,0,0,1,0,0,110,26
W00003894,0.160931663885166,386,249,1,3,0,0,0,1,93,39
W00003918,0.164477117194779,428,242,0,0,1,5,0,2,143,35
W00003919,0.97069022009573602,342,218,0,0,0,0,0,0,93,31
W00003920,0.29912159600910299,380,224,1,0,0,0,0,1,126,28
W00003921,1.8347537944156701E-2,292,179,0,0,0,2,0,5,92,14
W00003922,0.92792768425111904,350,222,2,0,0,0,0,3,102,21
W00003923,1.0000000000014999,302,205,0,0,0,0,0,3,65,29
W00003924,0.71644924803105403,344,205,0,3,0,0,0,0,108,28
