ethn..oa_id,ethn..proportion_of_oa_within_co_m_boundary,ethn..total_persons,ethn..white,ethn..white_gypsy_or_irish_traveller,ethn..mixed_multiple_ethnic_group,ethn..asian_asian_british_indian,ethn..asian_asian_british_pakistani,ethn..asian_asian_british_bangladeshi,ethn..asian_asian_british_chinese,ethn..asian_asian_british_other_asian,ethn..black_african_caribbean_black_british,ethn..other_ethnic_group_any_other_ethnic_group,ethn..white_or_white_british,ethn..black_or_black_british,ethn..asian_or_asian_british,ethn..mixed_multiple_ethnicity,ethn..other_ethnicity
S00093979,1.11885733298197E-2,137,135,0,0,1,0,0,0,1,0,0,135,0,2,0,0
S00098554,0.178709840774673,119,119,0,0,0,0,0,0,0,0,0,119,0,0,0,0
S00098555,0.170094692535561,86,86,0,0,0,0,0,0,0,0,0,86,0,0,0,0
S00098605,0.99999999963193098,198,193,0,1,0,2,1,0,1,0,0,193,0,4,1,0
S00098606,1.0000000000499301,102,102,0,0,0,0,0,0,0,0,0,102,0,0,0,0
S00098607,1.00000000000476,95,90,0,0,0,0,0,0,0,5,0,90,5,0,0,0
S00098608,1.00000000000083,178,175,0,2,0,0,0,0,1,0,0,175,0,1,2,0
S00098609,0.99999999997903,159,159,0,0,0,0,0,0,0,0,0,159,0,0,0,0
S00098610,0.99999999997338496,83,83,0,0,0,0,0,0,0,0,0,83,0,0,0,0
S00098611,1.00000000000194,106,106,0,0,0,0,0,0,0,0,0,106,0,0,0,0
S00098612,1.0000000000087901,105,98,0,2,0,0,0,0,0,5,0,98,5,0,2,0
S00098613,0.99999999997151101,81,78,3,0,0,0,0,0,0,0,0,81,0,0,0,0
S00098614,1.0000000000292699,58,55,0,0,0,0,0,0,0,3,0,55,3,0,0,0
S00098639,6.07548073243196E-2,124,123,0,0,0,1,0,0,0,0,0,123,0,1,0,0
S00098641,1.0000000000014,139,137,0,0,0,1,0,0,0,0,1,137,0,1,0,1
S00098642,0.99999999999619704,138,137,0,0,0,0,0,0,0,0,1,137,0,0,0,1
S00098643,0.99999999998660205,67,65,0,0,0,2,0,0,0,0,0,65,0,2,0,0
S00098644,0.99999999997113698,111,104,0,3,0,1,1,0,1,1,0,104,1,3,3,0
S00098645,0.99999999999609102,91,88,0,0,0,0,0,0,3,0,0,88,0,3,0,0
S00098646,0.99999999990344302,110,110,0,0,0,0,0,0,0,0,0,110,0,0,0,0
S00098647,1.0000000000137601,86,86,0,0,0,0,0,0,0,0,0,86,0,0,0,0
S00098648,1.0000000000050899,76,76,0,0,0,0,0,0,0,0,0,76,0,0,0,0
S00098649,1.00000000000276,83,83,0,0,0,0,0,0,0,0,0,83,0,0,0,0
S00098730,3.5935336796742497E-2,96,83,0,0,6,1,0,0,0,6,0,83,6,7,0,0
S00098838,1.87347570302729E-2,105,98,0,0,0,3,0,4,0,0,0,98,0,7,0,0
S00098866,0.90923572403130704,100,95,0,0,0,5,0,0,0,0,0,95,0,5,0,0
S00098869,0.99999983477586296,119,118,0,1,0,0,0,0,0,0,0,118,0,0,1,0
S00098870,4.5841448604088897E-2,55,46,0,0,4,5,0,0,0,0,0,46,0,9,0,0
S00098873,1.0000000000893801,105,105,0,0,0,0,0,0,0,0,0,105,0,0,0,0
S00098874,1.00000000000414,109,109,0,0,0,0,0,0,0,0,0,109,0,0,0,0
S00098875,0.99999999999968603,134,130,0,4,0,0,0,0,0,0,0,130,0,0,4,0
S00098876,1.0000000003785801,93,93,0,0,0,0,0,0,0,0,0,93,0,0,0,0
S00098877,0.99999999999681599,89,88,0,0,0,0,0,0,0,0,1,88,0,0,0,1
S00098878,0.99999999998812195,128,128,0,0,0,0,0,0,0,0,0,128,0,0,0,0
S00098879,3.0498198285028501E-2,126,110,0,0,5,6,0,0,0,0,5,110,0,11,0,5
S00098880,1.0000000000343501,111,109,0,0,0,0,2,0,0,0,0,109,0,2,0,0
S00098881,1.0000000000004901,111,110,0,0,0,0,0,0,1,0,0,110,0,1,0,0
S00098882,1.00000000000194,109,109,0,0,0,0,0,0,0,0,0,109,0,0,0,0
S00098883,0.99999999999566302,91,91,0,0,0,0,0,0,0,0,0,91,0,0,0,0
S00098884,0.99999999999807698,122,122,0,0,0,0,0,0,0,0,0,122,0,0,0,0
S00098885,0.99999999999985401,116,116,0,0,0,0,0,0,0,0,0,116,0,0,0,0
S00098886,1.0000000000004501,88,87,0,0,0,0,1,0,0,0,0,87,0,1,0,0
S00098887,1.0000000000017299,88,88,0,0,0,0,0,0,0,0,0,88,0,0,0,0
S00098888,1.0000000000193301,115,115,0,0,0,0,0,0,0,0,0,115,0,0,0,0
S00098889,0.999999999999163,122,122,0,0,0,0,0,0,0,0,0,122,0,0,0,0
S00098890,0.99999999998292899,112,112,0,0,0,0,0,0,0,0,0,112,0,0,0,0
S00098891,0.99999999999653899,128,126,0,0,1,0,1,0,0,0,0,126,0,2,0,0
S00098892,1.0000000000031899,95,93,0,1,1,0,0,0,0,0,0,93,0,1,1,0
S00098893,0.99999999999036104,164,162,0,0,0,1,1,0,0,0,0,162,0,2,0,0
S00098894,0.99999999932818195,107,107,0,0,0,0,0,0,0,0,0,107,0,0,0,0
S00098895,1.00000000000886,143,140,0,1,1,0,0,0,0,1,0,140,1,1,1,0
S00098896,1.0000000000636,128,128,0,0,0,0,0,0,0,0,0,128,0,0,0,0
S00098897,0.99999999999990996,95,95,0,0,0,0,0,0,0,0,0,95,0,0,0,0
S00098898,0.99999999999272604,84,84,0,0,0,0,0,0,0,0,0,84,0,0,0,0
S00098899,1.0000000000009801,166,166,0,0,0,0,0,0,0,0,0,166,0,0,0,0
S00098900,1.00000000000918,125,123,0,0,1,0,0,0,0,0,1,123,0,1,0,1
S00098901,1.00000000000467,65,63,0,1,0,0,0,0,0,1,0,63,1,0,1,0
S00098902,1.0000000000026501,99,99,0,0,0,0,0,0,0,0,0,99,0,0,0,0
S00098903,1.0000000000059099,111,111,0,0,0,0,0,0,0,0,0,111,0,0,0,0
S00098904,0.99999999998667499,106,106,0,0,0,0,0,0,0,0,0,106,0,0,0,0
S00098905,1.00000000000138,89,89,0,0,0,0,0,0,0,0,0,89,0,0,0,0
S00098906,0.99999999998594402,136,136,0,0,0,0,0,0,0,0,0,136,0,0,0,0
S00098907,0.99999999999920897,92,91,0,0,0,0,1,0,0,0,0,91,0,1,0,0
S00098908,0.99999999999748801,123,122,0,1,0,0,0,0,0,0,0,122,0,0,1,0
S00098909,1.0000000000123901,158,158,0,0,0,0,0,0,0,0,0,158,0,0,0,0
S00098910,0.99999999999363498,123,123,0,0,0,0,0,0,0,0,0,123,0,0,0,0
S00098911,0.99999999999836098,118,118,0,0,0,0,0,0,0,0,0,118,0,0,0,0
S00098912,1.0000000000001401,86,85,0,0,0,0,0,0,0,0,1,85,0,0,0,1
S00098913,1.0000000000106299,155,155,0,0,0,0,0,0,0,0,0,155,0,0,0,0
S00098914,1.0000000000001501,109,107,1,0,0,0,0,0,0,0,1,108,0,0,0,1
S00098915,1.0000000000050699,140,138,0,0,0,0,0,0,0,2,0,138,2,0,0,0
S00098916,1.0000000000020299,134,128,0,4,1,0,0,0,1,0,0,128,0,2,4,0
S00098917,1.00000000009584,53,53,0,0,0,0,0,0,0,0,0,53,0,0,0,0
S00098918,1.0000000000257301,83,81,0,0,0,1,0,0,0,1,0,81,1,1,0,0
S00098919,0.99999999999920197,84,84,0,0,0,0,0,0,0,0,0,84,0,0,0,0
S00098920,0.99999999999797895,149,131,0,2,2,7,0,0,0,7,0,131,7,9,2,0
S00098921,1.00000000005696,69,66,0,0,0,3,0,0,0,0,0,66,0,3,0,0
S00098922,0.99999999711134802,89,84,0,0,0,4,0,0,0,1,0,84,1,4,0,0
S00098923,0.99999999999697198,126,126,0,0,0,0,0,0,0,0,0,126,0,0,0,0
S00098924,1.0000000000007701,108,107,1,0,0,0,0,0,0,0,0,108,0,0,0,0
S00098925,1.00000000000142,91,84,0,0,0,4,0,0,0,3,0,84,3,4,0,0
S00098926,1.0000000000006299,107,107,0,0,0,0,0,0,0,0,0,107,0,0,0,0
S00098927,1.00000000000248,68,68,0,0,0,0,0,0,0,0,0,68,0,0,0,0
S00098928,1.00000000000192,120,119,0,0,1,0,0,0,0,0,0,119,0,1,0,0
S00098929,1.0000000000176199,84,83,0,1,0,0,0,0,0,0,0,83,0,0,1,0
S00098930,1.00000000001502,101,101,0,0,0,0,0,0,0,0,0,101,0,0,0,0
S00098931,1.00000000000388,115,115,0,0,0,0,0,0,0,0,0,115,0,0,0,0
S00098932,0.99999999999359701,89,89,0,0,0,0,0,0,0,0,0,89,0,0,0,0
S00098933,1.0000000000087199,144,138,0,0,1,0,0,0,0,5,0,138,5,1,0,0
S00098934,1.0000000000023199,121,119,0,1,0,0,0,0,0,1,0,119,1,0,1,0
S00098935,0.99999997425642995,88,88,0,0,0,0,0,0,0,0,0,88,0,0,0,0
S00098936,0.99999999999709899,117,117,0,0,0,0,0,0,0,0,0,117,0,0,0,0
S00098937,0.99999999330876299,128,126,0,0,1,0,0,0,1,0,0,126,0,2,0,0
S00098938,1.0000000000013101,103,103,0,0,0,0,0,0,0,0,0,103,0,0,0,0
S00098939,1.00000000000916,112,111,1,0,0,0,0,0,0,0,0,112,0,0,0,0
S00098940,0.999999999984028,116,116,0,0,0,0,0,0,0,0,0,116,0,0,0,0
S00098941,1.00000000000395,115,115,0,0,0,0,0,0,0,0,0,115,0,0,0,0
S00098942,0.99999999998754496,85,84,0,0,0,0,0,0,1,0,0,84,0,1,0,0
S00098943,0.99999999999808098,168,168,0,0,0,0,0,0,0,0,0,168,0,0,0,0
S00098944,0.99999999999858402,167,159,0,0,4,0,4,0,0,0,0,159,0,8,0,0
S00098945,0.99999999999769096,151,147,0,0,4,0,0,0,0,0,0,147,0,4,0,0
S00098946,0.93905576187206097,82,82,0,0,0,0,0,0,0,0,0,82,0,0,0,0
S00098947,1.00000000001528,139,139,0,0,0,0,0,0,0,0,0,139,0,0,0,0
S00098948,0.99999999999820099,101,97,0,0,1,1,0,0,1,1,0,97,1,3,0,0
S00098949,0.99999999999859002,131,130,0,0,0,0,0,0,0,0,1,130,0,0,0,1
S00098950,1.0000000000136799,64,64,0,0,0,0,0,0,0,0,0,64,0,0,0,0
S00098951,1.0000000000015401,141,141,0,0,0,0,0,0,0,0,0,141,0,0,0,0
S00098952,1.0000000000071501,92,92,0,0,0,0,0,0,0,0,0,92,0,0,0,0
S00098953,0.99999999999904299,104,104,0,0,0,0,0,0,0,0,0,104,0,0,0,0
S00098954,1.0000000000004601,146,140,0,0,3,0,0,3,0,0,0,140,0,6,0,0
S00098955,1.0000000000015199,101,101,0,0,0,0,0,0,0,0,0,101,0,0,0,0
S00098956,0.98584093413088403,119,119,0,0,0,0,0,0,0,0,0,119,0,0,0,0
S00098957,1.0000000000174201,103,103,0,0,0,0,0,0,0,0,0,103,0,0,0,0
