health..oa_id,health..proportion_of_oa_within_co_m_boundary,health..total_persons,health..very_good_health,health..good_health,health..fair_health,health..bad_health,health..very_bad_health
S00093979,1.11885733298197E-2,137,77,47,11,2,0
S00098554,0.178709840774673,119,55,45,16,3,0
S00098555,0.170094692535561,86,39,25,18,2,2
S00098605,0.99999999963193098,198,136,43,17,2,0
S00098606,1.0000000000499301,102,65,17,14,6,0
S00098607,1.00000000000476,95,54,16,18,6,1
S00098608,1.00000000000083,178,129,31,13,1,4
S00098609,0.99999999997903,159,84,39,21,11,4
S00098610,0.99999999997338496,83,52,15,10,5,1
S00098611,1.00000000000194,106,59,28,10,7,2
S00098612,1.0000000000087901,105,52,28,13,8,4
S00098613,0.99999999997151101,81,19,17,24,12,9
S00098614,1.0000000000292699,58,36,12,7,2,1
S00098639,6.07548073243196E-2,124,44,49,17,10,4
S00098641,1.0000000000014,139,47,47,25,15,5
S00098642,0.99999999999619704,138,92,29,13,4,0
S00098643,0.99999999998660205,67,20,22,18,5,2
S00098644,0.99999999997113698,111,55,35,15,6,0
S00098645,0.99999999999609102,91,37,29,21,2,2
S00098646,0.99999999990344302,110,64,27,13,5,1
S00098647,1.0000000000137601,86,45,19,12,9,1
S00098648,1.0000000000050899,76,20,34,14,7,1
S00098649,1.00000000000276,83,37,24,13,9,0
S00098730,3.5935336796742497E-2,96,46,25,17,4,4
S00098838,1.87347570302729E-2,105,47,40,16,0,2
S00098866,0.90923572403130704,100,43,35,19,3,0
S00098869,0.99999983477586296,119,69,36,11,3,0
S00098870,4.5841448604088897E-2,55,15,28,8,3,1
S00098873,1.0000000000893801,105,56,31,13,4,1
S00098874,1.00000000000414,109,61,36,9,3,0
S00098875,0.99999999999968603,134,93,32,8,1,0
S00098876,1.0000000003785801,93,45,29,8,10,1
S00098877,0.99999999999681599,89,42,32,12,2,1
S00098878,0.99999999998812195,128,65,46,13,4,0
S00098879,3.0498198285028501E-2,126,75,28,19,3,1
S00098880,1.0000000000343501,111,64,34,8,4,1
S00098881,1.0000000000004901,111,47,42,12,6,4
S00098882,1.00000000000194,109,57,35,10,7,0
S00098883,0.99999999999566302,91,52,28,8,2,1
S00098884,0.99999999999807698,122,67,45,7,0,3
S00098885,0.99999999999985401,116,46,42,25,3,0
S00098886,1.0000000000004501,88,22,32,25,6,3
S00098887,1.0000000000017299,88,6,30,38,9,5
S00098888,1.0000000000193301,115,54,47,12,0,2
S00098889,0.999999999999163,122,73,29,17,2,1
S00098890,0.99999999998292899,112,58,33,16,4,1
S00098891,0.99999999999653899,128,64,42,13,6,3
S00098892,1.0000000000031899,95,31,41,12,10,1
S00098893,0.99999999999036104,164,113,40,6,3,2
S00098894,0.99999999932818195,107,46,37,18,5,1
S00098895,1.00000000000886,143,68,42,24,7,2
S00098896,1.0000000000636,128,61,41,18,6,2
S00098897,0.99999999999990996,95,50,28,14,3,0
S00098898,0.99999999999272604,84,42,26,11,3,2
S00098899,1.0000000000009801,166,97,39,19,6,5
S00098900,1.00000000000918,125,63,32,21,6,3
S00098901,1.00000000000467,65,28,20,9,7,1
S00098902,1.0000000000026501,99,48,29,15,7,0
S00098903,1.0000000000059099,111,39,41,22,7,2
S00098904,0.99999999998667499,106,37,44,22,2,1
S00098905,1.00000000000138,89,45,33,6,5,0
S00098906,0.99999999998594402,136,79,35,16,5,1
S00098907,0.99999999999920897,92,34,30,20,6,2
S00098908,0.99999999999748801,123,66,34,15,8,0
S00098909,1.0000000000123901,158,84,49,21,3,1
S00098910,0.99999999999363498,123,65,35,14,7,2
S00098911,0.99999999999836098,118,60,34,16,8,0
S00098912,1.0000000000001401,86,48,26,8,3,1
S00098913,1.0000000000106299,155,73,39,24,12,7
S00098914,1.0000000000001501,109,52,32,18,5,2
S00098915,1.0000000000050699,140,93,37,6,2,2
S00098916,1.0000000000020299,134,81,31,17,4,1
S00098917,1.00000000009584,53,25,18,7,3,0
S00098918,1.0000000000257301,83,46,25,11,1,0
S00098919,0.99999999999920197,84,43,27,8,6,0
S00098920,0.99999999999797895,149,80,37,22,8,2
S00098921,1.00000000005696,69,21,18,18,10,2
S00098922,0.99999999711134802,89,56,24,6,3,0
