house..oa_id,house..proportion_of_oa_within_co_m_boundary,house..total_households,house..one_person_household_65,house..one_person_household_64,house..couple_no_dependent_children,house..couple_dependent_children,house..lone_parent_dependent_children,house..other_household_no_dependent_children,house..other_household_dependent_children
S00093979,1.11885733298197E-2,58,9,4,29,12,2,1,1
S00098554,0.178709840774673,42,7,1,19,7,3,1,4
S00098555,0.170094692535561,39,6,3,13,5,1,1,10
S00098605,0.99999999963193098,66,0,10,13,22,14,1,6
S00098606,1.0000000000499301,40,2,14,6,12,3,2,1
S00098607,1.00000000000476,32,0,3,7,6,16,0,0
S00098608,1.00000000000083,59,2,6,16,28,6,1,0
S00098609,0.99999999997903,72,3,24,13,13,10,3,6
S00098610,0.99999999997338496,34,3,11,8,7,3,0,2
S00098611,1.00000000000194,49,5,14,9,4,11,3,3
S00098612,1.0000000000087901,47,5,13,10,4,4,4,7
S00098613,0.99999999997151101,55,35,5,4,1,4,1,5
S00098614,1.0000000000292699,29,2,13,2,4,5,1,2
S00098639,6.07548073243196E-2,60,9,16,10,6,13,2,4
S00098641,1.0000000000014,74,21,12,24,8,5,0,4
S00098642,0.99999999999619704,54,2,8,16,15,8,2,3
S00098643,0.99999999998660205,42,17,4,16,0,3,1,1
S00098644,0.99999999997113698,50,7,12,8,14,7,0,2
S00098645,0.99999999999609102,52,8,24,4,6,4,2,4
S00098646,0.99999999990344302,45,2,7,7,9,12,0,8
S00098647,1.0000000000137601,41,1,12,8,6,9,1,4
S00098648,1.0000000000050899,46,15,11,16,1,1,0,2
S00098649,1.00000000000276,49,13,19,8,3,1,3,2
S00098730,3.5935336796742497E-2,44,8,9,15,5,3,1,3
S00098838,1.87347570302729E-2,57,18,9,16,7,4,0,3
S00098866,0.90923572403130704,48,13,3,22,9,0,1,0
S00098869,0.99999983477586296,48,5,2,24,6,4,2,5
S00098870,4.5841448604088897E-2,26,10,1,8,1,1,1,4
S00098873,1.0000000000893801,46,7,3,23,4,1,2,6
S00098874,1.00000000000414,43,7,1,20,12,1,1,1
S00098875,0.99999999999968603,50,3,5,15,14,8,2,3
S00098876,1.0000000003785801,43,7,4,24,4,1,0,3
S00098877,0.99999999999681599,42,7,3,21,4,2,0,5
S00098878,0.99999999998812195,50,8,3,20,14,2,0,3
S00098879,3.0498198285028501E-2,47,8,4,21,13,0,0,1
S00098880,1.0000000000343501,45,5,3,17,12,3,0,5
S00098881,1.0000000000004901,52,10,4,23,3,4,2,6
S00098882,1.00000000000194,46,3,6,27,9,0,0,1
S00098883,0.99999999999566302,42,4,8,15,5,6,0,4
S00098884,0.99999999999807698,48,3,4,12,13,6,1,9
S00098885,0.99999999999985401,51,5,6,21,9,3,1,6
S00098886,1.0000000000004501,52,24,6,16,4,1,1,0
S00098887,1.0000000000017299,47,35,5,7,0,0,0,0
S00098888,1.0000000000193301,56,6,10,29,7,3,0,1
S00098889,0.999999999999163,54,5,10,17,7,11,1,3
S00098890,0.99999999998292899,52,5,10,17,6,9,1,4
S00098891,0.99999999999653899,59,9,8,17,8,11,1,5
S00098892,1.0000000000031899,42,4,8,17,3,3,2,5
S00098893,0.99999999999036104,63,2,7,24,21,5,1,3
S00098894,0.99999999932818195,50,5,8,25,4,3,1,4
S00098895,1.00000000000886,73,7,19,19,8,15,0,5
S00098896,1.0000000000636,65,5,21,9,8,16,2,4
S00098897,0.99999999999990996,45,8,8,12,6,6,1,4
S00098898,0.99999999999272604,39,4,8,9,7,10,0,1
S00098899,1.0000000000009801,76,5,20,16,11,18,2,4
S00098900,1.00000000000918,61,8,13,23,6,7,1,3
S00098901,1.00000000000467,45,13,16,12,1,2,0,1
S00098902,1.0000000000026501,53,11,14,16,6,3,0,3
S00098903,1.0000000000059099,64,17,17,19,4,1,0,6
S00098904,0.99999999998667499,66,14,24,16,7,3,0,2
S00098905,1.00000000000138,45,8,11,12,11,1,0,2
S00098906,0.99999999998594402,52,1,9,23,12,4,1,2
S00098907,0.99999999999920897,53,9,21,7,4,11,0,1
S00098908,0.99999999999748801,55,3,17,7,11,14,0,3
S00098909,1.0000000000123901,67,7,14,16,15,11,0,4
S00098910,0.99999999999363498,52,15,4,12,9,5,2,5
S00098911,0.99999999999836098,47,5,0,26,4,6,2,4
S00098912,1.0000000000001401,29,2,2,10,10,3,1,1
S00098913,1.0000000000106299,53,3,6,17,7,10,2,8
S00098914,1.0000000000001501,42,6,1,19,6,3,1,6
S00098915,1.0000000000050699,58,6,6,30,12,1,0,3
S00098916,1.0000000000020299,51,11,8,20,9,1,0,2
S00098917,1.00000000009584,25,3,3,17,1,0,0,1
S00098918,1.0000000000257301,33,5,3,16,5,1,0,3
S00098919,0.99999999999920197,33,5,3,7,9,4,0,5
S00098920,0.99999999999797895,48,8,2,17,6,10,2,3
S00098921,1.00000000005696,45,21,6,14,2,1,0,1
S00098922,0.99999999711134802,40,2,15,9,7,3,0,4
S00098923,0.99999999999697198,53,10,4,22,11,1,0,5
S00098924,1.0000000000007701,42,5,4,16,6,7,1,3
S00098925,1.00000000000142,41,6,8,14,4,3,2,4
S00098926,1.0000000000006299,50,2,11,23,10,1,0,3
S00098927,1.00000000000248,31,5,3,14,5,0,0,4
S00098928,1.00000000000192,51,7,6,22,10,1,1,4
S00098929,1.0000000000176199,35,7,2,12,5,3,0,6
S00098930,1.00000000001502,49,10,7,18,2,4,1,7
S00098931,1.00000000000388,51,8,3,24,6,3,2,5
S00098932,0.99999999999359701,47,10,7,20,4,2,1,3
S00098933,1.0000000000087199,60,8,6,22,12,6,2,4
S00098934,1.0000000000023199,51,7,5,25,10,0,0,4
S00098935,0.99999997425642995,40,4,1,26,2,3,1,3
S00098936,0.99999999999709899,49,6,2,27,9,2,2,1
S00098937,0.99999999330876299,49,1,4,24,13,5,0,2
S00098938,1.0000000000013101,49,6,11,11,10,11,0,0
S00098939,1.00000000000916,55,10,10,18,7,7,0,3
S00098940,0.999999999984028,54,17,5,15,6,2,3,6
S00098941,1.00000000000395,53,8,10,20,9,2,0,4
S00098942,0.99999999998754496,37,5,3,16,8,1,0,4
S00098943,0.99999999999808098,71,8,6,40,10,3,0,4
S00098944,0.99999999999858402,73,12,6,30,14,5,2,4
S00098945,0.99999999999769096,69,11,8,32,15,2,0,1
S00098946,0.93905576187206097,36,6,3,19,4,0,1,3
S00098947,1.00000000001528,53,5,15,13,11,3,4,2
S00098948,0.99999999999820099,43,2,7,15,6,4,0,9
S00098949,0.99999999999859002,73,24,14,19,6,5,1,4
S00098950,1.0000000000136799,25,2,3,2,4,6,2,6
S00098951,1.0000000000015401,45,6,4,11,10,7,7,0
S00098952,1.0000000000071501,34,3,4,15,6,3,1,2
S00098953,0.99999999999904299,48,9,9,15,9,4,0,2
S00098954,1.0000000000004601,53,7,4,22,11,1,3,5
S00098955,1.0000000000015199,38,5,6,11,8,2,2,4
S00098956,0.98584093413088403,48,4,4,30,7,2,0,1
S00098957,1.0000000000174201,40,9,1,15,9,1,2,3
S00098958,0.99298665950938103,75,5,6,31,25,3,0,5
S00098959,1.00000000000051,46,8,1,18,10,4,2,3
S00098960,1.0000000023605899,39,2,5,15,4,9,2,2
S00098961,1.0000000000037801,45,3,3,10,5,9,6,9
S00098962,0.99999999999632405,44,1,6,11,9,10,2,5
S00098963,0.99999999999316103,73,6,13,30,11,11,0,2
S00098964,0.99426994940481594,60,9,8,21,8,7,1,6
S00098965,1.0000000000049301,52,8,8,12,7,7,0,10
S00098966,0.99999999999925204,36,1,2,10,10,7,0,6
S00098967,1.0000000000025,49,2,8,11,14,8,2,4
S00098968,1.00000000000027,44,2,7,12,10,9,3,1
S00098969,0.99999999999038003,36,1,2,7,5,10,3,8
S00098970,0.98694957638389003,48,5,6,17,10,7,2,1
S00098971,1.0000000000001901,49,5,8,17,4,12,0,3
S00098972,1.0000000000023099,45,1,4,12,6,12,4,6
S00098973,0.99999999998795397,33,2,3,10,8,3,2,5
S00098974,1.0000000000073399,62,2,13,15,13,8,2,9
S00098975,0.99999999999216604,61,2,8,9,12,19,8,3
S00098976,1.0000000006623699,46,5,14,8,4,10,3,2
S00098977,1.0000000000045799,54,3,10,7,15,13,3,3
S00098978,0.99999999994673605,34,1,12,6,6,4,2,3
S00098979,1.0000000000181199,57,4,12,12,13,8,3,5
S00098980,1.0000000000010101,39,3,13,10,3,2,1,7
S00099189,0.177261531847938,38,8,0,21,3,4,0,2
S00099190,0.114049977488296,35,9,3,9,10,3,0,1
S00099442,1.0000000000087801,45,6,10,11,6,7,0,5
S00099443,1.00000000000587,53,5,19,9,8,9,1,2
S00099444,1.0000000000051299,52,5,6,3,11,21,1,5
S00099468,0.99999999998921896,74,1,5,24,34,7,1,2
S00099469,0.997966006190943,33,0,6,5,18,2,2,0
S00099472,1.0000000000048399,56,0,2,16,31,2,2,3
S00099473,0.98991181738149003,66,0,3,22,34,5,1,1
S00099480,0.99999999999887501,54,21,9,12,7,2,1,2
S00099481,0.99999999999525302,21,6,3,4,3,3,1,1
S00099482,0.999999999998886,30,2,5,9,6,6,0,2
S00099483,1.00000000000804,31,3,1,12,7,2,1,5
S00099484,0.99999999999678502,39,5,5,8,8,8,2,3
S00099485,0.99999999999887002,30,3,4,8,9,0,3,3
S00099486,0.99999999999480305,62,25,6,10,5,5,4,7
S00099487,0.999999999998892,45,0,7,8,8,13,1,8
S00099488,0.999999999998608,37,3,4,12,7,7,2,2
S00099489,0.99999999997272804,57,1,8,19,22,7,0,0
S00099490,1.0000000000093101,58,2,7,22,17,3,3,4
S00099491,1.0000000000018101,31,17,2,7,2,0,0,3
S00099510,1.08319514631669E-2,36,5,6,10,8,1,1,5
S00099519,1.0000000000040401,47,3,13,4,7,12,3,5
S00099520,1.0000000000001501,36,4,17,4,2,6,0,3
S00099521,0.99999999998824496,48,2,21,3,8,11,0,3
S00099522,0.99999999999909905,28,1,4,8,8,0,3,4
S00099602,0.99999999999664602,39,3,12,7,2,10,0,5
S00099603,0.99999999859798205,39,5,8,11,5,5,1,4
S00099604,0.99990538248435201,38,15,6,16,0,0,0,1
S00099643,1.07212002383362E-2,28,7,2,13,4,0,1,1
S00099644,1.0000000000026099,45,6,5,15,12,5,0,2
S00099645,0.99999999999979095,44,3,5,22,10,3,0,1
S00099646,1.0000000000023701,44,3,13,20,5,1,1,1
S00099647,0.99999999998484401,45,6,14,13,8,3,1,0
S00099648,0.99999999931952999,26,1,3,7,8,4,1,2
S00099649,1.0000000000028599,55,8,6,21,7,7,3,3
S00099650,0.99575608833017004,43,1,3,21,13,2,3,0
S00099651,1.0000000000068301,49,1,5,24,10,2,3,4
S00099674,0.82698869081535598,44,2,7,18,6,3,4,4
S00099682,0.91141971387521903,63,5,8,18,16,7,4,5
S00099684,0.98472671780917798,57,0,7,17,25,6,1,1
S00099733,0.99999999997988598,40,8,15,11,3,2,0,1
S00099734,1.0000000000012299,46,7,2,23,10,0,0,4
S00099735,1.0000000000059499,36,6,11,13,2,2,0,2
S00099779,0.99999999992886901,73,0,8,21,37,2,2,3
S00099780,1.0000000092499399,37,0,7,13,8,8,0,1
S00099781,1.0000000000020099,73,2,10,31,25,3,1,1
