rel..oa_id,rel..proportion_of_oa_within_co_m_boundary,rel..total_persons,rel..christian_church_of_scotland,rel..christian_roman_catholic,rel..christian_other_christian,rel..buddhist,rel..hindu,rel..jewish,rel..muslim,rel..sikh,rel..other_religion,rel..no_religion,rel..religion_not_stated
S00093979,1.11885733298197E-2,137,76,12,13,0,1,0,0,0,0,13,22
S00098554,0.178709840774673,119,39,31,3,0,0,0,0,0,0,43,3
S00098555,0.170094692535561,86,20,28,2,0,0,1,0,0,0,31,4
S00098605,0.99999999963193098,198,51,35,9,1,0,0,2,0,0,91,9
S00098606,1.0000000000499301,102,23,20,2,0,0,0,0,0,0,57,0
S00098607,1.00000000000476,95,15,12,8,0,0,0,0,0,0,54,6
S00098608,1.00000000000083,178,47,33,8,0,0,0,0,0,0,78,12
S00098609,0.99999999997903,159,22,32,4,0,0,0,0,0,0,94,7
S00098610,0.99999999997338496,83,7,25,10,0,0,0,0,0,0,38,3
S00098611,1.00000000000194,106,15,27,3,0,0,0,0,0,0,60,1
S00098612,1.0000000000087901,105,15,24,5,0,0,1,0,0,0,56,4
S00098613,0.99999999997151101,81,25,15,5,0,0,0,0,0,2,29,5
S00098614,1.0000000000292699,58,17,5,1,0,0,0,0,0,0,32,3
S00098639,6.07548073243196E-2,124,15,37,5,0,0,0,0,0,0,56,11
S00098641,1.0000000000014,139,46,36,3,0,0,0,2,0,0,45,7
S00098642,0.99999999999619704,138,34,28,2,0,0,0,3,0,0,66,5
S00098643,0.99999999998660205,67,21,16,9,0,0,0,0,0,0,15,6
S00098644,0.99999999997113698,111,16,26,2,0,0,0,5,0,0,50,12
S00098645,0.99999999999609102,91,12,23,4,0,0,0,0,0,0,48,4
S00098646,0.99999999990344302,110,34,20,1,0,0,0,0,0,0,49,6
S00098647,1.0000000000137601,86,16,17,2,0,0,0,0,0,0,44,7
S00098648,1.0000000000050899,76,29,15,1,0,0,0,0,0,1,24,6
S00098649,1.00000000000276,83,42,14,4,0,0,0,0,0,0,23,0
S00098730,3.5935336796742497E-2,96,19,22,1,0,0,0,13,0,1,34,6
S00098838,1.87347570302729E-2,105,43,25,2,2,0,0,3,0,0,22,8
S00098866,0.90923572403130704,100,41,16,4,0,0,0,5,0,0,22,12
S00098869,0.99999983477586296,119,33,29,10,0,0,0,0,0,0,38,9
S00098870,4.5841448604088897E-2,55,19,11,1,0,4,0,5,0,0,10,5
S00098873,1.0000000000893801,105,48,23,0,0,0,0,0,0,0,33,1
S00098874,1.00000000000414,109,52,25,3,0,0,0,0,0,0,29,0
S00098875,0.99999999999968603,134,42,33,14,1,0,0,0,0,0,37,7
S00098876,1.0000000003785801,93,44,18,3,0,0,0,0,0,0,21,7
S00098877,0.99999999999681599,89,37,8,5,0,0,0,0,0,2,34,3
S00098878,0.99999999998812195,128,54,17,3,0,0,0,0,0,0,46,8
S00098879,3.0498198285028501E-2,126,35,34,5,0,5,0,11,0,0,19,17
S00098880,1.0000000000343501,111,31,26,9,0,0,0,2,0,1,33,9
S00098881,1.0000000000004901,111,35,29,6,0,0,0,0,0,4,27,10
S00098882,1.00000000000194,109,36,38,0,0,0,0,0,0,0,29,6
S00098883,0.99999999999566302,91,32,24,5,0,0,0,0,0,0,25,5
S00098884,0.99999999999807698,122,36,33,1,1,0,0,0,0,0,42,9
S00098885,0.99999999999985401,116,40,21,0,0,0,0,0,0,1,47,7
S00098886,1.0000000000004501,88,33,26,7,0,0,0,2,0,0,16,4
S00098887,1.0000000000017299,88,50,22,3,0,0,0,0,0,0,11,2
S00098888,1.0000000000193301,115,39,22,7,0,0,0,0,0,0,36,11
S00098889,0.999999999999163,122,38,26,3,0,0,0,0,0,0,52,3
S00098890,0.99999999998292899,112,37,23,3,0,0,0,0,0,0,39,10
S00098891,0.99999999999653899,128,34,20,3,0,0,0,0,0,0,69,2
S00098892,1.0000000000031899,95,38,22,2,0,0,0,0,0,1,27,5
S00098893,0.99999999999036104,164,35,40,16,0,0,0,3,0,0,60,10
S00098894,0.99999999932818195,107,34,28,4,0,0,0,0,0,0,39,2
S00098895,1.00000000000886,143,33,39,0,0,0,0,0,0,0,67,4
S00098896,1.0000000000636,128,26,12,1,0,0,0,0,0,0,78,11
S00098897,0.99999999999990996,95,28,21,1,0,0,0,0,0,0,36,9
S00098898,0.99999999999272604,84,11,28,9,0,0,0,0,0,1,30,5
S00098899,1.0000000000009801,166,31,31,9,0,0,0,0,0,0,91,4
S00098900,1.00000000000918,125,28,32,2,0,0,0,0,1,0,52,10
