ethn..oa_id,ethn..proportion_of_oa_within_co_m_boundary,ethn..total_persons,ethn..white_english_welsh_scottish_northern_irish_british,ethn..white_irish,ethn..white_gypsy_or_irish_traveller,ethn..white_other_white,ethn..mixed_multiple_ethnic_group_white_and_black_caribbean,ethn..mixed_multiple_ethnic_group_white_and_black_african,ethn..mixed_multiple_ethnic_group_white_and_asian,ethn..mixed_multiple_ethnic_group_other_mixed,ethn..asian_asian_british_indian,ethn..asian_asian_british_pakistani,ethn..asian_asian_british_bangladeshi,ethn..asian_asian_british_chinese,ethn..asian_asian_british_other_asian,ethn..black_african_caribbean_black_british_african,ethn..black_african_caribbean_black_british_caribbean,ethn..black_african_caribbean_black_british_other_black,ethn..other_ethnic_group_arab,ethn..other_ethnic_group_any_other_ethnic_group,ethn..white_or_white_british,ethn..black_or_black_british,ethn..asian_or_asian_british,ethn..mixed_multiple_ethnicity,ethn..other_ethnicity
E00113246,7.4576896091548495E-2,348,325,3,0,4,5,0,5,1,0,0,0,0,1,1,3,0,0,0,332,4,1,11,0
E00113255,0.37175179462665903,221,215,1,0,0,0,0,0,0,1,0,0,0,2,0,2,0,0,0,216,2,3,0,0
E00113257,0.27498783448717101,296,281,0,0,5,0,0,0,0,1,0,3,2,0,0,2,2,0,0,286,4,6,0,0
E00113264,3.0346372919563099E-2,252,232,4,0,3,4,0,1,1,0,0,0,0,2,0,5,0,0,0,239,5,2,6,0
E00113455,0.99999999999982703,267,196,4,1,8,9,2,0,2,0,4,0,1,11,18,9,2,0,0,209,29,16,13,0
E00113456,0.999999999991663,381,346,2,0,6,5,0,0,1,6,0,0,4,0,0,8,1,1,1,354,9,10,6,2
E00113457,1.00000000000391,309,269,0,2,10,7,4,2,0,1,0,0,1,2,1,7,2,0,1,281,10,4,13,1
E00113458,0.99999999999904798,242,200,2,0,1,13,0,2,1,0,2,3,3,1,6,5,2,0,1,203,13,9,16,1
E00113459,0.999976184375301,293,274,1,0,1,5,1,1,1,0,0,0,0,0,2,4,3,0,0,276,9,0,8,0
E00113460,0.99999999993935296,193,156,5,0,8,8,1,2,0,0,0,0,0,0,3,10,0,0,0,169,13,0,11,0
E00113461,0.999214037480746,312,291,3,0,2,2,1,0,2,5,0,0,0,2,1,2,1,0,0,296,4,7,5,0
E00113462,0.89691257248651002,273,256,0,0,7,6,0,0,0,2,0,0,1,0,0,1,0,0,0,263,1,3,6,0
E00113463,0.99999999999752998,256,216,1,0,2,16,0,0,2,3,0,0,0,4,3,6,2,0,1,219,11,7,18,1
E00113470,0.66803886811483804,263,241,0,0,4,5,0,4,0,0,1,0,0,0,0,5,3,0,0,245,8,1,9,0
E00113472,0.49105954813238101,321,292,3,0,7,5,1,0,0,0,0,0,1,6,3,1,2,0,0,302,6,7,6,0
E00113474,0.99999999999959299,222,198,3,0,7,1,0,0,1,1,0,0,1,4,4,2,0,0,0,208,6,6,2,0
E00113475,0.99909682446244696,224,197,2,0,8,4,0,0,0,0,4,1,4,1,2,1,0,0,0,207,3,10,4,0
E00113476,8.1578151739727905E-2,250,226,2,0,11,2,0,1,1,5,0,0,0,1,0,1,0,0,0,239,1,6,4,0
E00113477,0.98492185169415203,325,281,0,0,16,9,3,0,0,6,0,0,1,3,0,6,0,0,0,297,6,10,12,0
E00113478,1.0000000000012901,255,217,3,0,7,10,1,0,1,0,0,0,1,1,6,4,4,0,0,227,14,2,12,0
E00113479,0.733028947355569,315,259,8,0,7,10,0,1,0,3,4,0,0,9,1,13,0,0,0,274,14,16,11,0
E00113480,1.0000000000022999,184,170,4,0,2,2,1,0,0,3,0,0,1,0,0,1,0,0,0,176,1,4,3,0
E00113481,1.0000000000040099,212,189,2,0,4,0,0,0,2,4,1,0,0,2,0,8,0,0,0,195,8,7,2,0
E00113482,0.99999999999974198,258,219,2,0,4,10,1,2,3,0,0,0,0,1,7,6,2,0,1,225,15,1,16,1
E00113483,0.98697542128052596,335,274,0,0,9,15,0,2,4,0,4,1,0,5,9,12,0,0,0,283,21,10,21,0
E00113484,0.99972136000549405,323,304,3,0,0,2,1,0,0,1,0,0,7,0,0,5,0,0,0,307,5,8,3,0
E00113485,1.00000000000442,316,286,0,0,10,7,1,0,0,2,0,0,0,0,0,9,1,0,0,296,10,2,8,0
E00113486,0.99999999998984301,225,176,0,0,16,13,1,2,1,1,0,0,0,0,10,5,0,0,0,192,15,1,17,0
E00113487,0.99999999999809797,228,203,2,0,2,4,0,1,1,0,2,0,0,0,7,4,2,0,0,207,13,2,6,0
E00113488,1.00000000000107,208,171,2,0,6,4,2,1,5,0,1,0,0,0,11,5,0,0,0,179,16,1,12,0
E00113927,3.7944354809462399E-2,322,295,1,0,10,7,0,1,1,1,1,0,0,1,1,1,2,0,0,306,4,3,9,0
