health..oa_id,health..proportion_of_oa_within_co_m_boundary,health..total_persons,health..very_good_health,health..good_health,health..fair_health,health..bad_health,health..very_bad_health
E00113246,7.4576896091548495E-2,348,182,125,33,6,2
E00113255,0.37175179462665903,221,54,88,59,17,3
E00113257,0.27498783448717101,296,137,111,37,8,3
E00113264,3.0346372919563099E-2,252,109,86,45,11,1
E00113455,0.99999999999982703,267,97,91,46,23,10
E00113456,0.999999999991663,381,145,159,56,15,6
E00113457,1.00000000000391,309,110,117,50,25,7
E00113458,0.99999999999904798,242,90,94,31,19,8
E00113459,0.999976184375301,293,116,130,33,11,3
E00113460,0.99999999993935296,193,82,67,32,11,1
E00113461,0.999214037480746,312,146,124,29,13,0
E00113462,0.89691257248651002,273,107,98,50,14,4
E00113463,0.99999999999752998,256,89,86,57,14,10
E00113470,0.66803886811483804,263,91,114,45,6,7
E00113472,0.49105954813238101,321,150,105,50,15,1
E00113474,0.99999999999959299,222,53,105,52,9,3
E00113475,0.99909682446244696,224,87,89,36,8,4
E00113476,8.1578151739727905E-2,250,101,82,46,19,2
E00113477,0.98492185169415203,325,153,105,50,7,10
E00113478,1.0000000000012901,255,80,97,53,21,4
E00113479,0.733028947355569,315,150,110,42,9,4
E00113480,1.0000000000022999,184,34,66,62,14,8
E00113481,1.0000000000040099,212,66,76,42,21,7
E00113482,0.99999999999974198,258,78,99,49,24,8
E00113483,0.98697542128052596,335,138,125,46,22,4
E00113484,0.99972136000549405,323,151,113,43,10,6
E00113485,1.00000000000442,316,136,119,39,17,5
E00113486,0.99999999998984301,225,83,86,33,22,1
E00113487,0.99999999999809797,228,85,80,47,14,2
E00113488,1.00000000000107,208,79,63,54,10,2
E00113927,3.7944354809462399E-2,322,179,109,22,9,3
