house..oa_id,house..proportion_of_oa_within_co_m_boundary,house..total_households,house..one_person_household_65,house..one_person_household_64,house..couple_no_dependent_children,house..couple_dependent_children,house..lone_parent_dependent_children,house..other_household_no_dependent_children,house..other_household_dependent_children
E00113246,7.4576896091548495E-2,131,8,12,55,30,6,13,7
E00113255,0.37175179462665903,122,35,12,59,4,4,7,1
E00113257,0.27498783448717101,117,12,9,48,33,6,5,4
E00113264,3.0346372919563099E-2,104,17,6,48,23,3,5,2
E00113455,0.99999999999982703,134,20,47,27,18,12,6,4
E00113456,0.999999999991663,139,13,31,53,20,9,9,4
E00113457,1.00000000000391,139,15,42,27,22,18,11,4
E00113458,0.99999999999904798,121,10,45,21,17,17,8,3
E00113459,0.999976184375301,128,20,17,47,19,11,8,6
E00113460,0.99999999993935296,94,2,38,11,15,21,6,1
E00113461,0.999214037480746,119,9,11,53,32,6,5,3
E00113462,0.89691257248651002,119,22,20,28,28,7,12,2
E00113463,0.99999999999752998,119,9,30,25,13,25,13,4
E00113470,0.66803886811483804,115,17,18,28,19,20,11,2
E00113472,0.49105954813238101,124,14,6,60,26,7,8,3
E00113474,0.99999999999959299,117,45,8,46,11,0,5,2
E00113475,0.99909682446244696,110,13,34,30,19,3,11,0
E00113476,8.1578151739727905E-2,113,18,16,52,10,6,9,2
E00113477,0.98492185169415203,133,11,14,62,24,6,14,2
E00113478,1.0000000000012901,125,31,24,31,17,9,11,2
E00113479,0.733028947355569,116,7,12,42,24,12,14,5
E00113480,1.0000000000022999,111,44,22,28,11,2,4,0
E00113481,1.0000000000040099,117,34,23,39,10,3,7,1
E00113482,0.99999999999974198,127,14,32,31,13,24,13,0
E00113483,0.98697542128052596,148,22,23,38,29,23,8,5
E00113484,0.99972136000549405,130,13,24,47,27,6,8,5
E00113485,1.00000000000442,124,14,12,42,23,20,9,4
E00113486,0.99999999998984301,109,12,29,16,21,26,4,1
E00113487,0.99999999999809797,122,4,59,20,16,14,7,2
E00113488,1.00000000000107,120,28,37,25,13,8,8,1
E00113927,3.7944354809462399E-2,117,14,9,46,29,3,11,5
