rel..oa_id,rel..proportion_of_oa_within_co_m_boundary,rel..total_persons,rel..christian,rel..buddhist,rel..hindu,rel..jewish,rel..muslim,rel..sikh,rel..other_religion,rel..no_religion,rel..religion_not_stated
E00113246,7.4576896091548495E-2,348,203,0,0,0,1,0,4,113,27
E00113255,0.37175179462665903,221,175,0,0,0,2,0,1,27,16
E00113257,0.27498783448717101,296,215,1,1,0,0,0,0,53,26
E00113264,3.0346372919563099E-2,252,180,0,0,0,0,0,1,53,18
E00113455,0.99999999999982703,267,160,0,6,0,20,0,0,55,26
E00113456,0.999999999991663,381,226,3,0,0,8,0,2,125,17
E00113457,1.00000000000391,309,167,2,0,0,2,0,0,111,27
E00113458,0.99999999999904798,242,144,0,0,0,12,0,0,74,12
E00113459,0.999976184375301,293,184,1,0,0,5,0,0,83,20
E00113460,0.99999999993935296,193,93,0,0,0,0,0,0,81,19
E00113461,0.999214037480746,312,211,1,0,0,5,0,0,81,14
E00113462,0.89691257248651002,273,172,2,1,0,1,0,4,71,22
E00113463,0.99999999999752998,256,136,0,0,0,7,3,4,92,14
E00113470,0.66803886811483804,263,156,1,0,0,1,0,2,85,18
E00113472,0.49105954813238101,321,220,1,5,0,4,0,0,71,20
E00113474,0.99999999999959299,222,167,0,3,0,0,0,0,37,15
E00113475,0.99909682446244696,224,132,1,0,1,5,0,3,63,19
E00113476,8.1578151739727905E-2,250,152,1,4,0,1,0,4,71,17
E00113477,0.98492185169415203,325,227,0,0,0,0,4,1,79,14
E00113478,1.0000000000012901,255,158,1,0,0,5,0,1,71,19
E00113479,0.733028947355569,315,208,1,0,0,2,0,2,73,29
E00113480,1.0000000000022999,184,123,0,0,0,4,0,2,37,18
E00113481,1.0000000000040099,212,152,1,0,0,2,0,1,33,23
E00113482,0.99999999999974198,258,148,0,0,0,0,0,3,88,19
E00113483,0.98697542128052596,335,207,0,0,0,13,0,0,99,16
E00113484,0.99972136000549405,323,188,2,0,0,0,1,3,105,24
E00113485,1.00000000000442,316,201,0,0,0,0,0,2,92,21
E00113486,0.99999999998984301,225,120,1,0,0,9,0,0,75,20
E00113487,0.99999999999809797,228,126,0,0,0,6,0,1,84,11
E00113488,1.00000000000107,208,131,0,0,0,5,0,0,52,20
E00113927,3.7944354809462399E-2,322,229,0,0,0,3,1,2,65,22
