ethn..oa_id,ethn..proportion_of_oa_within_co_m_boundary,ethn..total_persons,ethn..white_english_welsh_scottish_northern_irish_british,ethn..white_irish,ethn..white_gypsy_or_irish_traveller,ethn..white_other_white,ethn..mixed_multiple_ethnic_group_white_and_black_caribbean,ethn..mixed_multiple_ethnic_group_white_and_black_african,ethn..mixed_multiple_ethnic_group_white_and_asian,ethn..mixed_multiple_ethnic_group_other_mixed,ethn..asian_asian_british_indian,ethn..asian_asian_british_pakistani,ethn..asian_asian_british_bangladeshi,ethn..asian_asian_british_chinese,ethn..asian_asian_british_other_asian,ethn..black_african_caribbean_black_british_african,ethn..black_african_caribbean_black_british_caribbean,ethn..black_african_caribbean_black_british_other_black,ethn..other_ethnic_group_arab,ethn..other_ethnic_group_any_other_ethnic_group,ethn..white_or_white_british,ethn..black_or_black_british,ethn..asian_or_asian_british,ethn..mixed_multiple_ethnicity,ethn..other_ethnicity
E00002041,0.27013408054656601,380,127,3,1,26,5,1,4,0,25,0,0,7,23,128,5,15,3,7,157,148,55,10,10
E00002045,2.5556198464311199E-2,313,155,9,0,24,2,0,1,4,17,4,4,11,16,44,19,3,0,0,188,66,52,7,0
E00002048,0.17993610700226201,334,126,4,0,31,5,1,4,0,21,12,0,11,12,77,23,5,1,1,161,105,56,10,2
E00002050,0.13557931037425799,267,160,3,0,21,3,4,1,6,15,0,0,1,14,22,9,3,4,1,184,34,30,14,5
E00002275,0.94793409744760104,423,198,2,0,19,8,3,8,4,4,0,1,12,7,143,5,9,0,0,219,157,24,23,0
E00002276,0.95343047928792701,155,54,2,0,0,0,3,0,2,2,0,7,5,4,59,3,8,0,6,56,70,18,5,6
E00002277,0.98608869685798495,347,147,5,10,16,8,3,0,0,4,0,3,18,12,110,5,2,0,4,178,117,37,11,4
E00002279,0.99999999999268796,400,154,4,0,30,7,4,1,2,4,5,13,10,11,128,9,14,0,4,188,151,43,14,4
E00002280,0.945252340877062,382,178,1,2,37,4,4,2,3,11,1,0,20,9,94,14,1,0,1,218,109,41,13,1
E00002282,0.999522668340184,284,165,1,2,22,4,3,4,1,1,0,0,7,0,52,4,17,0,1,190,73,8,12,1
E00002283,0.99999999999770395,267,146,1,0,6,3,5,4,4,0,4,0,0,3,76,7,6,1,1,153,89,7,16,2
E00002284,0.99999999999759304,391,127,0,0,20,13,9,2,6,6,6,7,5,3,142,24,12,0,9,147,178,27,30,9
E00002285,0.99999999999936695,391,111,8,0,49,4,15,2,5,1,5,0,9,4,162,4,11,0,1,168,177,19,26,1
E00002286,1.0000000000023801,322,91,2,1,17,0,3,0,1,4,0,0,10,2,162,15,13,0,1,111,190,16,4,1
E00002287,1.0000000000006799,316,85,3,0,31,6,1,1,4,15,1,0,2,5,123,20,5,0,14,119,148,23,12,14
E00002288,0.99999999999925404,433,222,9,1,6,6,5,0,4,24,0,1,6,1,100,16,17,1,14,238,133,32,15,15
E00002289,1.0000000000079099,376,142,1,0,34,8,10,4,2,13,2,0,6,24,111,8,9,2,0,177,128,45,24,2
E00002290,1.0000000000051501,293,98,1,0,32,3,7,0,0,5,0,0,0,7,126,11,3,0,0,131,140,12,10,0
E00002291,1.00000000000189,374,157,5,1,28,17,1,0,4,0,1,2,1,5,133,11,5,0,3,191,149,9,22,3
E00002292,0.99999999994675703,260,127,1,0,19,0,4,2,3,0,0,0,3,4,84,9,4,0,0,147,97,7,9,0
E00002293,1.0000000000001701,407,165,1,9,7,5,3,3,10,8,7,0,3,9,154,7,9,7,0,182,170,27,21,7
E00002294,0.98704667924065403,294,93,0,2,22,2,3,2,2,9,0,2,9,14,105,18,10,0,1,117,133,34,9,1
E00002295,0.98225025723224502,226,128,2,0,12,5,2,1,3,0,0,0,4,0,56,5,2,2,4,142,63,4,11,6
E00002296,1.8422753525990002E-2,436,134,4,1,15,2,5,7,0,31,5,0,8,37,162,4,12,0,9,154,178,81,14,9
E00002298,0.92377487398705005,333,139,3,0,19,6,8,5,3,3,0,0,8,1,116,12,5,0,5,161,133,12,22,5
E00003837,1.4384392874010599E-2,273,234,1,0,14,0,0,3,2,4,0,1,0,4,4,0,0,0,6,249,4,9,5,6
E00007793,0.99999999997422995,375,171,4,1,10,5,7,1,6,3,5,1,2,35,88,15,14,0,7,186,117,46,19,7
E00007794,1.00000000000027,434,178,3,2,28,11,7,1,2,21,24,0,0,43,80,10,18,2,4,211,108,88,21,6
E00007795,0.99999999999326605,346,147,4,0,36,8,6,2,5,13,0,0,4,42,54,14,8,0,3,187,76,59,21,3
E00007796,0.98018790597817296,353,164,0,7,21,12,3,8,5,5,0,0,4,35,68,11,7,1,2,192,86,44,28,3
E00007798,0.99999999999399702,284,137,3,0,6,4,11,0,3,0,0,0,1,3,89,3,20,0,4,146,112,4,18,4
E00007799,0.99999999999963496,298,130,7,0,6,6,8,2,1,10,0,6,9,15,72,12,9,0,5,143,93,40,17,5
E00007800,0.99999999998412203,305,169,4,1,16,2,2,0,5,22,3,0,1,6,49,4,7,6,8,190,60,32,9,14
E00007801,0.99999999992509203,316,164,7,3,21,0,8,0,2,11,4,0,6,17,47,17,4,0,5,195,68,38,10,5
E00007802,0.99999999999752098,335,147,9,2,25,3,3,0,3,15,0,0,4,26,62,8,21,1,6,183,91,45,9,7
E00007803,0.99999999990494304,424,228,8,1,9,1,7,2,0,24,0,11,5,5,98,13,11,0,1,246,122,45,10,1
E00007804,0.99999999999927403,264,119,2,2,26,5,0,2,3,2,12,0,0,17,50,21,0,0,3,149,71,31,10,3
E00007805,1.00000000002246,326,146,4,0,11,6,6,3,2,6,3,0,4,7,101,18,4,0,5,161,123,20,17,5
E00007806,0.99999999999935096,294,180,0,0,33,5,5,3,3,1,0,0,3,19,26,11,2,0,3,213,39,23,16,3
E00007807,1.00000000000083,287,165,5,0,12,3,5,0,1,6,2,4,3,19,51,4,7,0,0,182,62,34,9,0
E00007808,0.99999999998851596,369,138,6,1,23,6,4,5,3,18,10,6,0,53,51,20,9,2,14,168,80,87,18,16
E00007809,1.0000000000001901,342,152,7,5,20,5,0,1,5,25,0,0,0,30,54,15,6,4,13,184,75,55,11,17
E00007810,0.99999999999919498,256,142,6,0,22,3,4,7,6,7,0,9,1,1,28,11,4,0,5,170,43,18,20,5
E00007811,0.93288294254375403,310,148,3,1,16,5,6,3,9,7,5,0,2,26,57,16,4,0,2,168,77,40,23,2
E00007812,0.99996753120271098,340,137,0,3,23,5,3,2,5,41,3,3,4,50,28,21,5,0,7,163,54,101,15,7
E00007813,1.0000000000297999,424,214,2,0,35,12,5,2,1,0,5,11,2,5,101,15,3,8,3,251,119,23,20,11
E00007814,0.99999999862709599,354,171,4,1,27,9,6,5,2,10,2,0,5,13,68,20,11,0,0,203,99,30,22,0
E00007815,1.00000000001141,216,94,5,0,13,8,5,0,6,5,0,0,1,3,52,10,11,0,3,112,73,9,19,3
E00007816,0.13542679008992201,213,142,1,0,8,7,3,1,2,4,0,1,0,7,26,5,5,0,1,151,36,12,13,1
E00007817,1.0000000000037399,378,212,10,0,15,1,8,10,1,4,1,0,3,22,47,18,12,1,13,237,77,30,20,14
E00007818,1.0000000000006899,316,149,4,5,31,7,8,5,5,1,0,0,4,5,64,5,19,1,3,189,88,10,25,4
E00007819,0.999999999991807,306,149,3,0,19,7,3,5,1,0,1,1,0,15,77,13,4,0,8,171,94,17,16,8
E00007820,8.8474841682093394E-2,408,196,10,0,15,11,0,4,9,19,8,0,0,20,75,24,3,0,14,221,102,47,24,14
E00007821,0.99999999998066602,392,143,3,4,22,5,6,4,8,7,0,6,0,1,148,10,22,2,1,172,180,14,23,3
E00007822,0.99999999999992195,324,155,6,1,6,8,8,0,3,0,0,2,9,0,104,12,6,1,3,168,122,11,19,4
E00007823,1.00000000000109,356,132,6,4,14,8,10,1,1,4,6,5,0,13,116,8,21,1,6,156,145,28,20,7
E00007824,0.999999999844566,319,171,1,2,7,0,4,5,5,12,6,0,0,0,92,7,5,1,1,181,104,18,14,2
E00007825,1.0000000001554099,493,253,2,3,10,15,7,0,10,9,1,15,0,10,123,16,15,0,4,268,154,35,32,4
E00007826,0.99999999996551503,316,133,4,10,17,2,3,0,5,0,10,4,10,12,90,4,9,1,2,164,103,36,10,3
E00007827,0.99999999999839995,307,132,7,4,20,0,7,1,4,3,1,0,0,0,115,4,8,1,0,163,127,4,12,1
E00007828,1.00000000000305,356,174,3,1,12,6,0,5,0,1,6,0,3,4,108,15,7,0,11,190,130,14,11,11
E00007829,0.99999999995927802,299,163,6,1,6,1,0,1,0,6,0,0,0,6,89,6,10,1,3,176,105,12,2,4
E00007830,1.0000000000176299,329,165,3,17,10,5,2,0,5,14,0,5,3,8,68,7,3,1,13,195,78,30,12,14
E00007831,0.99999999999656097,309,127,0,1,10,0,8,2,4,2,0,7,2,10,106,2,22,0,6,138,130,21,14,6
E00007832,1.0000000000040501,272,136,0,3,11,9,4,0,1,1,0,0,0,6,75,5,11,1,9,150,91,7,14,10
E00007833,1.0000000000226601,340,158,6,0,5,7,6,1,5,1,0,0,6,0,115,6,17,3,4,169,138,7,19,7
E00007834,0.99999999998920397,319,154,3,8,15,3,2,1,8,0,0,0,0,5,92,11,13,1,3,180,116,5,14,4
E00007835,1.0000000000083999,350,167,5,8,11,4,5,0,3,11,1,0,1,12,98,10,8,0,6,191,116,25,12,6
E00007836,1.0000000000024301,274,121,5,0,15,6,10,4,0,3,0,5,2,7,85,4,6,1,0,141,95,17,20,1
E00007837,1.0000000000001701,339,167,3,1,3,4,2,0,7,0,5,6,8,17,99,4,8,2,3,174,111,36,13,5
E00007838,0.99999999998231803,301,138,3,0,6,2,4,5,2,9,0,0,0,14,96,11,5,1,5,147,112,23,13,6
E00007934,0.43237914902080898,239,145,6,0,17,1,0,6,3,4,4,0,0,8,18,9,5,0,13,168,32,16,10,13
E00007935,0.21744189174534001,321,238,1,0,20,6,0,0,3,14,1,0,6,4,3,9,9,1,6,259,21,25,9,7
E00007974,0.72934666895729094,193,130,6,0,15,2,0,1,2,1,0,0,0,19,10,2,5,0,0,151,17,20,5,0
E00007979,0.204631666063151,299,233,5,0,23,0,1,2,2,3,3,0,4,13,3,2,2,0,3,261,7,23,5,3
E00007981,5.4168151592120503E-2,352,283,7,0,24,2,3,5,0,8,0,0,11,2,4,0,1,0,2,314,5,21,10,2
E00007982,5.7071119732539498E-2,268,198,7,0,16,1,3,6,0,8,0,0,13,6,4,3,0,1,2,221,7,27,10,3
E00007993,0.99999999999974098,391,270,6,0,38,6,2,5,5,9,0,0,9,6,13,7,0,0,15,314,20,24,18,15
E00007996,7.0510742552638797E-2,302,224,6,0,22,1,0,2,3,3,0,0,10,17,4,2,3,0,5,252,9,30,6,5
E00007997,0.78750749450040602,219,152,6,0,10,6,1,1,5,1,0,0,4,5,18,0,8,2,0,168,26,10,13,2
E00007998,0.29559489166588898,279,241,1,0,11,4,0,3,1,0,0,0,2,5,4,6,1,0,0,253,11,7,8,0
E00008003,1.8283969416637E-2,270,221,6,0,9,5,1,3,1,12,0,1,7,1,1,0,0,1,1,236,1,21,10,2
E00008006,0.32980022684511201,294,225,7,0,18,1,1,6,3,0,5,0,7,9,5,3,2,0,2,250,10,21,11,2
E00008020,4.7073735294022402E-2,315,255,2,0,30,2,0,0,1,11,0,0,3,3,2,0,1,0,5,287,3,17,3,5
