health..oa_id,health..proportion_of_oa_within_co_m_boundary,health..total_persons,health..very_good_health,health..good_health,health..fair_health,health..bad_health,health..very_bad_health
E00002041,0.27013408054656601,380,187,117,47,18,11
E00002045,2.5556198464311199E-2,313,147,99,44,21,2
E00002048,0.17993610700226201,334,166,119,29,17,3
E00002050,0.13557931037425799,267,123,82,44,16,2
E00002275,0.94793409744760104,423,249,123,34,13,4
E00002276,0.95343047928792701,155,76,57,14,7,1
E00002277,0.98608869685798495,347,202,97,31,15,2
E00002279,0.99999999999268796,400,226,124,35,10,5
E00002280,0.945252340877062,382,201,106,59,9,7
E00002282,0.999522668340184,284,154,97,23,9,1
E00002283,0.99999999999770395,267,134,91,27,12,3
E00002284,0.99999999999759304,391,220,135,31,3,2
E00002285,0.99999999999936695,391,234,127,24,3,3
E00002286,1.0000000000023801,322,220,81,13,7,1
E00002287,1.0000000000006799,316,184,99,24,9,0
E00002288,0.99999999999925404,433,246,112,45,21,9
E00002289,1.0000000000079099,376,212,114,29,15,6
E00002290,1.0000000000051501,293,171,91,20,10,1
E00002291,1.00000000000189,374,205,131,27,7,4
E00002292,0.99999999994675703,260,114,89,34,20,3
E00002293,1.0000000000001701,407,241,114,32,15,5
E00002294,0.98704667924065403,294,168,94,22,5,5
E00002295,0.98225025723224502,226,83,85,38,16,4
E00002296,1.8422753525990002E-2,436,259,125,43,6,3
E00002298,0.92377487398705005,333,157,120,40,14,2
E00003837,1.4384392874010599E-2,273,109,92,53,17,2
E00007793,0.99999999997422995,375,216,113,29,16,1
E00007794,1.00000000000027,434,208,169,38,16,3
E00007795,0.99999999999326605,346,177,117,38,11,3
E00007796,0.98018790597817296,353,179,124,31,11,8
E00007798,0.99999999999399702,284,134,100,37,12,1
E00007799,0.99999999999963496,298,138,95,43,13,9
E00007800,0.99999999998412203,305,138,113,31,21,2
E00007801,0.99999999992509203,316,137,109,47,11,12
E00007802,0.99999999999752098,335,167,102,41,19,6
E00007803,0.99999999990494304,424,232,125,49,16,2
E00007804,0.99999999999927403,264,134,85,29,11,5
E00007805,1.00000000002246,326,175,101,43,5,2
E00007806,0.99999999999935096,294,145,102,32,12,3
E00007807,1.00000000000083,287,130,91,47,15,4
E00007808,0.99999999998851596,369,205,119,33,12,0
E00007809,1.0000000000001901,342,164,127,38,10,3
E00007810,0.99999999999919498,256,111,104,29,9,3
E00007811,0.93288294254375403,310,136,104,47,19,4
E00007812,0.99996753120271098,340,149,123,53,10,5
E00007813,1.0000000000297999,424,220,136,52,10,6
E00007814,0.99999999862709599,354,188,120,30,12,4
E00007815,1.00000000001141,216,91,60,45,13,7
E00007816,0.13542679008992201,213,78,70,43,18,4
E00007817,1.0000000000037399,378,205,129,34,7,3
E00007818,1.0000000000006899,316,153,100,44,14,5
E00007819,0.999999999991807,306,127,120,40,15,4
E00007820,8.8474841682093394E-2,408,191,127,60,21,9
E00007821,0.99999999998066602,392,226,111,29,22,4
E00007822,0.99999999999992195,324,185,79,42,16,2
E00007823,1.00000000000109,356,172,110,47,16,11
E00007824,0.999999999844566,319,135,120,39,20,5
E00007825,1.0000000001554099,493,244,151,57,36,5
E00007826,0.99999999996551503,316,123,112,50,18,13
E00007827,0.99999999999839995,307,153,104,31,12,7
E00007828,1.00000000000305,356,174,126,38,15,3
E00007829,0.99999999995927802,299,146,88,47,13,5
E00007830,1.0000000000176299,329,141,101,50,29,8
E00007831,0.99999999999656097,309,166,80,43,14,6
E00007832,1.0000000000040501,272,129,85,36,14,8
E00007833,1.0000000000226601,340,173,95,42,24,6
E00007834,0.99999999998920397,319,123,104,38,47,7
E00007835,1.0000000000083999,350,146,134,41,22,7
E00007836,1.0000000000024301,274,140,82,35,12,5
E00007837,1.0000000000001701,339,177,91,48,17,6
E00007838,0.99999999998231803,301,150,101,32,14,4
E00007934,0.43237914902080898,239,93,88,40,15,3
E00007935,0.21744189174534001,321,161,103,40,13,4
E00007974,0.72934666895729094,193,64,52,42,24,11
E00007979,0.204631666063151,299,122,139,29,9,0
E00007981,5.4168151592120503E-2,352,216,100,27,6,3
E00007982,5.7071119732539498E-2,268,113,94,43,17,1
E00007993,0.99999999999974098,391,227,114,34,12,4
E00007996,7.0510742552638797E-2,302,133,112,35,16,6
E00007997,0.78750749450040602,219,90,73,37,15,4
E00007998,0.29559489166588898,279,114,101,38,17,9
E00008003,1.8283969416637E-2,270,122,102,29,11,6
E00008006,0.32980022684511201,294,131,98,48,16,1
E00008020,4.7073735294022402E-2,315,132,131,41,8,3
E00008025,0.22948849708465599,223,139,68,13,2,1
E00008027,0.97310897350084002,198,79,78,31,10,0
E00008042,1.8581816465979301E-2,252,119,100,27,4,2
E00008058,4.2151754831135799E-2,270,124,97,36,12,1
E00008059,1.00000000000338,387,174,139,42,22,10
E00008064,0.99999999999717903,315,111,127,57,16,4
E00008068,0.99999999999905098,346,122,137,49,30,8
E00008069,0.93829869369832997,606,380,182,30,10,4
E00008071,1.0000000000143601,309,138,106,39,22,4
E00008072,0.99999679498354899,329,156,107,45,16,5
E00008074,0.999999999997355,373,163,119,62,23,6
E00008078,1.00000000007691,296,106,113,50,17,10
E00008079,1.0000000000015401,397,210,119,48,12,8
E00008080,1.0000000000096101,308,124,122,45,14,3
E00008082,1.0000000000364699,284,122,92,44,18,8
