house..oa_id,house..proportion_of_oa_within_co_m_boundary,house..total_households,house..one_person_household_65,house..one_person_household_64,house..couple_no_dependent_children,house..couple_dependent_children,house..lone_parent_dependent_children,house..other_household_no_dependent_children,house..other_household_dependent_children
E00002041,0.27013408054656601,143,9,43,18,21,27,17,8
E00002045,2.5556198464311199E-2,132,34,21,29,21,15,8,4
E00002048,0.17993610700226201,130,16,17,35,20,16,20,6
E00002050,0.13557931037425799,118,5,28,43,21,10,8,3
E00002275,0.94793409744760104,127,7,7,36,27,20,13,17
E00002276,0.95343047928792701,60,2,19,9,8,10,9,3
E00002277,0.98608869685798495,120,4,30,12,22,31,11,10
E00002279,0.99999999999268796,144,6,25,38,30,18,16,11
E00002280,0.945252340877062,122,3,10,28,29,18,25,9
E00002282,0.999522668340184,90,2,15,17,23,20,5,8
E00002283,0.99999999999770395,106,10,23,17,22,14,12,8
E00002284,0.99999999999759304,126,3,17,26,39,12,22,7
E00002285,0.99999999999936695,127,4,31,17,42,11,8,14
E00002286,1.0000000000023801,114,0,24,21,39,20,6,4
E00002287,1.0000000000006799,133,6,40,25,35,10,9,8
E00002288,0.99999999999925404,144,11,19,28,33,22,15,16
E00002289,1.0000000000079099,136,8,30,30,32,18,10,8
E00002290,1.0000000000051501,118,5,30,27,25,14,10,7
E00002291,1.00000000000189,134,2,31,26,34,23,10,8
E00002292,0.99999999994675703,128,17,44,25,14,11,12,5
E00002293,1.0000000000001701,136,5,25,23,40,12,17,14
E00002294,0.98704667924065403,119,3,28,23,25,23,11,6
E00002295,0.98225025723224502,134,17,59,8,11,27,9,3
E00002296,1.8422753525990002E-2,128,6,17,30,30,16,13,16
E00002298,0.92377487398705005,154,8,53,24,12,32,11,14
E00003837,1.4384392874010599E-2,117,13,37,31,17,5,12,2
E00007793,0.99999999997422995,118,9,16,29,28,13,6,17
E00007794,1.00000000000027,139,7,11,40,35,21,15,10
E00007795,0.99999999999326605,141,14,33,25,24,23,14,8
E00007796,0.98018790597817296,125,2,27,24,33,14,12,13
E00007798,0.99999999999399702,117,18,23,16,24,24,6,6
E00007799,0.99999999999963496,120,16,32,14,28,17,5,8
E00007800,0.99999999998412203,111,12,21,21,20,18,14,5
E00007801,0.99999999992509203,128,8,34,30,22,13,18,3
E00007802,0.99999999999752098,128,17,25,26,25,11,15,9
E00007803,0.99999999990494304,137,6,14,38,36,23,11,9
E00007804,0.99999999999927403,112,14,27,24,18,14,8,7
E00007805,1.00000000002246,123,12,22,24,30,20,7,8
E00007806,0.99999999999935096,114,5,20,33,31,8,14,3
E00007807,1.00000000000083,127,9,39,24,15,16,15,9
E00007808,0.99999999998851596,132,6,26,33,26,9,22,10
E00007809,1.0000000000001901,112,7,8,38,22,18,9,10
E00007810,0.99999999999919498,107,9,20,30,18,18,6,6
E00007811,0.93288294254375403,130,22,24,17,19,24,12,12
E00007812,0.99996753120271098,118,14,20,30,24,9,6,15
E00007813,1.0000000000297999,160,16,22,39,30,20,20,13
E00007814,0.99999999862709599,124,8,19,33,27,9,19,9
E00007815,1.00000000001141,105,8,40,10,13,16,13,5
E00007816,0.13542679008992201,115,11,47,11,16,22,8,0
E00007817,1.0000000000037399,131,9,11,51,32,11,13,4
E00007818,1.0000000000006899,138,11,39,6,24,40,12,6
E00007819,0.999999999991807,141,12,55,12,29,20,9,4
E00007820,8.8474841682093394E-2,139,9,25,35,33,12,17,8
E00007821,0.99999999998066602,123,9,20,11,21,30,18,14
E00007822,0.99999999999992195,110,7,18,24,23,14,13,11
E00007823,1.00000000000109,121,13,14,23,19,24,16,12
E00007824,0.999999999844566,127,19,28,19,17,27,9,8
E00007825,1.0000000001554099,174,17,30,24,36,33,19,15
E00007826,0.99999999996551503,118,8,26,22,17,18,16,11
E00007827,0.99999999999839995,117,13,26,17,29,16,10,6
E00007828,1.00000000000305,128,10,24,20,33,18,12,11
E00007829,0.99999999995927802,114,12,20,25,22,19,10,6
E00007830,1.0000000000176299,145,16,41,25,20,23,12,8
E00007831,0.99999999999656097,109,11,19,19,23,14,15,8
E00007832,1.0000000000040501,115,8,29,11,20,29,15,3
E00007833,1.0000000000226601,139,15,45,17,17,22,11,12
E00007834,0.99999999998920397,127,17,44,15,23,22,5,1
E00007835,1.0000000000083999,134,18,20,34,27,15,14,6
E00007836,1.0000000000024301,107,14,22,10,18,20,16,7
E00007837,1.0000000000001701,120,11,22,16,28,19,12,12
E00007838,0.99999999998231803,122,13,26,23,19,22,9,10
E00007934,0.43237914902080898,97,21,21,21,19,2,10,3
E00007935,0.21744189174534001,118,12,7,50,27,5,14,3
E00007974,0.72934666895729094,131,20,77,8,7,6,10,3
E00007979,0.204631666063151,131,20,29,33,29,7,11,2
E00007981,5.4168151592120503E-2,127,11,19,34,51,1,11,0
E00007982,5.7071119732539498E-2,111,7,13,44,22,7,15,3
E00007993,0.99999999999974098,144,13,16,48,42,4,17,4
E00007996,7.0510742552638797E-2,131,18,23,40,23,10,15,2
E00007997,0.78750749450040602,122,24,46,19,13,7,11,2
E00007998,0.29559489166588898,113,19,10,31,25,8,15,5
E00008003,1.8283969416637E-2,115,15,12,35,24,11,12,6
E00008006,0.32980022684511201,114,21,9,34,21,12,12,5
E00008020,4.7073735294022402E-2,132,23,18,45,27,3,11,5
E00008025,0.22948849708465599,95,12,21,27,16,5,11,3
E00008027,0.97310897350084002,128,9,78,21,7,4,8,1
