pop..lsoa_id,pop..proportion_of_lsoa_within_co_m_boundary,pop..total_persons,pop..male_persons,pop..female_persons,pop..x0_4_years,pop..x5_11_years,pop..x12_17_years,pop..x18_29_years,pop..x30_39_years,pop..x40_59_years,pop..x60_74_years,pop..x75_years
E01000416,8.9490860170143793E-2,1748,859,889,84,167,180,299,228,484,230,76
E01000417,2.6339053352581802E-2,1824,869,955,103,150,120,244,290,519,250,148
E01000422,8.1197738105891704E-2,1536,771,765,98,192,150,252,232,404,151,57
E01000466,5.00350218993552E-2,1970,975,995,134,248,193,326,255,535,224,55
E01000467,0.99859131580067895,1987,933,1054,116,244,190,270,239,580,183,165
E01000468,0.98491439852683205,3239,1583,1656,213,413,417,498,451,1025,180,42
E01000469,0.99942559321740598,1885,934,951,117,199,164,247,279,576,256,47
E01000470,0.97222300200270195,1364,632,732,89,198,119,232,192,350,138,46
E01000779,1.0162937211148E-2,1296,613,683,62,104,69,136,170,378,230,147
E01001571,1,1791,922,869,113,203,132,296,265,530,198,54
E01001572,1,1933,967,966,156,203,141,260,289,589,205,90
E01001573,0.99996410104393596,1532,808,724,91,161,120,222,215,434,227,62
E01001574,0.16629570027197099,2073,1039,1034,187,265,173,270,326,564,209,79
E01001575,1,1638,787,851,123,207,194,248,216,449,158,43
E01001576,1,1839,912,927,131,261,190,220,259,476,194,108
E01001577,1,2085,1038,1047,202,256,212,290,246,578,204,97
E01001578,1,2378,1202,1176,184,267,188,302,473,672,227,65
E01001579,1,1637,790,847,132,189,170,203,242,450,161,90
E01001597,7.3627154657661106E-2,1570,811,759,78,157,111,204,179,440,257,144
E01001604,0.108290548222699,1529,783,746,88,156,95,176,224,461,222,107
E01001607,3.0219652634505999E-2,1573,742,831,115,126,100,184,222,438,279,109
E01001609,7.9989144030243806E-2,1701,865,836,97,133,120,184,231,462,300,174
E01001611,0.46647935902115001,1698,853,845,115,155,109,157,234,512,240,176
E01001615,0.28440472129411298,1862,942,920,135,125,78,344,336,496,211,137
E01001620,1,1571,787,784,96,192,156,238,183,440,170,96
E01001621,0.99999748992664095,1653,806,847,92,144,124,194,238,494,278,89
E01001623,0.95632413803845495,1819,912,907,159,164,133,262,298,552,180,71
E01001624,0.98605856181493001,1555,759,796,110,137,97,161,208,484,253,105
E01001625,1,1658,785,873,118,161,157,210,244,431,206,131
E01001645,9.8602418650339502E-2,1746,874,872,91,174,146,205,240,527,247,116
E01001648,0.22487982900241499,1783,931,852,122,159,113,241,311,526,225,86
E01001649,0.80288357182973502,1548,768,780,93,165,119,220,223,475,178,75
E01001653,0.88122779598982903,1602,765,837,98,214,155,186,250,430,192,77
E01001654,0.99613560443349702,1702,837,865,113,189,148,197,302,446,199,108
E01001655,0.92181523694590495,1675,874,801,130,178,136,228,304,482,166,51
E01001659,4.8962016380566901E-2,1450,765,685,76,107,127,221,208,385,208,118
E01001660,0.95924763985036199,1620,754,866,106,154,177,206,218,472,209,78
E01001661,0.98158715691429299,1642,782,860,96,189,166,210,234,438,209,100
E01001672,1.7535317837954301E-2,1973,1049,924,152,189,142,270,381,596,167,76
E01001674,0.38900252496853299,2161,1089,1072,162,246,166,276,362,598,242,109
E01001676,0.37826497122512598,1899,995,904,170,210,155,284,299,553,145,83
E01001688,0.99902885295492005,2841,1382,1459,237,402,271,413,391,911,179,37
E01001690,1,2129,1081,1048,152,197,186,322,365,587,255,65
E01001692,1,1537,791,746,86,194,151,210,214,480,167,35
E01001693,1,1815,948,867,139,247,167,239,239,596,163,25
E01001694,1,1946,992,954,119,205,198,284,257,636,187,60
E01003269,0.13594001147026499,1660,782,878,140,136,89,214,279,479,236,87
E01003271,3.9046501402902202E-2,1688,899,789,93,148,99,163,264,502,279,140
E01033726,0.26213517159898297,4232,1867,2365,405,447,300,596,812,1012,407,253
E01033743,0.379691926136147,2330,1180,1150,168,282,257,340,319,769,158,37
E01033745,0.64582677812945499,1987,1033,954,157,272,212,226,284,660,146,30
