rel..oa_id,rel..proportion_of_oa_within_co_m_boundary,rel..total_persons,rel..christian,rel..buddhist,rel..hindu,rel..jewish,rel..muslim,rel..sikh,rel..other_religion,rel..no_religion,rel..religion_not_stated
E00002041,0.27013408054656601,380,222,12,19,1,22,9,1,72,22
E00002045,2.5556198464311199E-2,313,195,1,15,0,22,6,0,51,23
E00002048,0.17993610700226201,334,192,1,18,1,19,9,2,78,14
E00002050,0.13557931037425799,267,155,2,0,0,16,15,5,54,20
E00002275,0.94793409744760104,423,279,9,0,1,13,0,1,102,18
E00002276,0.95343047928792701,155,72,1,0,0,21,0,1,47,13
E00002277,0.98608869685798495,347,189,6,0,0,16,5,2,117,12
E00002279,0.99999999999268796,400,261,6,8,0,31,0,2,63,29
E00002280,0.945252340877062,382,231,9,4,0,15,0,1,98,24
E00002282,0.999522668340184,284,184,1,2,0,6,0,1,79,11
E00002283,0.99999999999770395,267,173,0,0,0,19,0,1,60,14
E00002284,0.99999999999759304,391,285,2,0,0,21,6,0,63,14
E00002285,0.99999999999936695,391,249,8,8,0,29,1,1,75,20
E00002286,1.0000000000023801,322,227,0,4,0,14,0,1,46,30
E00002287,1.0000000000006799,316,188,1,11,0,31,0,1,60,24
E00002288,0.99999999999925404,433,286,2,22,0,25,1,1,71,25
E00002289,1.0000000000079099,376,252,8,3,0,17,0,2,74,20
E00002290,1.0000000000051501,293,213,0,8,0,13,0,0,34,25
E00002291,1.00000000000189,374,217,1,0,0,39,0,1,91,25
E00002292,0.99999999994675703,260,168,9,0,0,11,1,1,57,13
E00002293,1.0000000000001701,407,268,1,0,0,33,0,0,85,20
E00002294,0.98704667924065403,294,192,8,3,0,9,0,5,52,25
E00002295,0.98225025723224502,226,112,2,1,0,10,0,0,83,18
E00002296,1.8422753525990002E-2,436,264,5,22,0,20,23,0,67,35
E00002298,0.92377487398705005,333,176,2,3,0,24,1,1,101,25
E00003837,1.4384392874010599E-2,273,173,0,5,1,4,0,0,66,24
E00007793,0.99999999997422995,375,206,6,27,0,31,3,3,80,19
E00007794,1.00000000000027,434,254,9,27,0,48,17,1,52,26
E00007795,0.99999999999326605,346,182,2,24,0,11,17,2,89,19
E00007796,0.98018790597817296,353,192,9,20,0,17,0,5,74,36
E00007798,0.99999999999399702,284,183,0,3,0,23,0,1,50,24
E00007799,0.99999999999963496,298,154,5,5,0,31,10,0,74,19
E00007800,0.99999999998412203,305,172,1,6,0,22,18,3,68,15
E00007801,0.99999999992509203,316,184,1,10,0,20,7,0,76,18
E00007802,0.99999999999752098,335,193,0,21,0,23,14,2,62,20
E00007803,0.99999999990494304,424,253,5,3,0,27,22,0,75,39
E00007804,0.99999999999927403,264,165,0,15,0,20,0,1,43,20
E00007805,1.00000000002246,326,210,0,6,1,17,1,2,62,27
E00007806,0.99999999999935096,294,160,1,13,0,2,4,1,84,29
E00007807,1.00000000000083,287,162,0,7,0,15,9,0,63,31
E00007808,0.99999999998851596,369,159,3,37,2,28,31,1,67,41
E00007809,1.0000000000001901,342,181,0,18,1,13,35,1,69,24
E00007810,0.99999999999919498,256,145,0,6,0,20,1,1,61,22
E00007811,0.93288294254375403,310,169,6,15,0,15,10,1,71,23
E00007812,0.99996753120271098,340,189,0,51,0,15,26,0,35,24
E00007813,1.0000000000297999,424,284,0,0,0,29,4,3,76,28
E00007814,0.99999999862709599,354,214,4,0,0,20,8,0,71,37
E00007815,1.00000000001141,216,123,1,0,0,17,6,2,50,17
E00007816,0.13542679008992201,213,104,0,1,1,19,0,1,69,18
E00007817,1.0000000000037399,378,244,6,13,0,17,3,0,59,36
E00007818,1.0000000000006899,316,153,2,0,0,32,0,0,110,19
E00007819,0.999999999991807,306,182,3,8,2,18,0,3,65,25
E00007820,8.8474841682093394E-2,408,240,8,14,1,29,16,1,60,39
E00007821,0.99999999998066602,392,231,0,4,0,54,0,0,75,28
E00007822,0.99999999999992195,324,207,1,0,0,13,0,1,88,14
E00007823,1.00000000000109,356,223,7,5,0,45,0,0,51,25
E00007824,0.999999999844566,319,178,0,0,0,32,12,0,67,30
E00007825,1.0000000001554099,493,299,0,5,0,36,5,3,107,38
E00007826,0.99999999996551503,316,163,0,10,2,42,2,0,70,27
E00007827,0.99999999999839995,307,204,0,2,0,29,0,2,62,8
E00007828,1.00000000000305,356,193,2,2,1,33,1,2,85,37
E00007829,0.99999999995927802,299,196,0,8,0,16,3,1,56,19
E00007830,1.0000000000176299,329,166,3,9,0,24,14,1,85,27
E00007831,0.99999999999656097,309,200,7,1,0,20,1,1,45,34
E00007832,1.0000000000040501,272,181,0,0,0,13,4,4,58,12
E00007833,1.0000000000226601,340,198,6,0,0,18,1,3,83,31
E00007834,0.99999999998920397,319,203,0,5,0,48,0,2,46,15
E00007835,1.0000000000083999,350,231,3,0,0,13,14,0,59,30
E00007836,1.0000000000024301,274,185,0,10,0,15,0,2,43,19
E00007837,1.0000000000001701,339,188,14,2,0,34,0,2,81,18
E00007838,0.99999999998231803,301,184,6,5,0,18,9,0,59,20
E00007934,0.43237914902080898,239,142,1,2,0,27,4,0,53,10
E00007935,0.21744189174534001,321,209,0,19,2,9,0,0,70,12
E00007974,0.72934666895729094,193,88,3,9,2,5,0,0,74,12
E00007979,0.204631666063151,299,163,9,7,2,3,0,2,93,20
E00007981,5.4168151592120503E-2,352,199,4,3,0,0,5,2,98,41
E00007982,5.7071119732539498E-2,268,151,2,6,0,8,0,2,81,18
E00007993,0.99999999999974098,391,233,4,3,0,10,13,0,93,35
E00007996,7.0510742552638797E-2,302,169,6,7,0,4,1,0,86,29
E00007997,0.78750749450040602,219,114,5,1,0,4,0,0,62,33
E00007998,0.29559489166588898,279,168,3,0,1,2,0,3,74,28
E00008003,1.8283969416637E-2,270,145,1,12,0,4,0,5,82,21
E00008006,0.32980022684511201,294,167,4,0,0,7,0,1,90,25
E00008020,4.7073735294022402E-2,315,199,2,8,1,3,3,0,80,19
E00008025,0.22948849708465599,223,106,2,7,2,5,3,0,81,17
E00008027,0.97310897350084002,198,100,0,0,1,8,0,2,66,21
E00008042,1.8581816465979301E-2,252,137,2,0,0,13,7,2,77,14
E00008058,4.2151754831135799E-2,270,143,4,10,0,15,0,1,72,25
E00008059,1.00000000000338,387,206,1,10,3,36,2,1,109,19
E00008064,0.99999999999717903,315,155,0,6,2,32,4,0,88,28
E00008068,0.99999999999905098,346,176,1,4,0,16,0,1,127,21
E00008069,0.93829869369832997,606,289,0,25,2,49,1,4,189,47
E00008071,1.0000000000143601,309,211,0,0,2,12,0,1,63,20
E00008072,0.99999679498354899,329,167,4,0,1,10,0,3,119,25
E00008074,0.999999999997355,373,202,1,4,0,18,0,0,130,18
E00008078,1.00000000007691,296,168,0,5,0,14,1,0,81,27
E00008079,1.0000000000015401,397,220,0,3,0,29,0,2,98,45
E00008080,1.0000000000096101,308,171,0,0,1,16,0,1,88,31
E00008082,1.0000000000364699,284,155,1,7,1,14,7,2,80,17
E00008083,1.0000000000047,410,220,2,8,0,34,0,0,114,32
E00008084,1.0000000000309399,373,225,7,10,2,23,0,0,74,32
E00008085,1.0000000000387601,265,155,4,5,1,0,2,2,76,20
E00008086,1.00000000007778,401,217,10,16,0,31,0,3,107,17
E00008087,0.54724765794627095,573,293,23,14,0,60,0,1,140,42
E00008088,0.99999999999572498,366,230,7,2,0,1,2,2,100,22
E00008089,1.00000000001112,407,255,7,8,1,7,1,1,114,13
E00008090,0.99999999996703504,206,113,2,0,0,3,0,0,64,24
E00008091,1.00000000002033,325,191,0,0,0,3,0,0,98,33
