ethn..oa_id,ethn..proportion_of_oa_within_co_m_boundary,ethn..total_persons,ethn..white_english_welsh_scottish_northern_irish_british,ethn..white_irish,ethn..white_gypsy_or_irish_traveller,ethn..white_other_white,ethn..mixed_multiple_ethnic_group_white_and_black_caribbean,ethn..mixed_multiple_ethnic_group_white_and_black_african,ethn..mixed_multiple_ethnic_group_white_and_asian,ethn..mixed_multiple_ethnic_group_other_mixed,ethn..asian_asian_british_indian,ethn..asian_asian_british_pakistani,ethn..asian_asian_british_bangladeshi,ethn..asian_asian_british_chinese,ethn..asian_asian_british_other_asian,ethn..black_african_caribbean_black_british_african,ethn..black_african_caribbean_black_british_caribbean,ethn..black_african_caribbean_black_british_other_black,ethn..other_ethnic_group_arab,ethn..other_ethnic_group_any_other_ethnic_group,ethn..white_or_white_british,ethn..black_or_black_british,ethn..asian_or_asian_british,ethn..mixed_multiple_ethnicity,ethn..other_ethnicity
W00007118,0.17292664586794601,297,295,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,296,0,1,0,0
W00007502,0.163509134690177,344,336,0,0,2,5,0,0,1,0,0,0,0,0,0,0,0,0,0,338,0,0,6,0
W00007503,0.99999999999876499,259,253,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,1,253,0,0,5,1
W00007504,1.0000000000086799,279,277,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,278,0,0,1,0
W00007505,0.99999999997900801,217,195,0,0,13,0,0,1,0,1,0,0,2,5,0,0,0,0,0,208,0,8,1,0
W00007506,1.0000000000012099,341,321,1,0,12,4,0,1,2,0,0,0,0,0,0,0,0,0,0,334,0,0,7,0
W00007507,0.99999999999481604,317,311,1,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,312,1,0,4,0
W00007508,1.0000000000017899,261,259,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261,0,0,0,0
W00007509,6.2275316308396E-2,320,315,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,319,0,1,0,0
W00007510,0.999999999995276,320,316,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,318,0,0,2,0
W00007511,0.99999999999800204,274,271,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,273,0,1,0,0
W00007512,0.99999999999769495,308,301,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,307,0,0,1,0
W00007513,0.99999999999787403,288,280,0,0,0,0,0,1,1,1,1,0,1,3,0,0,0,0,0,280,0,6,2,0
W00007514,0.999999999804983,348,343,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,348,0,0,0,0
W00007515,0.99999999998212397,259,247,0,0,3,0,0,0,0,4,0,0,5,0,0,0,0,0,0,250,0,9,0,0
W00007516,0.68626305005685595,281,276,0,0,1,0,0,1,0,2,0,0,1,0,0,0,0,0,0,277,0,3,1,0
W00007540,1.0000000000021201,283,282,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283,0,0,0,0
W00007541,0.98837795418310903,258,257,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,257,0,0,1,0
W00007542,0.332797968703895,278,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278,0,0,0,0
W00007543,0.99999999999923705,267,265,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267,0,0,0,0
W00007544,0.99999999999927203,242,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242,0,0,0,0
W00007545,0.99999999999691502,147,138,0,3,0,0,0,0,0,2,2,0,0,0,1,0,0,0,1,141,1,4,0,1
W00007546,0.34440613841835199,276,273,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276,0,0,0,0
W00007547,0.147129603691663,517,510,0,0,1,3,0,0,2,0,0,0,0,0,0,0,0,0,1,511,0,0,5,1
W00007548,1.0000000000048099,321,312,1,0,3,0,1,2,0,0,0,0,2,0,0,0,0,0,0,316,0,2,3,0
W00007549,0.19498267729645899,285,273,0,0,4,0,0,3,2,0,1,0,0,0,0,2,0,0,0,277,2,1,5,0
W00007550,0.36997352183141102,366,363,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,363,0,1,2,0
W00007551,0.99999999999983502,317,299,1,0,1,5,0,5,0,2,2,0,0,1,1,0,0,0,0,301,1,5,10,0
W00007552,0.39115871751532899,297,287,3,0,1,1,0,0,1,0,0,0,4,0,0,0,0,0,0,291,0,4,2,0
W00007553,1.00000000000145,284,268,3,1,4,3,0,1,0,0,0,0,3,1,0,0,0,0,0,276,0,4,4,0
W00007554,0.99999999999962497,323,317,2,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,320,0,0,3,0
W00007555,0.96728217271512495,347,332,5,4,1,3,0,0,0,0,0,0,1,1,0,0,0,0,0,342,0,2,3,0
W00007590,0.20628882511792099,362,347,0,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,361,0,0,1,0
W00007591,1.0000000000001299,238,233,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,235,0,0,3,0
W00007592,1.0000000000031799,257,256,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257,0,0,0,0
W00007593,0.999999999998605,314,296,0,0,10,0,1,0,3,0,0,0,2,1,0,0,1,0,0,306,1,3,4,0
W00007594,1.00000000000754,348,344,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,345,1,2,0,0
W00007595,1.00000000000024,349,341,0,0,4,1,1,0,0,0,0,0,0,1,0,0,0,1,0,345,0,1,2,1
W00007596,0.99999999999917899,349,342,0,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,347,0,0,2,0
W00007597,0.99999999999920197,230,225,1,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,226,0,3,1,0
W00007598,0.98821798189694399,377,371,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,1,373,0,0,3,1
W00007599,1.0000000000032601,254,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,0,0,0,0
W00007600,0.19903056435350699,285,281,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,283,0,0,2,0
W00007601,1,277,274,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,274,0,1,1,1
W00007602,0.79236405703055801,252,244,0,0,3,0,1,0,0,1,3,0,0,0,0,0,0,0,0,247,0,4,1,0
W00007603,0.99999999999960398,272,271,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,271,0,0,1,0
W00007604,0.73314729630523001,251,245,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,245,0,1,5,0
W00007605,1.0000000000114799,288,278,0,0,1,0,0,2,2,3,0,0,0,2,0,0,0,0,0,279,0,5,4,0
W00007648,0.94809488981009005,252,239,0,0,4,5,0,0,0,0,0,0,0,0,0,4,0,0,0,243,4,0,5,0
W00007649,0.99404475304979201,315,309,0,0,0,0,0,3,0,0,0,0,0,1,0,2,0,0,0,309,2,1,3,0
W00007650,0.99999999999963196,285,270,1,0,10,0,0,0,1,0,0,0,3,0,0,0,0,0,0,281,0,3,1,0
W00007656,0.25690694000617798,263,254,0,0,4,0,1,0,0,1,0,0,0,0,0,1,1,1,0,258,2,1,1,1
W00007657,0.999999999996531,249,246,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,247,0,0,1,1
W00007658,0.286837162509824,281,280,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,280,0,1,0,0
W00007659,0.99999999999751399,250,246,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,249,0,0,1,0
W00007660,1.00000000002256,257,253,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,256,0,0,1,0
W00007661,0.45887147926731697,323,320,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,322,1,0,0,0
W00007662,1.00000000000027,270,261,2,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,268,0,0,2,0
W00007663,1.00000000000003,253,249,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,251,1,0,1,0
W00007664,1.00000000000109,255,254,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0
W00007668,3.9325231825646699E-2,351,340,0,1,4,1,0,3,0,0,0,1,0,1,0,0,0,0,0,345,0,2,4,0
W00007670,4.2540715434838297E-2,331,315,1,8,4,1,0,1,1,0,0,0,0,0,0,0,0,0,0,328,0,0,3,0
W00007710,0.200361437791029,278,265,0,6,2,0,0,2,1,0,0,0,1,1,0,0,0,0,0,273,0,2,3,0
W00007711,0.99999999999510403,233,225,1,0,3,1,0,1,1,0,0,0,0,0,0,1,0,0,0,229,1,0,3,0
W00007712,1.0000000000001299,229,213,0,0,11,0,1,0,1,0,0,0,1,0,2,0,0,0,0,224,2,1,2,0
W00007713,0.425063193366645,299,283,0,0,2,0,3,2,1,5,0,0,1,1,1,0,0,0,0,285,1,7,6,0
W00007714,0.18487373993818501,257,255,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,256,0,0,1,0
W00007715,1.00000000000167,299,286,2,0,6,1,0,0,0,1,0,0,0,3,0,0,0,0,0,294,0,4,1,0
W00007716,0.99999999999977296,288,285,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,286,0,1,1,0
W00007717,1.0000000000121401,312,297,2,0,3,2,1,0,0,6,0,0,0,1,0,0,0,0,0,302,0,7,3,0
W00007718,1.0000000000004701,287,273,1,0,8,0,5,0,0,0,0,0,0,0,0,0,0,0,0,282,0,0,5,0
