health..oa_id,health..proportion_of_oa_within_co_m_boundary,health..total_persons,health..very_good_health,health..good_health,health..fair_health,health..bad_health,health..very_bad_health
W00007118,0.17292664586794601,297,101,102,62,20,12
W00007502,0.163509134690177,344,172,86,54,24,8
W00007503,0.99999999999876499,259,70,79,57,46,7
W00007504,1.0000000000086799,279,123,87,45,18,6
W00007505,0.99999999997900801,217,82,61,48,22,4
W00007506,1.0000000000012099,341,148,112,45,29,7
W00007507,0.99999999999481604,317,128,111,48,22,8
W00007508,1.0000000000017899,261,95,94,50,19,3
W00007509,6.2275316308396E-2,320,143,101,49,18,9
W00007510,0.999999999995276,320,152,91,48,26,3
W00007511,0.99999999999800204,274,101,103,50,12,8
W00007512,0.99999999999769495,308,141,100,45,19,3
W00007513,0.99999999999787403,288,118,104,45,13,8
W00007514,0.999999999804983,348,178,85,55,22,8
W00007515,0.99999999998212397,259,104,76,50,27,2
W00007516,0.68626305005685595,281,104,97,52,21,7
W00007540,1.0000000000021201,283,87,105,53,27,11
W00007541,0.98837795418310903,258,117,57,55,21,8
W00007542,0.332797968703895,278,92,83,65,31,7
W00007543,0.99999999999923705,267,105,91,51,13,7
W00007544,0.99999999999927203,242,75,87,54,21,5
W00007545,0.99999999999691502,147,35,37,42,23,10
W00007546,0.34440613841835199,276,111,90,54,14,7
W00007547,0.147129603691663,517,260,151,76,25,5
W00007548,1.0000000000048099,321,127,108,61,20,5
W00007549,0.19498267729645899,285,103,84,59,36,3
W00007550,0.36997352183141102,366,172,118,48,24,4
W00007551,0.99999999999983502,317,151,99,49,13,5
W00007552,0.39115871751532899,297,129,96,42,23,7
W00007553,1.00000000000145,284,138,86,40,17,3
W00007554,0.99999999999962497,323,130,101,55,22,15
W00007555,0.96728217271512495,347,130,98,68,36,15
W00007590,0.20628882511792099,362,181,113,45,15,8
W00007591,1.0000000000001299,238,69,68,54,39,8
W00007592,1.0000000000031799,257,104,63,54,23,13
W00007593,0.999999999998605,314,143,95,49,21,6
W00007594,1.00000000000754,348,143,118,57,19,11
W00007595,1.00000000000024,349,138,114,65,22,10
W00007596,0.99999999999917899,349,169,114,36,24,6
W00007597,0.99999999999920197,230,57,71,70,22,10
W00007598,0.98821798189694399,377,148,119,65,35,10
W00007599,1.0000000000032601,254,104,65,50,24,11
W00007600,0.19903056435350699,285,125,91,46,18,5
W00007601,1,277,109,86,43,28,11
W00007602,0.79236405703055801,252,102,87,38,22,3
W00007603,0.99999999999960398,272,81,81,59,40,11
W00007604,0.73314729630523001,251,72,80,53,32,14
W00007605,1.0000000000114799,288,110,78,54,36,10
W00007648,0.94809488981009005,252,97,78,46,24,7
W00007649,0.99404475304979201,315,118,99,53,29,16
W00007650,0.99999999999963196,285,111,85,53,28,8
W00007656,0.25690694000617798,263,98,98,40,21,6
W00007657,0.999999999996531,249,99,83,43,20,4
W00007658,0.286837162509824,281,115,89,34,27,16
W00007659,0.99999999999751399,250,79,72,55,29,15
W00007660,1.00000000002256,257,92,84,54,23,4
W00007661,0.45887147926731697,323,136,99,55,23,10
W00007662,1.00000000000027,270,117,90,27,28,8
W00007663,1.00000000000003,253,111,65,42,26,9
W00007664,1.00000000000109,255,77,86,48,29,15
W00007668,3.9325231825646699E-2,351,167,117,44,16,7
W00007670,4.2540715434838297E-2,331,138,103,52,30,8
W00007710,0.200361437791029,278,96,108,49,20,5
W00007711,0.99999999999510403,233,91,62,40,28,12
W00007712,1.0000000000001299,229,87,69,34,35,4
W00007713,0.425063193366645,299,120,103,51,20,5
W00007714,0.18487373993818501,257,111,82,44,16,4
W00007715,1.00000000000167,299,117,84,52,38,8
W00007716,0.99999999999977296,288,112,82,56,34,4
W00007717,1.0000000000121401,312,148,98,47,15,4
W00007718,1.0000000000004701,287,141,90,35,16,5
