house..oa_id,house..proportion_of_oa_within_co_m_boundary,house..total_households,house..one_person_household_65,house..one_person_household_64,house..couple_no_dependent_children,house..couple_dependent_children,house..lone_parent_dependent_children,house..other_household_no_dependent_children,house..other_household_dependent_children
W00007118,0.17292664586794601,130,15,8,68,15,7,16,1
W00007502,0.163509134690177,143,7,28,54,30,13,9,2
W00007503,0.99999999999876499,109,35,25,24,16,5,3,1
W00007504,1.0000000000086799,132,21,29,36,20,9,15,2
W00007505,0.99999999997900801,116,18,36,25,10,12,14,1
W00007506,1.0000000000012099,156,24,31,45,30,17,7,2
W00007507,0.99999999999481604,133,14,25,44,23,11,14,2
W00007508,1.0000000000017899,128,17,31,57,17,3,2,1
W00007509,6.2275316308396E-2,130,6,25,43,34,13,9,0
W00007510,0.999999999995276,133,23,14,48,27,11,5,5
W00007511,0.99999999999800204,123,16,22,42,14,14,12,3
W00007512,0.99999999999769495,125,12,18,43,27,14,7,4
W00007513,0.99999999999787403,122,13,19,40,22,17,10,1
W00007514,0.999999999804983,132,14,13,42,37,13,11,2
W00007515,0.99999999998212397,131,14,39,35,16,20,7,0
W00007516,0.68626305005685595,123,15,20,37,21,15,11,4
W00007540,1.0000000000021201,122,14,16,52,17,10,11,2
W00007541,0.98837795418310903,117,27,15,38,21,7,9,0
W00007542,0.332797968703895,122,18,14,40,17,19,11,3
W00007543,0.99999999999923705,112,15,14,36,20,13,13,1
W00007544,0.99999999999927203,119,23,26,35,16,13,5,1
W00007545,0.99999999999691502,105,32,41,17,3,7,5,0
W00007546,0.34440613841835199,126,20,22,41,21,9,11,2
W00007547,0.147129603691663,195,20,16,73,60,13,8,5
W00007548,1.0000000000048099,149,32,25,41,29,6,15,1
W00007549,0.19498267729645899,116,10,17,42,21,11,13,2
W00007550,0.36997352183141102,131,9,13,39,35,22,10,3
W00007551,0.99999999999983502,134,17,23,51,28,8,6,1
W00007552,0.39115871751532899,122,19,9,38,26,12,15,3
W00007553,1.00000000000145,117,23,12,31,25,11,8,7
W00007554,0.99999999999962497,144,27,17,43,22,19,14,2
W00007555,0.96728217271512495,144,15,34,52,23,12,7,1
W00007590,0.20628882511792099,139,8,16,56,30,8,17,4
W00007591,1.0000000000001299,127,26,34,40,10,6,9,2
W00007592,1.0000000000031799,130,40,23,24,19,16,7,1
W00007593,0.999999999998605,134,15,18,42,28,13,15,3
W00007594,1.00000000000754,129,17,19,34,33,16,7,3
W00007595,1.00000000000024,133,19,13,53,33,6,5,4
W00007596,0.99999999999917899,142,14,15,55,39,7,9,3
W00007597,0.99999999999920197,130,38,33,34,9,12,2,2
W00007598,0.98821798189694399,139,10,14,49,41,17,6,2
W00007599,1.0000000000032601,114,25,13,40,17,8,7,4
W00007600,0.19903056435350699,120,13,21,42,19,11,9,5
W00007601,1,117,21,18,30,20,14,8,6
W00007602,0.79236405703055801,113,11,25,38,19,14,6,0
W00007603,0.99999999999960398,125,25,22,44,15,3,13,3
W00007604,0.73314729630523001,123,27,24,33,15,7,12,5
W00007605,1.0000000000114799,134,22,32,29,16,21,12,2
W00007648,0.94809488981009005,129,18,37,36,15,13,9,1
W00007649,0.99404475304979201,147,30,28,46,21,9,13,0
W00007650,0.99999999999963196,134,16,30,31,21,21,14,1
W00007656,0.25690694000617798,118,12,27,39,15,12,11,2
W00007657,0.999999999996531,112,14,21,39,18,3,14,3
W00007658,0.286837162509824,116,8,22,32,26,12,14,2
W00007659,0.99999999999751399,116,20,16,44,19,7,10,0
W00007660,1.00000000002256,117,21,14,47,23,6,5,1
W00007661,0.45887147926731697,138,20,20,50,31,4,11,2
W00007662,1.00000000000027,122,19,20,37,21,15,9,1
W00007663,1.00000000000003,114,12,22,37,19,16,6,2
W00007664,1.00000000000109,122,17,23,35,11,23,12,1
W00007668,3.9325231825646699E-2,130,8,13,50,36,7,12,4
W00007670,4.2540715434838297E-2,131,10,28,34,28,17,10,4
W00007710,0.200361437791029,121,18,24,32,23,10,11,3
W00007711,0.99999999999510403,122,29,29,30,17,7,9,1
W00007712,1.0000000000001299,113,17,27,27,11,16,12,3
W00007713,0.425063193366645,131,22,23,33,31,9,11,2
W00007714,0.18487373993818501,114,11,19,51,20,2,9,2
W00007715,1.00000000000167,130,16,26,37,18,17,14,2
W00007716,0.99999999999977296,135,23,22,50,23,11,5,1
W00007717,1.0000000000121401,127,11,16,42,30,17,9,2
W00007718,1.0000000000004701,127,21,21,39,21,13,10,2
