pop..lsoa_id,pop..proportion_of_lsoa_within_co_m_boundary,pop..total_persons,pop..male_persons,pop..female_persons,pop..x0_4_years,pop..x5_11_years,pop..x12_17_years,pop..x18_29_years,pop..x30_39_years,pop..x40_59_years,pop..x60_74_years,pop..x75_years
W01001358,0.133992450226775,1529,738,791,103,134,145,194,191,356,265,141
W01001435,0.122343410320143,1423,709,714,66,101,98,233,172,393,251,109
W01001436,1.00000000000059,1337,674,663,73,105,70,185,181,326,245,152
W01001437,0.308868153982432,1502,729,773,86,109,104,215,199,398,266,125
W01001443,0.50637913622152098,1380,698,682,68,81,57,196,159,401,262,156
W01001444,0.251009621925122,1983,952,1031,100,182,153,261,272,537,298,180
W01001445,0.268286466377264,1428,704,724,94,120,96,185,213,365,237,118
W01001453,0.99377588315507603,1558,742,816,76,165,121,235,194,414,255,98
W01001454,0.24735152527325399,1358,634,724,63,118,81,183,187,362,249,115
W01001455,0.99999999999945199,1830,911,919,108,152,102,268,247,466,279,208
W01001465,0.39417302042255198,1581,789,792,83,141,90,209,234,420,277,127
W01001466,0.73234757146513096,1549,827,722,62,104,70,249,212,447,254,151
W01001469,5.1917769305393102E-2,1351,681,670,82,132,99,207,157,346,212,116
W01001476,0.24857943557409901,1009,494,515,47,72,70,159,126,268,165,102
W01001477,0.25102915277837401,1368,680,688,62,115,70,206,187,334,270,124
