rel..oa_id,rel..proportion_of_oa_within_co_m_boundary,rel..total_persons,rel..christian,rel..buddhist,rel..hindu,rel..jewish,rel..muslim,rel..sikh,rel..other_religion,rel..no_religion,rel..religion_not_stated
W00007118,0.17292664586794601,297,198,0,0,0,0,0,0,72,27
W00007502,0.163509134690177,344,177,0,0,0,0,0,1,141,25
W00007503,0.99999999999876499,259,120,0,0,0,0,0,1,103,35
W00007504,1.0000000000086799,279,125,1,0,0,0,0,0,130,23
W00007505,0.99999999997900801,217,105,3,2,0,3,0,2,91,11
W00007506,1.0000000000012099,341,130,1,0,0,0,0,1,179,30
W00007507,0.99999999999481604,317,145,1,0,0,0,0,10,136,25
W00007508,1.0000000000017899,261,142,0,0,0,0,0,1,96,22
W00007509,6.2275316308396E-2,320,135,0,0,0,1,0,1,157,26
W00007510,0.999999999995276,320,159,0,0,0,0,0,1,135,25
W00007511,0.99999999999800204,274,115,0,0,0,0,0,3,129,27
W00007512,0.99999999999769495,308,149,0,0,0,0,0,1,129,29
W00007513,0.99999999999787403,288,111,4,0,0,0,1,2,153,17
W00007514,0.999999999804983,348,162,1,0,0,0,0,0,157,28
W00007515,0.99999999998212397,259,118,0,0,0,5,0,0,123,13
W00007516,0.68626305005685595,281,115,0,2,0,0,0,2,143,19
W00007540,1.0000000000021201,283,156,2,0,0,0,0,2,106,17
W00007541,0.98837795418310903,258,139,2,0,0,1,0,0,98,18
W00007542,0.332797968703895,278,124,0,0,0,0,0,1,132,21
W00007543,0.99999999999923705,267,101,1,0,0,0,0,3,146,16
W00007544,0.99999999999927203,242,112,0,0,0,0,0,0,105,25
W00007545,0.99999999999691502,147,70,0,2,0,2,0,3,56,14
W00007546,0.34440613841835199,276,113,0,0,0,0,0,1,146,16
W00007547,0.147129603691663,517,261,3,0,1,0,0,1,218,33
W00007548,1.0000000000048099,321,173,0,0,0,0,0,2,126,20
W00007549,0.19498267729645899,285,129,0,0,0,4,0,4,130,18
W00007550,0.36997352183141102,366,168,0,0,0,0,0,1,167,30
W00007551,0.99999999999983502,317,165,0,4,0,0,0,0,124,24
W00007552,0.39115871751532899,297,124,0,0,0,0,0,2,149,22
W00007553,1.00000000000145,284,135,1,0,0,0,0,0,129,19
W00007554,0.99999999999962497,323,158,3,0,0,0,0,4,128,30
W00007555,0.96728217271512495,347,178,0,0,0,0,0,2,149,18
W00007590,0.20628882511792099,362,180,2,0,0,0,0,2,143,35
W00007591,1.0000000000001299,238,138,0,0,0,0,0,2,82,16
W00007592,1.0000000000031799,257,108,0,0,0,0,0,4,118,27
W00007593,0.999999999998605,314,127,1,0,0,1,0,1,155,29
W00007594,1.00000000000754,348,174,0,2,0,0,0,2,129,41
W00007595,1.00000000000024,349,191,1,0,0,0,0,2,130,25
W00007596,0.99999999999917899,349,193,1,0,0,0,0,0,134,21
W00007597,0.99999999999920197,230,137,0,0,0,3,0,0,76,14
W00007598,0.98821798189694399,377,124,0,0,0,1,0,5,224,23
W00007599,1.0000000000032601,254,146,1,0,0,0,0,0,89,18
W00007600,0.19903056435350699,285,136,1,0,0,0,0,0,126,22
W00007601,1,277,82,1,0,0,1,0,0,159,34
W00007602,0.79236405703055801,252,103,0,0,0,4,0,0,122,23
W00007603,0.99999999999960398,272,126,0,0,0,0,0,3,115,28
W00007604,0.73314729630523001,251,123,1,0,0,0,0,1,103,23
W00007605,1.0000000000114799,288,118,0,2,0,0,0,0,130,38
W00007648,0.94809488981009005,252,128,0,0,0,0,0,5,100,19
W00007649,0.99404475304979201,315,153,0,0,0,0,0,1,135,26
W00007650,0.99999999999963196,285,118,0,0,0,0,0,5,137,25
W00007656,0.25690694000617798,263,107,0,0,0,1,0,2,132,21
W00007657,0.999999999996531,249,136,2,0,0,0,0,1,88,22
W00007658,0.286837162509824,281,118,0,0,0,0,0,0,144,19
W00007659,0.99999999999751399,250,123,0,0,0,0,1,0,105,21
W00007660,1.00000000002256,257,158,1,0,0,0,0,0,82,16
W00007661,0.45887147926731697,323,165,1,0,0,0,0,0,129,28
W00007662,1.00000000000027,270,110,1,0,0,0,0,4,138,17
W00007663,1.00000000000003,253,105,0,0,0,0,0,2,128,18
W00007664,1.00000000000109,255,104,1,0,0,0,0,3,117,30
W00007668,3.9325231825646699E-2,351,192,0,0,0,3,0,2,123,31
W00007670,4.2540715434838297E-2,331,102,0,0,0,0,0,2,195,32
W00007710,0.200361437791029,278,99,1,0,0,0,0,0,154,24
W00007711,0.99999999999510403,233,101,0,0,0,0,0,1,108,23
W00007712,1.0000000000001299,229,85,1,0,0,0,0,0,125,18
W00007713,0.425063193366645,299,140,1,0,1,0,5,0,128,24
W00007714,0.18487373993818501,257,126,0,0,0,0,0,0,113,18
W00007715,1.00000000000167,299,108,0,0,0,0,4,4,166,17
W00007716,0.99999999999977296,288,139,1,0,0,0,1,0,124,23
W00007717,1.0000000000121401,312,146,1,0,0,0,6,2,133,24
W00007718,1.0000000000004701,287,154,1,0,0,0,0,0,115,17
