ethn..oa_id,ethn..proportion_of_oa_within_co_m_boundary,ethn..total_persons,ethn..white_english_welsh_scottish_northern_irish_british,ethn..white_irish,ethn..white_gypsy_or_irish_traveller,ethn..white_other_white,ethn..mixed_multiple_ethnic_group_white_and_black_caribbean,ethn..mixed_multiple_ethnic_group_white_and_black_african,ethn..mixed_multiple_ethnic_group_white_and_asian,ethn..mixed_multiple_ethnic_group_other_mixed,ethn..asian_asian_british_indian,ethn..asian_asian_british_pakistani,ethn..asian_asian_british_bangladeshi,ethn..asian_asian_british_chinese,ethn..asian_asian_british_other_asian,ethn..black_african_caribbean_black_british_african,ethn..black_african_caribbean_black_british_caribbean,ethn..black_african_caribbean_black_british_other_black,ethn..other_ethnic_group_arab,ethn..other_ethnic_group_any_other_ethnic_group,ethn..white_or_white_british,ethn..black_or_black_british,ethn..asian_or_asian_british,ethn..mixed_multiple_ethnicity,ethn..other_ethnicity
E00008610,0.95162725921583102,398,117,3,0,53,19,3,1,12,8,5,5,6,1,56,75,28,2,4,173,159,25,35,6
E00008611,0.999999999999998,410,152,6,1,111,16,4,9,10,8,4,9,9,2,15,38,14,0,2,270,67,32,39,2
E00008612,1.00000000002634,322,54,6,0,44,4,5,1,10,16,9,12,10,13,82,24,21,5,6,104,127,60,20,11
E00008613,0.16468239579207,363,104,16,0,55,4,16,4,6,16,0,20,4,5,45,39,11,2,16,175,95,45,30,18
E00008615,1,384,61,1,0,27,8,8,2,13,17,2,10,1,19,82,58,57,2,16,89,197,49,31,18
E00008616,0.99977399560163704,396,84,8,1,30,9,7,6,14,1,1,8,34,24,58,46,28,12,25,123,132,68,36,37
E00008617,6.1888962848342298E-2,332,106,2,1,22,12,5,0,11,8,1,39,9,15,64,13,12,0,12,131,89,72,28,12
E00008618,1,425,57,5,0,48,16,11,1,7,9,5,8,7,18,109,66,51,5,2,110,226,47,35,7
E00008619,0.634065044348185,354,82,10,0,41,13,8,2,11,7,5,6,0,8,66,51,26,0,18,133,143,26,34,18
E00008620,0.12031581758132801,272,137,1,3,38,3,1,0,3,3,6,0,0,1,37,20,7,4,8,179,64,10,7,12
E00008634,1,351,142,10,0,47,20,6,6,9,15,8,13,2,6,17,34,14,0,2,199,65,44,41,2
E00008636,0.73997878044103305,480,139,12,1,68,19,3,8,12,26,29,0,14,8,58,44,20,0,19,220,122,77,42,19
E00008638,0.17948717880179699,374,111,4,1,46,14,5,10,9,5,6,8,3,10,48,57,23,2,12,162,128,32,38,14
E00008641,1,270,89,13,0,38,4,7,8,2,13,6,10,2,4,25,25,6,2,16,140,56,35,21,18
E00008642,0.99999999999881495,311,159,3,0,51,3,2,1,8,3,1,7,1,1,37,17,10,0,7,213,64,13,14,7
E00008646,1.0000000000246301,277,46,6,0,50,7,5,2,5,5,0,3,0,12,66,31,20,3,16,102,117,20,19,19
