health..oa_id,health..proportion_of_oa_within_co_m_boundary,health..total_persons,health..very_good_health,health..good_health,health..fair_health,health..bad_health,health..very_bad_health
E00008610,0.95162725921583102,398,174,135,60,23,6
E00008611,0.999999999999998,410,240,111,42,11,6
E00008612,1.00000000002634,322,152,95,38,27,10
E00008613,0.16468239579207,363,154,110,59,21,19
E00008615,1,384,196,128,37,16,7
E00008616,0.99977399560163704,396,161,153,51,22,9
E00008617,6.1888962848342298E-2,332,166,89,46,28,3
E00008618,1,425,216,118,59,24,8
E00008619,0.634065044348185,354,180,109,46,15,4
E00008620,0.12031581758132801,272,142,92,26,11,1
E00008634,1,351,192,101,38,12,8
E00008636,0.73997878044103305,480,250,145,49,24,12
E00008638,0.17948717880179699,374,172,133,45,19,5
E00008641,1,270,155,72,26,13,4
E00008642,0.99999999999881495,311,138,111,42,17,3
E00008646,1.0000000000246301,277,107,95,46,25,4
E00008906,1.00000000000136,302,150,100,30,19,3
E00008907,0.999999999999997,222,80,68,41,20,13
E00008908,0.99667768173752402,488,226,144,65,33,20
E00008909,0.99999999999995703,337,161,92,43,33,8
E00008910,1.0000000000074301,230,92,70,36,24,8
E00008911,1.0000000000031899,336,145,129,39,16,7
E00008912,1,368,165,106,70,17,10
E00008913,1,250,106,56,49,25,14
E00008914,0.999999999999999,167,42,47,44,26,8
E00008915,1,314,181,88,36,7,2
E00008916,1,251,81,72,60,23,15
E00008917,1.00000000000033,361,190,101,46,19,5
E00008918,1,386,192,121,43,18,12
E00008919,1,360,187,119,38,12,4
E00008920,1,335,163,106,44,16,6
E00008921,0.99999999999940004,421,238,105,51,15,12
E00008922,0.99999999999999001,340,171,116,34,16,3
E00008923,0.999999999999997,431,234,115,58,17,7
E00008924,1,387,216,122,34,11,4
E00008925,0.98985325338251096,201,88,57,35,12,9
E00008926,1,388,180,130,46,21,11
E00008928,1.00000000000002,294,134,101,36,18,5
E00008930,1,229,118,77,26,6,2
E00008935,1,334,155,120,44,10,5
E00008936,0.99455166620366897,189,76,69,31,8,5
E00008937,0.998510989378666,346,164,119,31,25,7
E00008938,0.86619729481608598,230,134,73,13,9,1
E00008939,0.999999999999998,387,202,129,35,12,9
E00008940,0.93804595986458095,213,109,67,27,7,3
E00008942,0.14556822654680801,516,259,176,65,13,3
E00008949,0.197910307920486,334,167,102,40,19,6
E00008955,0.47331240055798302,440,223,146,48,18,5
E00009196,0.98240725332912204,244,114,88,23,12,7
E00009202,1.16643666921309E-2,136,41,57,29,5,4
E00009203,1,222,125,63,18,10,6
E00009205,0.87109209674501797,131,22,52,36,15,6
E00009208,1.0000000000000799,304,138,112,40,11,3
E00009209,0.59678989094794199,270,109,97,39,22,3
E00009212,0.99016211311079005,281,160,67,38,8,8
E00176226,0.99999999999932898,469,228,149,56,28,8
E00176227,1,212,92,78,24,14,4
E00176229,1.00000000000783,364,193,103,39,22,7
E00176230,1.00000000000471,289,124,100,38,19,8
E00176231,1.0000000000062299,221,126,53,29,11,2
E00176254,0.10766408251905001,331,185,115,21,6,4
E00176267,0.999999999999998,446,224,138,52,16,16
E00176316,1.00000000000028,205,77,85,29,13,1
E00176318,0.42773905416580399,294,148,95,34,15,2
E00176326,0.44889514440616601,310,152,97,40,16,5
E00176335,0.999999999999999,130,81,33,11,4,1
E00176336,0.99999999999999001,201,113,61,18,8,1
