house..oa_id,house..proportion_of_oa_within_co_m_boundary,house..total_households,house..one_person_household_65,house..one_person_household_64,house..couple_no_dependent_children,house..couple_dependent_children,house..lone_parent_dependent_children,house..other_household_no_dependent_children,house..other_household_dependent_children
E00008610,0.95162725921583102,142,15,16,19,16,29,35,12
E00008611,0.999999999999998,159,7,36,33,26,15,32,10
E00008612,1.00000000002634,132,10,55,15,18,8,14,12
E00008613,0.16468239579207,150,34,29,21,17,12,29,8
E00008615,1,155,6,50,6,31,39,11,12
E00008616,0.99977399560163704,176,7,62,22,18,33,27,7
E00008617,6.1888962848342298E-2,113,15,20,17,22,17,13,9
E00008618,1,181,17,53,15,31,30,20,15
E00008619,0.634065044348185,141,4,29,19,21,34,28,6
E00008620,0.12031581758132801,105,8,26,15,21,13,20,2
E00008634,1,127,12,23,25,27,9,25,6
E00008636,0.73997878044103305,200,9,69,23,27,19,42,11
E00008638,0.17948717880179699,155,3,47,23,15,24,36,7
E00008641,1,94,3,24,20,17,5,19,6
E00008642,0.99999999999881495,121,10,28,14,18,9,39,3
E00008646,1.0000000000246301,141,7,66,16,13,24,12,3
E00008906,1.00000000000136,111,9,16,32,18,10,21,5
E00008907,0.999999999999997,107,25,19,13,5,16,24,5
E00008908,0.99667768173752402,189,43,19,28,24,36,29,10
E00008909,0.99999999999995703,113,7,16,16,17,22,27,8
E00008910,1.0000000000074301,103,17,31,13,17,6,15,4
E00008911,1.0000000000031899,112,14,10,10,21,30,16,11
E00008912,1,124,11,22,13,19,28,21,10
E00008913,1,136,38,50,6,8,16,10,8
E00008914,0.999999999999999,100,35,26,17,5,7,9,1
E00008915,1,117,4,32,21,21,8,23,8
E00008916,1,128,39,33,18,5,17,12,4
E00008917,1.00000000000033,153,10,48,20,29,16,24,6
E00008918,1,139,4,33,9,21,42,17,13
E00008919,1,152,5,39,21,29,18,31,9
E00008920,1,115,21,20,8,24,20,11,11
E00008921,0.99999999999940004,142,10,31,12,26,23,29,11
E00008922,0.99999999999999001,121,9,21,17,21,13,37,3
E00008923,0.999999999999997,133,11,18,14,17,23,30,20
E00008924,1,142,10,31,26,29,8,33,5
E00008925,0.98985325338251096,88,8,30,11,8,11,12,8
E00008926,1,113,3,14,20,23,14,28,11
E00008928,1.00000000000002,112,13,12,25,13,16,29,4
E00008930,1,84,3,16,22,14,3,20,6
E00008935,1,137,10,38,13,24,22,26,4
E00008936,0.99455166620366897,83,16,20,6,8,17,9,7
E00008937,0.998510989378666,133,12,29,19,17,23,26,7
E00008938,0.86619729481608598,85,7,19,7,10,23,13,6
E00008939,0.999999999999998,134,6,22,19,20,15,45,7
E00008940,0.93804595986458095,80,6,15,8,18,17,8,8
E00008942,0.14556822654680801,205,6,54,38,27,17,56,7
E00008949,0.197910307920486,132,8,30,14,26,12,35,7
E00008955,0.47331240055798302,230,4,117,32,16,18,33,10
E00009196,0.98240725332912204,85,7,16,10,14,19,18,1
E00009202,1.16643666921309E-2,71,10,22,13,4,6,15,1
E00009203,1,85,3,22,17,10,4,22,7
E00009205,0.87109209674501797,56,24,13,6,4,4,5,0
E00009208,1.0000000000000799,99,5,15,16,16,20,18,9
E00009209,0.59678989094794199,121,32,20,10,12,21,19,7
E00009212,0.99016211311079005,98,7,18,13,14,24,17,5
E00176226,0.99999999999932898,158,8,31,13,36,34,19,17
E00176227,1,82,8,20,8,14,19,4,9
E00176229,1.00000000000783,126,11,23,19,22,17,21,13
E00176230,1.00000000000471,126,12,41,16,15,22,11,9
E00176231,1.0000000000062299,82,4,18,10,13,22,9,6
E00176254,0.10766408251905001,135,0,42,25,14,24,25,5
E00176267,0.999999999999998,162,11,43,12,31,34,15,16
E00176316,1.00000000000028,99,9,34,9,12,13,19,3
E00176318,0.42773905416580399,124,5,47,13,17,22,14,6
E00176326,0.44889514440616601,128,15,33,15,15,14,30,6
E00176335,0.999999999999999,47,1,14,2,8,5,15,2
E00176336,0.99999999999999001,108,2,51,13,9,14,17,2
