pop..lsoa_id,pop..proportion_of_lsoa_within_co_m_boundary,pop..total_persons,pop..male_persons,pop..female_persons,pop..x0_4_years,pop..x5_11_years,pop..x12_17_years,pop..x18_29_years,pop..x30_39_years,pop..x40_59_years,pop..x60_74_years,pop..x75_years
E01001729,0.98116483467736604,2201,1086,1115,161,243,166,355,461,600,164,51
E01001730,0.388237035390114,2338,1209,1129,169,283,240,297,446,632,185,86
E01001733,0.91344136566209,1853,899,954,137,157,106,298,516,459,115,65
E01001734,7.4756787920305295E-2,1958,931,1027,109,130,99,357,502,527,162,72
E01001735,0.34854451481605098,1573,753,820,76,115,113,261,355,367,203,83
E01001785,0.99979324651109502,1572,715,857,100,143,88,228,370,402,147,94
E01001786,0.90952234544969701,2118,988,1130,176,267,220,277,380,505,205,88
E01001787,0.98623514951383695,1576,754,822,109,165,140,224,243,354,216,125
E01001788,1,1536,708,828,96,153,135,191,243,398,232,88
E01001789,1,1737,823,914,141,132,102,281,326,520,162,73
E01001790,1,1218,574,644,77,151,152,177,168,313,144,36
E01001791,1,1482,700,782,93,140,126,270,268,397,136,52
E01001793,0.202314593780308,1790,877,913,112,126,96,284,412,505,187,68
E01001796,0.121590245644234,1872,1052,820,133,140,102,271,470,555,163,38
E01001847,2.7865640125799802E-2,1514,775,739,112,132,116,257,361,378,118,40
E01001848,0.60494903808010903,1802,900,902,122,176,155,267,387,451,157,87
E01001850,0.271983936192288,1739,796,943,109,209,195,267,303,444,156,56
E01004434,1.0253443067404999E-2,2003,1059,944,186,202,146,329,361,493,216,70
E01033705,9.6794118695117795E-2,1793,852,941,129,165,198,298,422,442,111,28
