rel..oa_id,rel..proportion_of_oa_within_co_m_boundary,rel..total_persons,rel..christian,rel..buddhist,rel..hindu,rel..jewish,rel..muslim,rel..sikh,rel..other_religion,rel..no_religion,rel..religion_not_stated
E00008610,0.95162725921583102,398,234,1,0,2,65,5,3,63,25
E00008611,0.999999999999998,410,149,2,0,1,37,1,2,167,51
E00008612,1.00000000002634,322,141,8,9,0,88,7,7,32,30
E00008613,0.16468239579207,363,194,3,0,3,62,7,7,46,41
E00008615,1,384,197,1,0,1,91,4,3,52,35
E00008616,0.99977399560163704,396,186,22,0,3,60,0,0,87,38
E00008617,6.1888962848342298E-2,332,138,7,0,4,82,7,2,67,25
E00008618,1,425,239,5,1,0,74,0,0,71,35
E00008619,0.634065044348185,354,178,3,0,4,64,1,2,74,28
E00008620,0.12031581758132801,272,124,2,0,0,17,3,3,107,16
E00008634,1,351,133,2,3,1,46,7,4,123,32
E00008636,0.73997878044103305,480,157,4,11,6,81,6,0,156,59
E00008638,0.17948717880179699,374,175,1,0,2,45,4,0,113,34
E00008641,1,270,97,0,7,8,37,2,2,87,30
E00008642,0.99999999999881495,311,122,1,5,3,32,0,3,119,26
E00008646,1.0000000000246301,277,132,1,10,4,53,0,2,48,27
E00008906,1.00000000000136,302,137,2,0,0,51,0,3,88,21
E00008907,0.999999999999997,222,118,9,0,0,39,0,4,33,19
E00008908,0.99667768173752402,488,264,3,0,1,106,1,6,76,31
E00008909,0.99999999999995703,337,173,10,0,1,72,3,6,36,36
E00008910,1.0000000000074301,230,123,1,2,0,48,0,1,34,21
E00008911,1.0000000000031899,336,166,0,0,1,91,6,4,36,32
E00008912,1,368,203,2,4,3,102,0,0,35,19
E00008913,1,250,137,1,0,0,58,17,2,15,20
E00008914,0.999999999999999,167,104,5,0,0,26,2,2,11,17
E00008915,1,314,115,5,0,2,36,0,3,135,18
E00008916,1,251,143,9,7,1,34,1,0,35,21
E00008917,1.00000000000033,361,134,0,0,10,51,11,1,122,32
E00008918,1,386,224,1,3,9,59,0,0,47,43
E00008919,1,360,180,1,0,1,43,0,0,110,25
E00008920,1,335,197,1,2,1,61,0,3,36,34
E00008921,0.99999999999940004,421,150,5,1,12,87,12,3,109,42
E00008922,0.99999999999999001,340,108,3,0,0,43,3,1,136,46
E00008923,0.999999999999997,431,227,0,0,0,105,7,3,44,45
E00008924,1,387,124,7,10,5,61,0,1,152,27
E00008925,0.98985325338251096,201,108,0,0,0,52,0,1,25,15
E00008926,1,388,163,6,5,2,58,12,2,76,64
E00008928,1.00000000000002,294,142,0,6,0,57,2,1,63,23
E00008930,1,229,86,5,10,1,18,1,2,82,24
E00008935,1,334,168,8,1,7,50,5,2,76,17
E00008936,0.99455166620366897,189,113,1,1,0,32,0,0,20,22
E00008937,0.998510989378666,346,166,9,0,0,46,0,0,91,34
E00008938,0.86619729481608598,230,172,0,0,1,34,0,1,15,7
E00008939,0.999999999999998,387,118,0,1,9,52,16,1,150,40
E00008940,0.93804595986458095,213,131,3,0,0,37,0,0,25,17
E00008942,0.14556822654680801,516,143,7,14,7,73,9,5,197,61
E00008949,0.197910307920486,334,138,2,0,4,57,7,3,103,20
E00008955,0.47331240055798302,440,198,8,1,5,60,6,1,110,51
E00009196,0.98240725332912204,244,140,0,0,1,45,0,1,41,16
E00009202,1.16643666921309E-2,136,75,3,0,6,16,1,0,23,12
E00009203,1,222,96,1,4,8,21,0,0,71,21
E00009205,0.87109209674501797,131,85,0,0,1,8,0,1,22,14
E00009208,1.0000000000000799,304,163,4,1,0,32,0,2,69,33
E00009209,0.59678989094794199,270,155,6,0,1,37,0,0,48,23
E00009212,0.99016211311079005,281,156,2,3,1,57,10,0,36,16
E00176226,0.99999999999932898,469,263,4,3,1,125,3,1,36,33
E00176227,1,212,95,7,1,1,57,4,0,26,21
E00176229,1.00000000000783,364,190,4,0,1,81,6,3,33,46
E00176230,1.00000000000471,289,171,5,0,1,41,11,0,28,32
E00176231,1.0000000000062299,221,145,2,3,3,33,0,2,20,13
E00176254,0.10766408251905001,331,119,4,0,1,61,2,3,108,33
E00176267,0.999999999999998,446,247,2,4,1,105,1,4,47,35
E00176316,1.00000000000028,205,103,2,5,4,35,2,2,25,27
E00176318,0.42773905416580399,294,147,0,1,2,42,7,2,63,30
E00176326,0.44889514440616601,310,174,7,2,1,22,0,4,76,24
E00176335,0.999999999999999,130,45,0,1,1,31,0,1,48,3
E00176336,0.99999999999999001,201,67,5,8,0,28,7,3,69,14
