ethn..oa_id,ethn..proportion_of_oa_within_co_m_boundary,ethn..total_persons,ethn..white_english_welsh_scottish_northern_irish_british,ethn..white_irish,ethn..white_gypsy_or_irish_traveller,ethn..white_other_white,ethn..mixed_multiple_ethnic_group_white_and_black_caribbean,ethn..mixed_multiple_ethnic_group_white_and_black_african,ethn..mixed_multiple_ethnic_group_white_and_asian,ethn..mixed_multiple_ethnic_group_other_mixed,ethn..asian_asian_british_indian,ethn..asian_asian_british_pakistani,ethn..asian_asian_british_bangladeshi,ethn..asian_asian_british_chinese,ethn..asian_asian_british_other_asian,ethn..black_african_caribbean_black_british_african,ethn..black_african_caribbean_black_british_caribbean,ethn..black_african_caribbean_black_british_other_black,ethn..other_ethnic_group_arab,ethn..other_ethnic_group_any_other_ethnic_group,ethn..white_or_white_british,ethn..black_or_black_british,ethn..asian_or_asian_british,ethn..mixed_multiple_ethnicity,ethn..other_ethnicity
E00050267,1.0000000000028899,319,151,4,0,0,6,1,2,4,101,17,0,0,20,4,4,0,0,5,155,8,138,13,5
E00050268,0.99999999999692701,373,247,3,0,12,12,1,1,1,23,38,12,2,3,0,12,2,0,4,262,14,78,15,4
E00050270,0.118524742959264,299,191,0,0,9,13,0,6,0,32,8,2,0,6,1,13,4,0,14,200,18,48,19,14
E00050271,0.99999999999558298,247,157,2,0,11,5,0,13,1,25,16,0,0,6,5,6,0,0,0,170,11,47,19,0
E00050273,0.76753592932204695,275,190,5,0,1,3,0,7,1,30,4,8,4,0,5,15,1,0,1,196,21,46,11,1
E00050274,1.0000000000042499,360,255,3,1,0,26,0,2,1,32,1,0,2,7,1,16,1,0,12,259,18,42,29,12
E00050276,1.00000000000056,313,246,0,0,2,18,0,0,1,8,16,4,0,3,0,14,1,0,0,248,15,31,19,0
E00050278,0.20398317823502701,324,222,5,0,4,10,0,4,5,44,0,0,0,7,3,13,1,0,6,231,17,51,19,6
E00050281,0.99167232058437305,357,258,3,0,7,16,4,1,1,33,7,0,0,6,4,6,2,4,5,268,12,46,22,9
E00050286,0.37827589877354001,376,263,2,0,14,17,0,4,1,24,12,0,0,10,10,19,0,0,0,279,29,46,22,0
E00050292,0.43595017967593902,371,261,9,0,7,5,2,10,2,31,1,0,1,6,0,25,1,1,9,277,26,39,19,10
E00050295,0.40891707776045699,326,275,7,0,3,6,0,0,0,13,9,0,0,5,0,4,1,0,3,285,5,27,6,3
E00050299,4.6439679680320103E-2,348,231,1,1,6,7,1,2,0,33,14,12,0,17,2,14,1,0,6,239,17,76,10,6
E00050304,0.99999999999990896,359,193,4,0,6,6,0,0,0,83,31,5,0,8,0,18,3,0,2,203,21,127,6,2
E00050305,1.0000000000168601,240,180,0,0,2,7,1,0,3,14,0,12,0,4,0,12,5,0,0,182,17,30,11,0
E00050578,0.999999999997911,441,305,3,0,6,2,1,4,1,63,4,6,0,22,2,8,0,0,14,314,10,95,8,14
E00050579,4.75931810395432E-2,206,163,0,0,9,0,1,1,2,18,2,0,0,3,0,6,1,0,0,172,7,23,4,0
E00050582,1.0000000000034399,348,258,3,0,25,7,0,4,1,16,0,0,4,11,3,10,5,0,1,286,18,31,12,1
E00050583,0.99999999999997002,310,259,1,0,1,2,1,3,1,15,14,0,1,1,0,2,1,0,8,261,3,31,7,8
