health..oa_id,health..proportion_of_oa_within_co_m_boundary,health..total_persons,health..very_good_health,health..good_health,health..fair_health,health..bad_health,health..very_bad_health
E00050267,1.0000000000028899,319,140,113,45,21,0
E00050268,0.99999999999692701,373,180,125,47,16,5
E00050270,0.118524742959264,299,138,102,36,17,6
E00050271,0.99999999999558298,247,91,88,53,11,4
E00050273,0.76753592932204695,275,114,85,50,19,7
E00050274,1.0000000000042499,360,133,128,71,22,6
E00050276,1.00000000000056,313,118,102,59,28,6
E00050278,0.20398317823502701,324,123,117,53,23,8
E00050281,0.99167232058437305,357,163,126,45,21,2
E00050286,0.37827589877354001,376,165,115,65,25,6
E00050292,0.43595017967593902,371,162,148,49,7,5
E00050295,0.40891707776045699,326,121,122,69,13,1
E00050299,4.6439679680320103E-2,348,158,116,48,20,6
E00050304,0.99999999999990896,359,125,149,59,24,2
E00050305,1.0000000000168601,240,72,65,58,35,10
E00050578,0.999999999997911,441,203,155,58,19,6
E00050579,4.75931810395432E-2,206,83,60,45,13,5
E00050582,1.0000000000034399,348,159,131,37,17,4
E00050583,0.99999999999997002,310,118,111,52,22,7
E00050584,0.99158404069443795,267,93,95,57,18,4
E00050592,0.99999999999844302,213,82,60,45,19,7
E00050594,1.0000000000020199,188,39,64,60,18,7
E00050595,0.99999999999896905,313,124,126,45,16,2
E00050596,1.0000000000020099,320,123,120,47,22,8
E00050597,0.22292952551748399,579,273,196,72,30,8
E00050598,1.0000000000012299,311,125,111,55,15,5
E00050599,0.999999999994025,221,82,88,40,9,2
E00050600,0.99929506127398104,508,256,176,54,18,4
E00050601,1.0000000000059099,393,183,135,50,21,4
E00050602,1.0000000000095099,365,132,159,54,16,4
E00050603,1.0000000000006399,308,119,112,50,20,7
E00050604,1.00000000000191,249,76,99,46,22,6
E00050605,1.0000000000001401,224,88,89,35,11,1
E00050606,0.999999999999446,297,144,107,35,10,1
E00050607,0.183061752854355,312,146,115,43,7,1
E00050611,0.99999999999937095,373,189,119,47,17,1
E00050612,0.71121843101929405,321,145,103,52,16,5
E00050613,0.535903009606572,334,160,112,41,16,5
E00050615,1.00000000000116,346,162,127,47,8,2
E00050669,0.54821666669698299,306,92,102,69,30,13
E00050670,0.124703302767096,346,103,153,71,14,5
E00050672,0.89279835106432603,241,82,87,52,17,3
E00050673,0.99999999999940903,467,175,179,79,24,10
E00050674,0.27618650367247899,274,130,99,32,10,3
E00050675,1.00000000000032,265,123,90,38,12,2
E00050676,0.999999999998472,361,148,117,64,27,5
E00050677,0.98963384860834502,404,160,149,68,22,5
E00050678,0.98588784370170102,440,168,170,70,25,7
E00050679,0.99999999999989098,322,105,129,70,14,4
E00050680,1.0000000000045199,337,138,123,56,18,2
E00050681,0.77444367019322102,345,149,128,38,20,10
E00050682,1.0000000000034801,351,131,123,64,29,4
E00050683,0.26702571537586201,421,188,131,62,32,8
E00050684,0.99999999999281797,256,118,90,29,13,6
E00050685,1.0000000000167899,350,133,119,56,32,10
E00050816,1.5764709665933799E-2,364,156,146,44,15,3
E00050831,7.4496676669047801E-2,533,232,155,83,52,11
E00050836,1.26825942590471E-2,368,200,85,47,29,7
