house..oa_id,house..proportion_of_oa_within_co_m_boundary,house..total_households,house..one_person_household_65,house..one_person_household_64,house..couple_no_dependent_children,house..couple_dependent_children,house..lone_parent_dependent_children,house..other_household_no_dependent_children,house..other_household_dependent_children
E00050267,1.0000000000028899,115,11,19,27,32,7,11,8
E00050268,0.99999999999692701,125,12,9,37,36,13,8,10
E00050270,0.118524742959264,108,16,11,16,31,11,13,10
E00050271,0.99999999999558298,110,20,20,36,19,6,7,2
E00050273,0.76753592932204695,99,9,4,38,23,8,14,3
E00050274,1.0000000000042499,129,17,11,36,25,12,19,9
E00050276,1.00000000000056,119,23,10,29,27,17,10,3
E00050278,0.20398317823502701,120,12,12,35,29,15,13,4
E00050281,0.99167232058437305,138,17,11,49,35,4,19,3
E00050286,0.37827589877354001,160,9,27,48,27,23,20,6
E00050292,0.43595017967593902,138,15,21,33,29,8,18,14
E00050295,0.40891707776045699,125,18,10,37,32,7,15,6
E00050299,4.6439679680320103E-2,123,21,8,36,32,8,12,6
E00050304,0.99999999999990896,128,16,12,50,22,12,11,5
E00050305,1.0000000000168601,118,38,14,33,12,7,10,4
E00050578,0.999999999997911,153,18,4,61,45,9,10,6
E00050579,4.75931810395432E-2,108,25,30,25,11,6,9,2
E00050582,1.0000000000034399,138,17,25,42,30,14,7,3
E00050583,0.99999999999997002,142,32,20,50,22,5,11,2
E00050584,0.99158404069443795,133,37,24,41,13,7,7,4
E00050592,0.99999999999844302,114,32,33,20,10,8,9,2
E00050594,1.0000000000020199,101,26,28,21,6,10,9,1
E00050595,0.99999999999896905,111,9,19,28,16,11,18,10
E00050596,1.0000000000020099,130,13,22,39,23,10,13,10
E00050597,0.22292952551748399,251,17,61,69,44,24,27,9
E00050598,1.0000000000012299,123,21,29,29,21,7,11,5
E00050599,0.999999999994025,112,4,50,8,21,18,10,1
E00050600,0.99929506127398104,172,11,28,46,50,10,15,12
E00050601,1.0000000000059099,148,15,22,43,41,12,11,4
E00050602,1.0000000000095099,115,11,8,45,24,7,9,11
E00050603,1.0000000000006399,130,20,29,39,21,8,6,7
E00050604,1.00000000000191,125,29,25,35,6,16,9,5
E00050605,1.0000000000001401,96,14,15,38,15,2,8,4
E00050606,0.999999999999446,127,8,29,32,28,20,7,3
E00050607,0.183061752854355,129,8,29,35,35,13,6,3
E00050611,0.99999999999937095,135,17,14,42,41,10,6,5
E00050612,0.71121843101929405,132,13,25,47,26,7,8,6
E00050613,0.535903009606572,132,15,23,36,24,10,18,6
E00050615,1.00000000000116,125,18,8,47,35,4,7,6
E00050669,0.54821666669698299,195,37,83,37,12,10,13,3
E00050670,0.124703302767096,131,14,20,40,33,9,9,6
E00050672,0.89279835106432603,105,17,24,17,17,13,16,1
E00050673,0.99999999999940903,140,7,25,27,40,16,14,11
E00050674,0.27618650367247899,110,10,19,22,37,6,13,3
E00050675,1.00000000000032,113,10,34,21,20,12,10,6
E00050676,0.999999999998472,131,24,10,31,17,22,17,10
E00050677,0.98963384860834502,139,16,11,42,33,10,16,11
E00050678,0.98588784370170102,156,7,28,32,33,27,16,13
E00050679,0.99999999999989098,136,30,17,34,21,10,20,4
E00050680,1.0000000000045199,118,10,17,36,15,15,13,12
E00050681,0.77444367019322102,130,10,22,30,31,15,16,6
E00050682,1.0000000000034801,121,14,11,35,31,11,13,6
E00050683,0.26702571537586201,150,13,13,41,34,19,21,9
E00050684,0.99999999999281797,114,5,30,24,19,21,9,6
E00050685,1.0000000000167899,127,13,12,36,23,17,16,10
E00050816,1.5764709665933799E-2,117,5,9,41,29,12,15,6
E00050831,7.4496676669047801E-2,141,13,19,22,42,12,13,20
E00050836,1.26825942590471E-2,98,14,7,19,24,6,10,18
