pop..lsoa_id,pop..proportion_of_lsoa_within_co_m_boundary,pop..total_persons,pop..male_persons,pop..female_persons,pop..x0_4_years,pop..x5_11_years,pop..x12_17_years,pop..x18_29_years,pop..x30_39_years,pop..x40_59_years,pop..x60_74_years,pop..x75_years
E01009939,0.33049501321746699,1716,862,854,111,169,139,209,228,446,243,171
E01009941,0.99999999999672595,1544,772,772,86,117,117,227,196,415,281,105
E01009942,0.61967959378419002,1641,800,841,105,196,131,240,211,420,222,116
E01009944,1.3466707541113E-2,1616,775,841,97,176,164,242,212,430,198,97
E01010000,0.88357289148951801,1655,835,820,93,148,109,210,220,472,274,129
E01010002,0.48165437399486,2266,1213,1053,121,209,171,339,430,599,266,131
E01010003,1.0000000000000999,1481,743,738,126,110,86,258,197,388,222,94
E01010004,1.0545096347380699E-2,1727,892,835,118,138,94,271,232,462,267,145
E01010005,0.99999999999993205,1631,828,803,113,145,136,299,184,419,241,94
E01010006,0.58234749166892497,1670,823,847,80,136,134,254,174,489,239,164
E01010017,0.210018059807554,2156,1117,1039,172,233,149,345,333,507,286,131
E01010018,2.68315386166291E-2,2532,1292,1240,234,262,190,354,488,604,244,156
E01010019,0.320348034285238,2144,1084,1060,201,310,226,340,373,464,156,74
E01010020,0.85223746230302599,2115,1052,1063,127,229,241,316,265,568,237,132
E01010021,0.93795437973416396,1761,874,887,121,192,119,277,244,482,221,105
E01010051,6.7434017685977801E-2,1303,597,706,108,155,87,195,186,340,150,82
E01010053,1.9599274655157799E-2,2357,1261,1096,175,277,268,509,366,510,137,115
